"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5772.73360883192","6924.93855649147","8560.28632946987","10109.0652810613","10975.5164404979","12046.3411478815","12516.5564194361","13217.3640122248","14376.0122028012","14473.8615980792","14558.7969270367","15634.6254209802","16895.1960698117","16912.1399463107","18248.9363908449","17924.2653023181","16895.5990129026","18139.1356727269","19500.3653753469","16211.3169277476","20578.5941993","19435.5074632106","23242.9139505909","21302.5071099491","19757.3117279992","19980.303958665","21056.1931039084","20859.2144909484","21910.0812279344","21975.2570895482","21383.0302117749","21400.0267328522","","",
"Afghanistan","AFG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","149.676208447152","152.647606218764","129.957562271345","137.165912365785","165.910043584319","177.126694301689","187.161566334248","212.364825985923","234.466632670977","259.848201578458","255.784671223425","248.927526319247","","","","","","","","","","","","","","","","","","","","","","","","","","","","387.332354442919","479.186609373426","519.501843246639","559.924394218843","553.644848242288","532.387705881625","504.730174233916","475.938905031972","484.082268613262","453.798959628962","",
"Angola","AGO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","426.503681911825","440.8420933229","364.931602214498","329.994570023388","534.915828417963","447.585119688833","565.005898393308","8.40695087934306","30.2955933021258","-26.3244536468358","105.351413760194","95.0820344861927","150.647882756349","172.869650879767","55.5516972952912","11.1282785566121","98.1192383362138","342.463753291703","437.013528454566","440.968438945608","564.163478340963","857.123229878221","819.674137005466","367.148834921694","735.005217665059","1108.07349461958","1500.15599817437","1773.96464251885","2043.23053698733","2397.73759050883","2078.29228249107","1694.596705512","1882.46721096306","1214.54334584768","",
"Albania","ALB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","474.191849845006","471.856519171219","561.863035177794","527.18399099886","512.344728250426","538.29544678845","484.15905528464","256.725764571667","142.736678465242","323.398063338175","514.931174386722","674.366314049001","919.860301590817","647.825829240735","753.213109456531","952.77336588473","1040.5172789189","1191.7751520387","1305.4475110691","1688.84197105686","2145.12851355213","2400.21126419496","2680.16465919132","3128.04194380044","3720.05891231073","3407.816855799","3407.21907564027","3666.65952514196","3455.02925002712","3673.65902400825","3774.69312715299","3234.72041174457","3416.05449687763","3674.49492886948","4188.69749100603","",
"Andorra","AND","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1344.4315441958","1472.5676504456","1490.01506171288","1388.14703502562","1354.29994029906","1310.21017507809","1271.52555296741","1278.62711993101","1247.24842509709","1233.39698222413","1646.82167115034","1592.45718031993","1717.61069915999","1685.99378768294","1653.68396931103","1740.28883013843","1855.55036355013","1939.25349160955","1895.22533817001","1960.78134833644","2084.57118297335","2066.18721871149","2060.9897751894","2221.31008744598","2513.43401570513","2924.97406561652","3404.56709005542","3959.28196923099","4789.71410966164","4217.94754154663","4790.31480671783","5404.81943717481","5919.40890410587","5975.82607941651","6060.80818940067","5435.40489416766","5324.44759968102","5319.66545481267","5478.66698235537","",
"United Arab Emirates","ARE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30657.7280000856","29126.8942944703","28209.0281407156","29588.9498421808","32194.4035654938","33302.2867610756","35909.6891210164","36674.8377832371","37371.6825550869","27381.5139502182","30503.6459597258","34542.7670406646","36045.6867463669","37912.0387273797","39307.6385868752","35639.4694683225","35478.9754655022","36895.77854417","39234.8699551642","",
"Argentina","ARG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1207.06174784085","1317.62104362201","1314.31549439168","1995.45893134652","2683.41595909585","1921.9814964172","1814.51108032843","1975.96697122411","1979.82532173298","2264.90895147416","2451.05945006007","2440.0648914412","2518.29382199671","3075.14495692143","2300.83398782652","2531.82996373637","3225.14760617937","3151.34376583868","3538.3705067855","1958.12784662511","3757.96783934992","5123.45684951289","6181.55004772613","6328.55764641614","6746.22940963298","6572.9163477471","6859.595214393","7259.54848212727","7304.57008626885","6734.47126119514","6606.31539239171","6159.20974612503","2047.20765727481","2748.63875996824","3248.68483504815","3850.90028844481","4933.89833502369","6149.46611813116","7636.40164313593","6939.09337799373","8806.20415998788","10954.8187178616","11152.2400601998","11154.9399965834","10453.3537408492","11843.9470848519","10892.4942331946","12344.0377978229","9631.7109854384","",
"Armenia","ARM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","388.420687385946","441.10933053007","470.764896431302","536.381559532066","522.679729253803","539.824140403979","606.46094991496","682.50395894487","815.584405701603","1048.17547239458","1475.54274334632","1960.05080444372","2887.4073568291","3742.98924854475","2724.03046468853","2917.89781930528","3138.86852973581","3278.37915858602","3509.29069204593","3581.15337537298","3175.96685378977","3085.06330370131","3400.66922758257","3527.03807415261","",
"American Samoa","ASM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
