LatLng,Rental link,Sales link,company id,company name,company_url,phone number
"[25.210542, 55.273095]",https://www.justproperty.com/en/rent/uae/properties-for-rent/?company_profile=1536,https://www.justproperty.com/en/buy/uae/properties-for-sale/?company_profile=1536,1536,Aber Group LLC,https://www.justproperty.com/en/company/aber-group-llc-1536/,44201044
"[25.210542, 55.273095]",https://www.justproperty.com/en/rent/uae/properties-for-rent/?company_profile=1539,https://www.justproperty.com/en/buy/uae/properties-for-sale/?company_profile=1539,1539,Achiever Properties,https://www.justproperty.com/en/company/achiever-properties-1539/,44201044
"[25.210542, 55.273095]",https://www.justproperty.com/en/rent/uae/properties-for-rent/?company_profile=1540,https://www.justproperty.com/en/buy/uae/properties-for-sale/?company_profile=1540,1540,Acres International Real Estate,https://www.justproperty.com/en/company/acres-international-real-estate-1540/,44201044
"[25.210542, 55.273095]",https://www.justproperty.com/en/rent/uae/properties-for-rent/?company_profile=1258,https://www.justproperty.com/en/buy/uae/properties-for-sale/?company_profile=1258,1258,Aksee Real Estate,https://www.justproperty.com/en/company/aksee-real-estate-1258/,44201044
"[25.210542, 55.273095]",https://www.justproperty.com/en/rent/uae/properties-for-rent/?company_profile=1259,https://www.justproperty.com/en/buy/uae/properties-for-sale/?company_profile=1259,1259,Al - Haramain Real Estate LLC,https://www.justproperty.com/en/company/al-haramain-real-estate-llc-1259/,44201044
"[25.210542, 55.273095]",https://www.justproperty.com/en/rent/uae/properties-for-rent/?company_profile=1433,https://www.justproperty.com/en/buy/uae/properties-for-sale/?company_profile=1433,1433,Al Eassa Real Estate Brokerage,https://www.justproperty.com/en/company/al-eassa-real-estate-brokerage-1433/,44201044
"[25.210542, 55.273095]",https://www.justproperty.com/en/rent/uae/properties-for-rent/?company_profile=1439,https://www.justproperty.com/en/buy/uae/properties-for-sale/?company_profile=1439,1439,Al Fattan Properties LLC,https://www.justproperty.com/en/company/al-fattan-properties-llc-1439/,44201044
"[25.210542, 55.273095]",https://www.justproperty.com/en/rent/uae/properties-for-rent/?company_profile=1441,https://www.justproperty.com/en/buy/uae/properties-for-sale/?company_profile=1441,1441,Al Ghandi,https://www.justproperty.com/en/company/al-ghandi-1441/,44201044
"[25.210542, 55.273095]",https://www.justproperty.com/en/rent/uae/properties-for-rent/?company_profile=1559,https://www.justproperty.com/en/buy/uae/properties-for-sale/?company_profile=1559,1559,Al Shafaq Properties,https://www.justproperty.com/en/company/al-shafaq-properties-1559/,44201044
"[25.210542, 55.273095]",https://www.justproperty.com/en/rent/uae/properties-for-rent/?company_profile=1562,https://www.justproperty.com/en/buy/uae/properties-for-sale/?company_profile=1562,1562,Al Wifaq Properties LLC,https://www.justproperty.com/en/company/al-wifaq-properties-llc-1562/,44201044
