Folder,File,Error,Time
phoneRawDataFile-12345678979596-1575655190701,location,File not found,2019-12-06 22:59
phoneRawDataFile-12345678979596-1575654437725,location,File not found,2019-12-06 22:47
phoneRawDataFile-12345678977241-1575579086836,location,File not found,2019-12-06 01:51
phoneRawDataFile-12345678970101-1575553037931,location,File not found,2019-12-05 18:37
phoneRawDataFile-28309110102387-1575004236939,location,File not found,2019-11-29 10:10
phoneRawDataFile-00000001111111-1574248671704,outgoing_call_log,Empty file,2019-11-20 16:17
phoneRawDataFile-00000001111111-1574248228370,outgoing_call_log,Empty file,2019-11-20 16:10
phoneRawDataFile-11223344556677-1574247873429,outgoing_call_log,Empty file,2019-11-20 16:04
phoneRawDataFile-11223344556677-1574247822423,outgoing_call_log,Empty file,2019-11-20 16:03
phoneRawDataFile-11223344556677-1574247410258,outgoing_call_log,Empty file,2019-11-20 15:56
phoneRawDataFile-12345678954937-1573121040202,location,File not found,2019-11-07 15:04
