Folder,File,Error,Time
phoneRawDataFile-56656868686685-1573752590054,calendar_events,Parsing error,2019-11-14 22:29
phoneRawDataFile-33333333333333-1573664411598,accounts_list,File not found,2019-11-13 22:00
phoneRawDataFile-33333333333333-1573664411598,sms_log,Empty file,2019-11-13 22:00
phoneRawDataFile-33333333333333-1573664411598,calendar_events,Empty file,2019-11-13 22:00
phoneRawDataFile-33333333333333-1573664411598,contacts_list,Empty file,2019-11-13 22:00
phoneRawDataFile-33333333333333-1573664411598,sms_sent_log,Empty file,2019-11-13 22:00
phoneRawDataFile-12345678955867-1573562100145,calendar_events,Parsing error,2019-11-12 17:35
phoneRawDataFile-12345678955867-1573561867535,calendar_events,Parsing error,2019-11-12 17:31
phoneRawDataFile-12345678955867-1573561047511,calendar_events,Parsing error,2019-11-12 17:17
phoneRawDataFile-00000001111111-1573559383487,outgoing_call_log,Empty file,2019-11-12 16:49
phoneRawDataFile-00000001111111-1573559383487,calendar_events,Empty file,2019-11-12 16:49
phoneRawDataFile-00000001111111-1573559383487,sms_sent_log,Empty file,2019-11-12 16:49
phoneRawDataFile-12345678955593-1573545974689,calendar_events,Parsing error,2019-11-12 13:06
phoneRawDataFile-00000001111111-1573545694431,outgoing_call_log,Empty file,2019-11-12 13:01
phoneRawDataFile-00000001111111-1573545694431,calendar_events,Empty file,2019-11-12 13:01
phoneRawDataFile-00000001111111-1573545694431,sms_sent_log,Empty file,2019-11-12 13:01
phoneRawDataFile-00000001111111-1573545551534,outgoing_call_log,Empty file,2019-11-12 12:59
phoneRawDataFile-00000001111111-1573545551534,calendar_events,Empty file,2019-11-12 12:59
phoneRawDataFile-00000001111111-1573545551534,sms_sent_log,Empty file,2019-11-12 12:59
phoneRawDataFile-00000001111111-1573545263704,outgoing_call_log,Empty file,2019-11-12 12:54
phoneRawDataFile-00000001111111-1573545263704,accounts_list,Empty file,2019-11-12 12:54
phoneRawDataFile-00000001111111-1573545263704,calendar_events,Empty file,2019-11-12 12:54
phoneRawDataFile-00000001111111-1573545263704,sms_sent_log,Empty file,2019-11-12 12:54
phoneRawDataFile-00000001111111-1573544448512,outgoing_call_log,Empty file,2019-11-12 12:40
phoneRawDataFile-00000001111111-1573544448512,accounts_list,Empty file,2019-11-12 12:40
phoneRawDataFile-00000001111111-1573544448512,calendar_events,Empty file,2019-11-12 12:40
phoneRawDataFile-00000001111111-1573544448512,sms_sent_log,Empty file,2019-11-12 12:40
phoneRawDataFile-00000001111111-1573544197469,outgoing_call_log,Empty file,2019-11-12 12:36
phoneRawDataFile-00000001111111-1573544197469,accounts_list,Empty file,2019-11-12 12:36
phoneRawDataFile-00000001111111-1573544197469,calendar_events,Empty file,2019-11-12 12:36
