Folder,File,Error,Time
phoneRawDataFile-12345678969597-1575483645199,outgoing_call_log,Empty file,2019-12-04 23:20
phoneRawDataFile-12345678969597-1575483645199,calendar_events,Empty file,2019-12-04 23:20
phoneRawDataFile-12345678969597-1575483645199,sms_sent_log,Empty file,2019-12-04 23:20
phoneRawDataFile-12345678969597-1575478842976,accounts_list,File not found,2019-12-04 22:00
phoneRawDataFile-12345678969597-1575478842976,sms_log,Empty file,2019-12-04 22:00
phoneRawDataFile-12345678969597-1575478842976,calendar_events,Empty file,2019-12-04 22:00
phoneRawDataFile-12345678969597-1575478842976,contacts_list,Empty file,2019-12-04 22:00
phoneRawDataFile-12345678969597-1575478842976,sms_sent_log,Empty file,2019-12-04 22:00
phoneRawDataFile-30909000004011-1575470770508,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:46
phoneRawDataFile-30909000004034-1575470736944,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000003988-1575470725564,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004057-1575470732022,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004079-1575470740692,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004083-1575470729364,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000003991-1575470724036,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004080-1575470724614,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004042-1575470732272,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004081-1575470718733,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004019-1575470728947,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004062-1575470728193,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004045-1575470720107,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004068-1575470723883,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004074-1575470722767,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004026-1575470733817,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000003999-1575470733870,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000003996-1575470725529,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004067-1575470728017,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000003993-1575470725221,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004052-1575470733902,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004005-1575470728581,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004013-1575470722936,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004069-1575470723644,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004032-1575470726180,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004084-1575470731784,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000003984-1575470725867,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004041-1575470747390,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004060-1575470732487,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000003998-1575470730560,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004002-1575470737785,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004047-1575470739311,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004053-1575470726593,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004066-1575470732684,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004077-1575470742091,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004071-1575470730220,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004088-1575470732307,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000003989-1575470720424,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004031-1575470746810,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004009-1575470734499,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004021-1575470734992,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004033-1575470727914,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004020-1575470740304,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000003992-1575470727339,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
phoneRawDataFile-30909000004076-1575470734037,Corrupt_zip_file,Corrupt folder error,2019-12-04 19:45
