,Index,column,Query
0,2181,Remarks,"{'drug trafficking', 'drug'}"
1,2182,Remarks,"{'drug trafficking', 'drug'}"
2,2302,Address,kat
3,2510,Remarks,"{'drug trafficking', 'drug'}"
4,2543,Remarks,"{'drug trafficking', 'drug'}"
5,2952,Remarks,"{'drug trafficking', 'drug'}"
6,2960,Remarks,"{'drug trafficking', 'drug'}"
7,3470,Remarks,"{'drug trafficking', 'drug'}"
8,3512,Remarks,"{'drug trafficking', 'drug'}"
9,3513,Remarks,"{'drug trafficking', 'drug'}"
10,3514,Remarks,"{'drug trafficking', 'drug'}"
11,3515,Remarks,"{'drug trafficking', 'drug'}"
12,3640,Remarks,"{'drug trafficking', 'drug'}"
13,3873,Remarks,"{'drug trafficking', 'drug'}"
14,3901,Remarks,drug
15,4023,Remarks,drug
16,4067,Remarks,drug
17,4078,Remarks,drug
18,4089,Remarks,"{'drug trafficking', 'drug'}"
19,4157,Remarks,drug
20,4168,Remarks,drug
21,4196,Remarks,drug
22,4255,Remarks,"{'drug trafficking', 'drug'}"
23,4621,Remarks,"{'drug trafficking', 'drug'}"
24,4624,Remarks,heroin
25,4681,Remarks,"{'drug trafficking', 'drug'}"
26,4835,Remarks,"{'drug trafficking', 'heroin', 'drug'}"
27,4998,Aliases,pcp
28,5210,Remarks,"{'drug trafficking', 'drug'}"
29,5444,Remarks,"{'drug trafficking', 'drug'}"
30,5496,Remarks,"{'drug trafficking', 'drug'}"
31,5497,Remarks,"{'drug trafficking', 'drug'}"
32,5499,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
33,5500,Remarks,"{'drug trafficking', 'drug'}"
34,5501,Remarks,"{'drug trafficking', 'drug'}"
35,5503,Remarks,"{'drug trafficking', 'drug'}"
36,5507,Remarks,"{'drug trafficking', 'drug'}"
37,5911,"{'Name', 'OrigName', 'Aliases'}","{'drug trafficking', 'drug'}"
38,5930,Remarks,"{'drug trafficking', 'drug'}"
39,6191,Designation,drug
40,6212,Designation,drug
41,6494,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
42,7660,Title,drug
43,8009,Remarks,"{'drug trafficking', 'drug'}"
44,8141,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
45,9733,Remarks,"{'drug trafficking', 'drug'}"
46,9735,Remarks,"{'drug trafficking', 'drug'}"
47,9737,Remarks,"{'drug trafficking', 'drug'}"
48,9739,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
49,9741,Remarks,"{'drug trafficking', 'drug'}"
50,10098,Aliases,"{'drug trafficking', 'drug'}"
51,10107,"{'Name', 'OrigName', 'Aliases'}","{'drug trafficking', 'drug'}"
52,10162,Remarks,"{'drug trafficking', 'drug'}"
53,10505,"{'Name', 'OrigName'}",tobacco
54,10506,Remarks,drug
55,10663,Remarks,"{'drug trafficking', 'drug'}"
56,10717,Remarks,"{'drug trafficking', 'drug'}"
57,10943,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
58,11165,Remarks,"{'drug trafficking', 'drug'}"
59,11696,Address,kat
60,13228,Remarks,"{'drug trafficking', 'drug'}"
61,13272,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
62,13290,Remarks,"{'drug trafficking', 'drug'}"
63,13295,Remarks,"{'drug trafficking', 'drug'}"
64,13296,Remarks,"{'drug trafficking', 'drug'}"
65,13404,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
66,13411,Remarks,"{'drug trafficking', 'drug'}"
67,13412,Remarks,"{'drug trafficking', 'drug'}"
68,13413,Remarks,"{'drug trafficking', 'drug'}"
69,13414,Remarks,"{'drug trafficking', 'drug'}"
