#,World Check Sanctions List,Data Links,Type,Data Available?,Global/Local,link/URL,Scrapper Available/ Not Available,Developer,Status
4,AUSTRALIA - ACCC - Australian Competition and Consumer Commission,https://www.legislation.gov.au/Details/C2018C00437,,,Local,https://www.accc.gov.au,Scrapper Not Available,,
5,AUSTRALIA - ANS-TERR - Australian National Security,https://www.nationalsecurity.gov.au/listedterroristorganisations/pages/default.aspx,Webpage,Data,Local,https://asic.gov.au/about-asic/what-we-do/our-role/other-regulators-and-organisations/the-apra-asic-relationship/,Scrapper Not Available,Barkat,Done
6,AUSTRALIA - APRA - Australian Prudential Reg. Authority,https://data.gov.au/organization/australianprudentialregulationauthority,XLS/PDF,Data,Local,https://www.apra.gov.au,Scrapper Not Available,,
9,AUSTRALIA - AUASX - Australian Securities Exchange,https://www.asx.com.au/asx/research/listedCompanies.do,Webpage,Data,Local,https://www.asx.com.au,Scrapper Not Available,Salman,Done
10,AUSTRALIA - DEPT OF FOREIGN AFFAIRS AND TRADE - SUBJECT TO UNSC TRAVEL BAN - DFAT-UNTB,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Webpage,Data,Global,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Scrapper Not Available,Salman,Done
11,AUSTRALIA - DFAT - Dept Foreign Affairs & Trade.,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Webpage,Data,Global,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Scrapper Not Available,Barkat,
12,AUSTRALIA - DFAT-AS - Dept Foreign Affairs - Autonomous Sanctions.,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Webpage,Data,Global,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Scrapper Not Available,Sharjeel,Pending
13,AUSTRALIA - DFAT-ASFSR - Dept Foreign Affairs - Financial Restrictions Russia,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Webpage,Data,Global,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Scrapper Not Available,,
14,AUSTRALIA - DFAT-ASTB - Dept Foreign Affairs Autonomous Sanctions Travel Bans,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Webpage,Data,Global,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Scrapper Not Available,,
15,AUSTRALIA - DFAT-TB - Dept Foreign Affairs - UN Travel Bans.,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Webpage,Data,Global,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Scrapper Not Available,,
16,AUSTRALIA - DFAT-UN - Dept Foreign Affairs & Trade UNSC Financial Sanctions.,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Webpage,Data,Global,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Scrapper Not Available,,
17,AUSTRALIA - IND. COMM. AGAINST CORRUPTION - ICACAUS,https://dfat.gov.au/international-relations/security/sanctions/Pages/sanctions.aspx,Webpage,Data,Local,https://www.fma.gv.at/en/cross-sectoral-topics/prevention-of-money-laundering-terrorist-financing/country-and-sanctions-lists/,Scrapper Not Available,,
18,AUSTRIA - ACB - Oesterreichische National Bank - Terrorism List,https://www.oenb.at/Ueber-Uns/Rechtliche-Grundlagen/Verordnungen-nach-DevG.html,,,Global,https://www.oenb.at/en/Payment-Processing/Credit-Transfers/Embargo-Provisions.html,Scrapper Not Available,,
20,AUSTRIA - FMA - Financial Market Authority,https://www.fma.gv.at/en/search-company-database/,Webpage,Data,Local,https://www.fma.gv.at/en/,Scrapper Not Available,,
21,AZERBAIJAN - AZFMS - Financial Monitoring Service - Sanctions Notices,http://www.fiu.az/eng/list-of-designated-persons-updated/,,,,http://www.fiu.az/eng/list-of-designated-persons-updated/,Scrapper Not Available,,
24,BAHAMAS - CENTRAL BANK WARNING NOTICES - CBBW,https://www.centralbank.ie/regulation/how-we-regulate/authorisation/unauthorised-firms/search-unauthorised-firms,Webpage,Data,Local,http://www.centralbankbahamas.com/legal_notices.php,Scrapper Not Available,Shahzaib,Done
26,BAHRAIN - BHTOL-Q - Bahrain Terror List - Qatar Linked,https://www.thenational.ae/world/gcc/uae-saudi-arabia-add-13-qatar-linked-individuals-and-entities-to-terror-list-1.678021,Webpage,Data,Local,https://edition.cnn.com/2017/06/05/middleeast/saudi-bahrain-egypt-uae-qatar-terror/index.html,Scrapper Not Available,,
29,BOSNIA AND HERZEGOVINA - BACBH - Court of Bosnia and Herzegovina,https://www.icj-cij.org/en/list-of-all-cases,Webpage,Data,Local,http://www.ccbh.ba/osnovni-akti/pravila-suda/uvod/?title=uvod&second=true&lang=en,Scrapper Not Available,,
30,BERMUDA - BMA - Bermuda Monetary Authority,http://www.bma.bm/aml-atf/SitePages/Registered%20Non-Licensed%20Persons.aspx,PDF,Data,Local,http://www.bma.bm/SitePages/Home.aspx,Scrapper Available but not integrated in LMS,,
31,BRAZIL - BRCEPIM - Impeded Non-Profit Organisations,https://en.wikipedia.org/wiki/Category:Non-profit_organisations_based_in_Brazil,Webpage,Data,Local,http://www.mondaq.com/brazil/x/413418/Corporate+Commercial+Law/Brazil+Nonprofit+Organizations+In+Brazil,Scrapper Not Available,,
32,CANADA - CAAMF - Autorite Des Marches Financiers,https://lautorite.qc.ca/en/general-public/registers/register-of-firms-and-individuals-authorized-to-practise/,,,Local,https://lautorite.qc.ca/grand-public/,Scrapper Not Available,,
33,CANADA - CAASC - Alberta Securities Commission,http://www.albertasecurities.com/industry/issuer-regulation/Pages/reporting-issuer-list.aspx,PDF,Data,Local,http://www.albertasecurities.com/Pages/home.aspx,Scrapper Not Available,,
34,CANADA - CACBSA - Canada Border Services Agency,https://www.cbsa-asfc.gc.ca/do-rb/provinces/bc-eng.html,Webpage,Data,Local,https://www.cbsa-asfc.gc.ca/contact/menu-eng.html,Scrapper Not Available,Amir saleem,Done
35,CANADA - CACCB - Canada Competition Bureau,https://www.canadianlawlist.com/listingdetail/company/competition-bureau-canada-719595/,,,Local,http://www.competitionbureau.gc.ca/eic/site/cb-bc.nsf/eng/home,Scrapper Not Available,,
36,CANADA - CAEC - Environment Canada,https://www.canada.ca/en/environment-climate-change/services/canadian-environmental-protection-act-registry/substances-list.html,Webpage,Data,Local,https://weather.gc.ca/city/pages/on-143_metric_e.html,Scrapper Not Available,,
37,CANADA - CAFIC - Financial Institutions Commission of British Columbia,https://www.bchousing.org/licensing-consumer-services/builder-licensing/home-warranty-insurance-providers,Webpage,Data,Local,https://www.fic.gov.bc.ca,Scrapper Not Available,,
38,CANADA - CAMFDA - Mutual Fund Dealers Association of Canada,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=22687381,Webpage,Data,Local,http://mfda.ca,Scrapper Not Available,,
39,CANADA - CAMSC - Manitoba Securities Commission,www.mbsecurities.ca/issuers/reporting-issuer-list.html,PDF,Data,Local,https://cto-iov.csa-acvm.ca/SearchArticles.asp?Instance=101&Form=1&Attr7=1&Attr3=1&am,Scrapper Not Available,Huzaifa,Done
41,CANADA - CANADIAN SECURITIES ADMINISTRATORS - ALERTS - CSA-ALERT,https://www.securities-administrators.ca/disciplinedpersons.aspx,Webpage,Data,Global,https://www.securities-administrators.ca/cease_trade.aspx?id=171,Scrapper Not Available,Amir saleem,Done
42,CANADA - CAN-AN - Advisory Notices.,https://travel.gc.ca/travelling/advisories,Webpage,Data,Local,https://www.securities-administrators.ca/aboutcsa.aspx?id=1348,Scrapper Not Available,,
43,CANADA - CANBSC - New Brunswick Securities Commission.,http://www.fcnb.ca/list-of-registrants.html,Webpage,Data,Local,http://www.nbsc-cvmnb.ca/nbsc/rules.jsp?id=7,Scrapper Not Available,,
46,CANADA - IIROC - Investment Industry Reg. Organisation of Canada,http://www.iiroc.ca/industry/Pages/Dealers-We-Regulate.aspx,Webpage,Data,Local,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,Scrapper Not Available,,
47,CANADA - NSSC - Nova Scotia Securities Commission,https://nssc.novascotia.ca/corporate-finance/reporting-issuers | https://cto-iov.csa-acvm.ca/SearchArticles.asp?Instance=101&Form=1&Attr3=1&Attr1=1&Attr1=2&Attr1=3&Attr1=4&Attr1=5&AttrSet4=1,,,Local,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,Scrapper Not Available,,
48,CANADA - OSFI - Bank Warning Notices,https://www.centralbankbahamas.com/legal_notices.php,PDF,Data,Local,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,Scrapper Not Available,,
50,"CANADA - PRPS - Reg. Police Service, Peel.",https://www.peelpolice.ca/Modules/News/Search.aspx?feedId=5dd101f7-e47a-4cdb-98c1-2e2cd6b2d1f9&page=1,Webpage,Data,Local,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,Scrapper Not Available,Muhammad Ilyas,Done
