Allegiance,Alma mater,Awards,Born,Children,Citizenship,Died,Education,Father,Height,Nickname(s),Parents,Police encounter,Profession,Rank,Relations,Relatives,Residence,Resting place
 Pakistan,,,,,,,,,,,,,, Major General,,,,
 Pakistan,,,,,,,,,,,,,, Major General,,,,
,University of Engineering and Technology of Peshawar(BEng and MEng)University of Peshawar(BA and MA),,"Farhatullah BabarPeshawar, North-West Frontier Province (now-Khyber-Pakhtunkhwa, West-Pakistan (present-day Pakistan)",,,,,,,,,,Chemical Engineer,,,,"Islamabad, Islamabad Capital Territory",
,,,,Shahzada Muhammad Asif Khan,,"(1983-09-00)September , 1983Sum Elai-Mang, Pakistan",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Harvard UniversityUniversity of Oxford,,"(1953-06-21)21 June 1953Karachi, Sindh, Pakistan",BilawalBakhtawarAseefa,,"27 December 2007(2007-12-27) (aged 54)Rawalpindi, Punjab, Pakistan",,,,,Zulfikar Ali Bhutto (Father)Nusrat Bhutto (Mother),,,,Bhutto familyZardari family,,,Bhutto family mausoleum
,,,,,,,,,,,,Resting place,,,,,,
,,," (1982-05-29) 29 May 1982 (age 36)Kabul, Afghanistan",,,,,,,,,,,,,Bhutto family,"Karachi, Pakistan",
,"Christ Church, Oxford",,"Bilawal Zardari[1] (1988-09-21) 21 September 1988 (age 30)Karachi, Sindh, Pakistan",,,,,,,,Asif Ali Zardari  Benazir Bhutto,,,,,Zardari family  Bhutto family,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Harvard UniversityUniversity of Oxford,,"(1953-06-21)21 June 1953Karachi, Sindh, Pakistan",BilawalBakhtawarAseefa,,"27 December 2007(2007-12-27) (aged 54)Rawalpindi, Punjab, Pakistan",,,,,Zulfikar Ali Bhutto (Father)Nusrat Bhutto (Mother),,,,Bhutto familyZardari family,,,Bhutto family mausoleum
,,,,,,,,,,,,Resting place,,,,,,
