Name,Designation,DOB,URL,Constituency,Remarks
Abdul Khaliq,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/816,PB-27 Quetta-IV,"{'Current Posts': 'Advisor To CM: Culture, Tourism & Archives and Sports & Youth Affairs', 'Party Affiliation': 'Hazara Demoratic Party', ""Father's/Husband's Name"": 'Ahmad Ali', 'Religion': 'Islam'}"
Zubeda,Member of Balochistan Assembly (Provincial),1/3/1990,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/838,PBW-57,"{'Academic Qualifications': 'Matric', 'Party Affiliation': 'Mutahida Majlis-e-Amal', ""Father's/Husband's Name"": 'Allah Dad', 'Marital Status': 'Un-Married', 'Place of Birth': 'Quetta', 'Permanent Contact': 'Nawa Killi Kakar Abad, Muhalla Anwar Shah Colony Quetta.\nMob:- 0301-3754003', 'Religion': 'Islam'}"
Zmarak Khan,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/830,PB-21 Killa Abdullah-I,"{'Current Posts': 'Minister: Agriculture & Cooperatives', 'Party Affiliation': 'Awami National Party', ""Father's/Husband's Name"": 'Hayatullah'}"
Zeenat Shahwani Advocate,Member of Balochistan Assembly (Provincial),3/5/1986,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/839,PBW-58,"{'Academic Qualifications': 'L.L.B. Bachelor of Arts', 'Profession(s)': 'Advocate', 'Party Affiliation': 'Balochistan National Party', 'Email': 'zeenatshah189@gmail.com', ""Father's/Husband's Name"": 'Malik Yar Muhammad', 'Place of Birth': 'Quetta', 'Permanent Contact': 'Killi Kechi Baig Sariab Road Quetta'}"
Zahoor Ahmed Buledi,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/822,PB-45 Kech I,"{'Current Posts': 'Minister: Information, Higher Education', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Mir Manzoor Ahmed', 'Religion': 'Islam'}"
Zabid Ali,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/850,PB-41 Washuk,"{'Party Affiliation': 'Mutahida Majlis-e-Amal', ""Father's/Husband's Name"": 'Shah Saleem Khan'}"
Younas Aziz Zehri,Member of Balochistan Assembly (Provincial),23-12-68,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/806,PB-39 Khuzdar-II,"{'Academic Qualifications': 'Cilvil Engineering', 'Profession(s)': 'Businessman', 'Party Affiliation': 'Mutahida Majlis-e-Amal', 'Email': 'younaszehri091@gmail.com', ""Father's/Husband's Name"": 'Mir Abdul Aziz Zehri', 'Marital Status': 'Married', 'Place of Birth': 'Khuzdar', 'Permanent Contact': 'Jhalawan Street RCD Khuzdar.\nMob:- 0333-7171717', 'Present Contact': 'House No-51 Phase-1 Shahbaz Town Quetta.', 'Religion': 'Islam'}"
Umar Khan Jamali,Member of Balochistan Assembly (Provincial),27-11-77,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/793,PB-13 Jaffarabad-I,"{'Current Posts': 'Minister: Inter Provincial Coordination and Transport', 'Academic Qualifications': 'Matric', 'Profession(s)': 'Agriculturist', 'Party Affiliation': 'Pakistan Tehreek e Insaf', ""Father's/Husband's Name"": 'Mir Zafarullah Khan Jamali', 'Marital Status': 'Married', 'Place of Birth': 'Rojhan Jamali Jaffarabad', 'Permanent Contact': 'Rojhan Jamali District Jaffarabad\nMob:- 0345-3977500', 'Religion': 'Islam'}"
Titus Johnson,Member of Balochistan Assembly (Provincial),17-09-61,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/845,NM-65,"{'Profession(s)': 'Social Worker', 'Party Affiliation': 'Balochistan National Party', ""Father's/Husband's Name"": 'Ashraf Johnson', 'Marital Status': 'Married', 'Place of Birth': 'Quetta', 'Permanent Contact': '0331-3007935\n0306-3737026\nHouse B-10 Christian Town Near Church \nSamanguli Road Quetta', 'Religion': 'Christian'}"
Syed Muhammad Fazal Agha,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/829,PB-20 Pishin III,"{'Party Affiliation': 'Mutahida Majlis-e-Amal', ""Father's/Husband's Name"": 'Syed Abdul Ghani'}"
Syed Ehsan Shah,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/821,PB-46 Kech II,"{'Party Affiliation': 'Balochistan National Party', ""Father's/Husband's Name"": 'Syed Aslam Shah'}"
Sham Lal,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/844,NM-64,"{'Party Affiliation': 'Mutahida Majlis-e-Amal', ""Father's/Husband's Name"": 'Damoo Lal'}"
Shakeela Naveed Noor Qazi,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/840,PBW-59,"{'Academic Qualifications': 'M.A (IR) Fellowship (USA)', 'Profession(s)': 'Social-Political Activist', 'Party Affiliation': 'Balochistan National Party', 'Email': 'straisani@yahoo.com', ""Father's/Husband's Name"": 'Naveed Noor Qazi', 'Marital Status': 'Married', 'Place of Birth': 'Quetta', 'Permanent Contact': 'Killi Kandawa District Mastung.\nMob:- 0331-0338946', 'Present Contact': 'House No-1 Dehwar House Bolan Town Quetta.', 'Religion': 'Islam'}"
Sardar Yar Muhammad Rind,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/797,PB-17 Kachhi-cum-Mastung,"{'Party Affiliation': 'Pakistan Tehreek e Insaf', ""Father's/Husband's Name"": 'Sardar Khan Rind', 'Religion': 'Islam'}"
Sardar Sarfaraz Chakar Domki,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/789,PB-7 Sibi-cum-Lehri,"{'Current Posts': 'Minister: Labour & Manpower', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Sardar Mir Chakar Khan', 'Marital Status': 'Married', 'Religion': 'Islam'}"
Sardar Sanaullah Zehri,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/805,PB-38 Khuzdar-I,"{'Party Affiliation': 'Pakistan Muslim League', ""Father's/Husband's Name"": 'Sardar Doda Khan Zehri', 'Marital Status': 'Married', 'Permanent Contact': 'Jhalawan House, Anjeera Zehri, Tehsil and District Khuzdar.', 'Religion': 'Islam'}"
Sardar Babar Khan,Member of Balochistan Assembly (Provincial),20-03-91,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/786,PB-1 Musakhel-cum-Sherani,"{'Current Posts': 'Deputy Speaker', 'Party Affiliation': 'Pakistan Tehreek e Insaf', 'Email': 'babarkhan_ii@hotmail.com', ""Father's/Husband's Name"": 'Sardar Asmatullah', 'Marital Status': 'Married', 'Place of Birth': 'Quetta', 'Permanent Contact': '0333-9382666', 'Present Contact': 'House D-16 Railway Housing Society, Joint Road Quetta', 'Religion': 'Islam'}"
Sardar Abdul Rehman Khetran,Member of Balochistan Assembly (Provincial),20-12-58,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/790,PB-8 Barkhan,"{'Current Posts': 'Minister: Science & Information Technology, Population Welfare', 'Academic Qualifications': 'L.L.B. MA IR MA Economics', 'Profession(s)': 'Landlord\t\t\t\t\n\t\t\tPolitician', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Sardar Meer Ahmad Shah', 'Marital Status': 'Married', 'Place of Birth': 'Barkhan', 'Permanent Contact': 'Haji Kot Tehsil and District Barkhan.\nMob: - 0300-9386966', 'Present Contact': 'Khetran House, Banglow No 10 Patel Bagh Jinnah Road Quetta', 'Religion': 'Islam'}"
