allegiance,alma mater,awards,based in,battles/wars,born,cabinet,cause of death,chief minister of punjab (pakistan),children,citizenship,civilian awards,commands,committees,died,domestic partner,education,father,known for,military awards,mother,national awards,nationality,net worth,nickname(s),notable awards,occupation,other politicalaffiliations,other names,parents,period in office,political party,portfolio,post,post-retirement work,predecessor,profession,rank,relations,relatives,religion,residence,resting place,s/no.,salary,school,service/branch,spouse,spouse(s),unit,website,years of service
,,,,, (1971-07-05) 5 july 1971 (age 47)karachi| sindh| pakistan,,,,2[2],,,,,,,,,,,,,pakistani,,,,tv show host,,,sheikh liaquat,,pakistan tehreek-e-insaf (2018 – )  muttahida qaumi movement (2002 – 2016),,,,,,,,,,karachi,,,,,,,syeda bushra aamir  syeda tuba anwar (m. 2018)[1],,aamirliaquat.com,
,,,,,haripur district,,,,,,,,,,,,,,,,,pakistani,,,,politician,,,,,pakistan muslim league (n)[1],,,,,,,,,,,,,,,,,,,,
,university of bombay,,,,aftab ahmad ghulam nabi kazi(1919-11-06)6 november 1919sindh| british indian empire,,,,,pakistan,,,,9 august 2016(2016-08-09) (aged 96)islamabad| pakistan,,,,,,,,sindhi,,,star of pakistan (1966) star of service (1969),teacher| civil servant,,,,,,,,,,,,,,,,,,,,,,zakia nabi kazi,,,
,,,,,1920| srinagar| kashmir,,,,agha azhar ali| agha shehryar ali| tehmina khan| rabia ali,,,,,19 march 2013| u.s.,,sri pratap college| aligarh muslim university| princeton university,agha zaffar ali qizilbash,,,begum zaffar ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,mussarat nizamuddin agha,,,
,,,pakistan,,(1940-05-12)may 12| 1940tharparkar district| sindh| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,10 february 1984 - present,,,quaid-i-millat-e-jafariya,,mufti jafar hussain,,,,,islam,,,,,twelver,,,,,,
,bombay university(b.a.(hons) and llb),,,,ahmed hussain a. kazi(1920-08-15)15 august 1920hyderabad| sindh,,,,,,,,,7 january 2007(2007-01-07) (aged 86),,,,,,,tamgha-e-pakistan[1],pakistani,,,,lawyereconomist,,,,,,,,,,civil servantmathematician,,,,,karachi| sindh province,,,,,,,ayesha kazi,,,
,,,,, (1955-07-26) 26 july 1955 (age 63)karachi| sind| pakistan,,,,3| including bilawal,,,,,,,,,,,,,pakistani,₨758 million (us$7.2 million)[3],mr. ten percent,,,,,bilquis sultana and hakim ali zardari[2],,pakistan people's party,,,,,,,,see the zardari family,,,,,,,,,benazir bhutto(m. 1987; died 2007),,,
,,,,, (1955-07-26) 26 july 1955 (age 63)karachi| sind| pakistan,,,,3| including bilawal,,,,,,,,,,,,,pakistani,₨758 million (us$7.2 million)[3],mr. ten percent,,,,,bilquis sultana and hakim ali zardari[2],,pakistan people's party,,,,,,,,see the zardari family,,,,,,,,,benazir bhutto(m. 1987; died 2007),,,
,,,,, (1955-07-26) 26 july 1955 (age 63)karachi| sind| pakistan,,,,3| including bilawal,,,,,,,,,,,,,pakistani,₨758 million (us$7.2 million)[3],mr. ten percent,,,,,bilquis sultana and hakim ali zardari[2],,pakistan people's party,,,,,,,,see the zardari family,,,,,,,,,benazir bhutto(m. 1987; died 2007),,,
,,,,"war in waziristan (1936–39)world war ii
burma campaign
",muhammad ayub khan(1907-05-14)14 may 1907rehana| haripur district in north-west frontier province| british raj(now in khyber-pakhtunkhwa| pakistan),ministry of talents,cardiac arrest,,gohar| and nasim, pakistan(1947-74), nishan-i-pakistan hilal-i-pakistan order of the crown,adjutant-general| army ghqgoc-in-c| eastern command| daccagoc 14th infantry division| dacca,,19 april 1974(1974-04-19) (aged 66)islamabad| pakistan,,,,, hilal-e-jurat,,,,,,,,,,,,,,,,,,  field marshal,,,,,rehana| haripur| khyber-pakhtunkhwa in pakistan),,,, british indian army(1928-47) pakistan army(1947–58),,,19/14th punjab regiment,,1928–58
