Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Mar 19,Average Prices Fab19,Average Prices Mar 18,%change Mar 19 over Feb 19,%change Mar 19 over Mar 18
Wheat,10 Kg,362.5,362.5,362.5,374,347.5,350,325,340,336.88,390,353.75,325,348.75,370,355,360,350,353.73,355.14,341.9,-0.4,3.46
"Wheat Flour, Bag",10 Kg,393.75,393.33,380,390,392.5,395,365,379.58,390,449.95,417.5,383.75,383.75,390.83,396.25,420,386.25,394.56,395.24,384.16,-0.17,2.71
"Rice Basmati Broken, (AQ)",1 Kg,96.88,89.38,70,70,74.82,85,65,87.5,60,85.68,85,65,83.13,84.38,53.75,95,80,78.27,78.14,73.94,0.17,5.86
Rice Irri-6 (Punjab/Sindh),1 Kg,66.25,65,60,47.5,57,61.25,70,50,47.5,59.29,51,55,42.06,57.09,62.5,75,53.75,57.66,56.5,52.01,2.05,10.86
"Bread Plain, Medium Size",Each,45,45,45,40,44.29,45,45,45,45,45.19,44,50,45,45,35,40,40,43.73,43.59,42.56,0.32,2.75
"Beef With Bone, (AQ)",1 Kg,481.25,451.77,375,450,389.2,375,400,390,365,468.65,390,400,397.5,372.5,350,380,400,402.11,400.15,350.42,0.49,14.75
"Mutton, Average Quality",1 Kg,954.54,945.52,800,900,869.64,850,875,829.17,725,887.26,800,750,825,825,600,775,750,821.24,819.25,744.88,0.24,10.25
"Chicken Farm, Broiler, Live",1 Kg,170.27,159.38,153,159,159.75,162,161.88,185.71,173.5,204.78,193.44,195,193.75,171.25,166.75,200,225.63,178.53,151.73,168.86,17.66,5.73
"Milk, Fresh, Unboiled",1 Ltr,102.5,100.83,90,80,78,90,70,83.33,67.5,94.19,94,90,95,95,85,98.75,80,87.89,87.08,82.5,0.93,6.53
Curd (Dahi),1 Kg,116.25,112.92,100,90,92.5,97.5,90,97.5,80,141.73,135,100,98.75,106.67,95,110,90,103.17,102.95,99.12,0.21,4.09
"Powdered Milk, Nido, Polybag",400 gm,410.26,410.26,410.26,410.26,410,405,413.13,410.25,410,400,400,389.74,425,392.5,410.25,400,400,406.29,405.97,384.27,0.08,5.73
"Eggs Hen, Farm",Dozen,98.75,91.79,93.13,98.13,91.75,95.63,91.25,91.46,88.5,101.36,98.13,103.75,104.38,104.58,113.75,131.25,121.25,101.11,111.67,94.72,-9.46,6.75
"Mustard Oil, Average Quality",1 Kg,246.25,241.67,170,160,187.86,220,190,184.17,170,184.23,160,150,202.5,231.67,182.5,195,200,192.7,191.37,183.55,0.69,4.99
"Cooking Oil, Tin, (SN)",2.5 Ltr,532.5,532.5,520,520,520,520,520,526.25,532.5,510,510,510,502.5,513,515,520,460,515.54,512.82,471,0.53,9.46
"Vegetable Ghee, Tin, (SN)",2.5 Kg,505,505,495,495,495,495,495,500,505,490,490,490,492.5,495,490,492.5,455,493.24,490.88,464.35,0.48,6.22
Vegetable Ghee (Loose),1 Kg,159.92,159.43,155,155,158,148.13,150,164.08,165,162.07,195,145,130,170.42,175,195,125,159.53,158.98,145.73,0.35,9.47
Bananas,Dozen,146.88,126.88,82.5,80,107.86,75,61.88,99.59,82.5,77.36,62.19,72.5,70,85.83,69.38,70,86.25,85.68,74.46,81.13,15.07,5.61
"Pulse Masoor, Washed",1 Kg,133.75,119.38,150,150,133.93,134.38,136.25,109.17,110,105.43,104.85,110,101.25,93.75,117.5,132.5,128.75,121.82,121.7,115.41,0.1,5.55
"Pulse Moong, Washed",1 Kg,151.88,145.52,135,132.5,126.79,136.25,140,144.17,133.75,145.94,139.38,150,140,122.29,133.75,147.5,127.5,138.37,125.25,116.21,10.48,19.07
"Pulse Mash, Washed",1 Kg,167.5,157.5,155,160,157.14,158.75,180,145.83,140,146.11,126.25,140,140,135.17,137.5,185,153.75,152.09,152.99,151.17,-0.59,0.61
"Pulse Gram, Washed",1 Kg,143.13,137.08,110,105,120.71,125,116.25,117.92,130,131.78,121.88,125,120,127.71,108.75,148.75,137.5,125.09,126.02,114.75,-0.74,9.01
Potatoes,1 Kg,34.69,27.82,18.13,20,19.11,18.44,12,16.67,20,23.27,19.07,19.38,18.75,26.46,18.44,25,22.19,21.14,21.51,23.98,-1.72,-11.84
Onions,1 Kg,53.75,44.58,38.75,42.5,36.25,41.56,33.13,32.5,34.38,31.97,27.03,30,33.13,44.69,37.5,32.5,32.5,36.87,28.6,33.11,28.92,11.36
Tomatoes,1 Kg,125.63,114.58,125,115,107.86,110,90,111.88,103.75,86.92,77.35,88.75,88.75,98.75,66.88,88.75,100.63,100.03,108.53,31.8,-7.83,214.56
"Sugar, Refined",1 Kg,64.86,62.49,61.5,62,61.79,60.38,59.94,60,60,61.68,59.25,60.13,58.63,61.71,61.63,63.5,60,61.15,59.14,51.33,3.4,19.13
"Gur, Average Quality",1 Kg,105.63,93.33,90,90,105.71,92.5,79.38,87.92,90,98.66,90.32,86.25,81.88,88.33,83.75,95,87.5,90.95,87.13,76.32,4.38,19.17
"Salt Powder, Loose, Lahori",1 Kg,12,12,15,15,20.54,10,10,10,12,12,15,10,10,15,12,10,10,12.38,12.35,11.12,0.24,11.33
"Red Chilly Powder, Loose",1 Kg,397.5,355,320,320,320.36,390,408.75,306.67,310,382.12,385,390,276.25,356.67,360,360,290,348.72,347.71,260.23,0.29,34
Garlic,1 Kg,218.75,203.33,173.75,180,171.25,153.13,161.25,162.92,160,207.6,168.75,185,153.75,202.5,185.63,177.5,200,180.3,165.78,174.45,8.76,3.35
"Tea, Lipton Yellow Label, Packet",200 gm,221.05,221.05,221.05,221.05,221.05,221.05,221.05,221.05,221,221.05,221.05,221.05,221.05,221.05,221.05,221.05,194.8,219.5,219.5,193.34,0,13.53
"Cooked Beef, Average Hotel",Plate,128.13,117.92,125,130,115,150,120,103.75,125,99.23,95,100,100,120,105,90,185,118.18,115.31,103.91,2.49,13.73
"Cooked Daal, Average Hotel",Plate,85,75.83,53.75,60,67.32,55,50,42.5,60,64.04,60,70,65,60,50,75,87.5,63.58,62.92,58.29,1.05,9.08
"Tea Prepared, Average Hotel",Cup,25.31,25,21.25,20,23.93,22.5,25,23.12,22.5,24.42,30,25,28.75,15,20,21,20,23.1,22.63,21.19,2.08,9.01
"Cigarettes, K-2, 20's",Packet,60,60,60,60,60,70,60,50,60,60,60,60,50,65,70,50,60,59.71,59.71,50.76,0,17.63
Long Cloth,1 mtr,240,230,172.5,160,292.5,237.5,275,292.5,255,180,255,375,200,350,336.25,380,250,263.6,240.59,214.02,9.56,23.17
Shirting,1 mtr,225.63,220,185,180,165,125,170,240,125,166.15,140,175,157.5,321,163.75,160,170,181.71,180.75,171.06,0.53,6.23
Lawn,1 mtr,255,235,217.5,220,329.38,280,393.34,200,383.5,418.27,280,393,366,393,349,350,250,312.53,288.61,258.75,8.29,20.78
Georgette,1 mtr,172.5,171.04,160,140,145,160,150,105,110,121.93,120,150,130,123.33,100,105,150,136.11,133.25,128.32,2.15,6.07
Sandal Bata (Gents),Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
Chappal Spounge Bata (Gents),Pair,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,179.09,0,11.12
Sandal Bata (Ladies),Pair,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,502.39,0,19.23
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,,145.08,145.08,128.7,0,12.73
Kerosene Oil,1 Ltr,137.5,135,126,131,130,128,120,117.92,127.5,137.12,120,117.5,142.5,122,110,98,90,122.94,120.77,115.11,1.8,6.8
Firewood Whole,40 Kg,787.5,741.67,775,750,810.71,600,550,710.42,650,666.83,600,400,450,729.17,500,650,625,646.84,647.24,633,-0.06,2.19
Energy Saver (14 watts),Each,167.5,167.5,170,155,170,165,180,165,175,180,200,155,180,185,170,180,150,171.47,171.18,170.15,0.17,0.78
"Washing Soap, (Nylon), (SN)",Cake,30,30,40,39.25,45,30,45,22,20,14,30,28,30,20,25,40,40,31.07,29.76,26.15,4.4,18.81
"Match Box, Regular",Each,2,2,2,2,3,2.5,3,3,2.5,3,3,2.5,3,2,3,2,1.5,2.47,2.47,2.26,0,9.29
"Petrol, Super",1 Ltr,93.35,93.35,93.4,94.9,94.24,93.3,93.5,93.95,94.39,93.34,94.08,93.35,93.6,93.35,95.7,93.19,96.22,93.95,91.35,88.99,2.85,5.57
Hi Speed Diesel (HSD),1 Ltr,111.9,111.9,111.9,113.1,111.78,111.89,112,112.6,113.05,111.89,112.62,111.9,112.1,111.9,114.7,111.73,114.76,112.45,107.65,99.4,4.46,13.13
"LPG Cylinder, 11kg",Each,1452.5,1455,1265,1430,1251.01,1250,1287.5,1318.33,1375,1329.91,1416.25,1512.5,1430,1375,1312.5,1425,1475,1374.15,1371.74,1190,0.18,15.47
