Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices May 19,Average Prices Apr 19,Average Prices May 18,%change May 19 over Apr 19,%change May 19 over  May 18,,,
Wheat,10 Kg,362.5,362.5,370,340,347.5,353,312.5,323.5,335.5,383,327.5,327.5,310,386,363,360,350,347.88,346.36,321.05,0.44,8.36,,,
"Wheat Flour, Bag",10 Kg,412.38,408.08,393,392,398.5,402.5,364,374,390,439.19,409.25,374,363,406.5,401,408,382.5,395.17,388.61,354.18,1.69,11.57,,,
"Rice Basmati Broken, (AQ)",1 Kg,96.88,89.38,70,70,74.82,90,67.5,88.16,60,85.77,85,65,85,84.17,53.75,102,80,79.26,78.79,74.64,0.6,6.19,,,
Rice Irri-6 (Punjab/Sindh),1 Kg,66.25,65,60,47.5,57,65,70,50,47.5,60.4,51,55,42.5,58.5,62.5,82,56.25,58.61,58.38,52.93,0.39,10.73,,,
"Bread Plain, Medium Size",Each,45,45,45,40,44.29,45,45,45,45,48,50,50,45,45,35,43,40,44.43,43.78,42.56,1.48,4.39,,,
"Beef With Bone, (AQ)",1 Kg,484,467.58,375,450,423.21,375,400,396.67,365,484.39,398,400,400,381.67,350,386,400,408.03,404.42,361.91,0.89,12.74,,,
"Mutton, Average Quality",1 Kg,976.13,964.09,800,900,923.21,950,875,850,725,908.08,800,750,825,825,690,850,750,844.79,832.33,768.18,1.5,9.97,,,
"Chicken Farm, Broiler, Live",1 Kg,177.56,165.7,164.8,169.6,169.8,170.8,169,184.17,169,202.55,194.75,192.4,192,179.2,187.6,219,238,185.05,192.12,188.06,-3.68,-1.6,,,
"Milk, Fresh, Unboiled",1 Ltr,102.5,100.83,90,80,78,90,70,83.33,67.5,94.87,94,90,95,97.66,85,110,80,88.75,88.57,84,0.2,5.65,,,
Curd (Dahi),1 Kg,116.25,112.92,100,90,92.5,97.5,90,99.17,80,142.54,135,100,100,109.33,100,120,90,104.42,103.99,101.23,0.41,3.15,,,
"Powdered Milk, Nido, Polybag",400 gm,410.26,410.26,410.26,410.26,410,405,416,410.25,410,400,430.76,410.25,425,399.33,410.25,420,400,411.05,409.81,384.44,0.3,6.92,,,
"Eggs Hen, Farm",Dozen,86.16,78.03,79.35,83,79.6,77.4,78.4,76,76.8,85.04,82.8,84,74.5,87.83,100,105,120,85.52,85.6,91.16,-0.09,-6.19,,,
"Mustard Oil, Average Quality",1 Kg,246.25,241.67,170,160,187.86,220,190,184.17,170,185.92,160.75,150,215,233.33,177.5,210,200,194.26,193.63,184.42,0.33,5.34,,,
"Cooking Oil, Tin, (SN)",2.5 Ltr,535,535,526,520,530,520,520,545,545,545,516,510,528.5,513,515,525,460,522.85,521.35,476.49,0.29,9.73,,,
"Vegetable Ghee, Tin, (SN)",2.5 Kg,505,505,500,495,520,495,495,515,515,515,500,490,516,495,490,520,455,501.53,499.04,470.38,0.5,6.62,,,
Vegetable Ghee (Loose),1 Kg,162.5,162.08,155,155,160,149.7,151.2,162.67,165,165.96,195,145,139.5,173,175,195,125,160.98,160.41,148.34,0.36,8.52,,,
Bananas,Dozen,164.38,149.17,132.5,134,133.86,104.25,97,125,113,99.81,104.5,88,104,108.17,121.5,108,82,115.83,94.02,112.25,23.2,3.19,,,
"Pulse Masoor, Washed",1 Kg,133.75,115.22,150,150,133.93,135,138,110,120,109.19,102.88,110,109,93.27,115,148,117,122.96,122.98,112.45,-0.02,9.35,,,
"Pulse Moong, Washed",1 Kg,161,153.15,150.5,161,149.86,155,161,156,158,157.15,157.5,150,146,146.83,150.5,180,137,154.73,144.88,113.91,6.8,35.84,,,
