,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Nov 16 ,Average Prices Oct 16,Average Prices Nov 15,%change November 2016 over Oc 16,%change November 2016 over Nov 15
Wheat,10 Kg,360,360,350,350,346.25,335,322.5,326.88,336.25,362.5,338.75,337.5,320,345,337,350,350,342.8,338.99,347.68,1.12,-1.4
"Wheat Flour, Bag",10 Kg,389.69,384.17,380,390,380,355,355,377.5,380,442.7,420,378.75,370,382.5,382.5,400,390,385.75,383.4,396.26,0.61,-2.6
"Rice Basmati Broken, (AQ)",1 Kg,79.38,74.17,50,55,62.68,60,55,67.5,55,69.62,72.5,65,60,68.33,50,60,50,62.01,62.04,62.78,-0.05,-1.2
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,53.07,50,50,40.5,47.5,43.96,40,52.5,36,46.67,53.5,50,40,47.88,48.19,46.03,-0.64,4
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,40.82,0,0.7
"Beef With Bone, (AQ)",1 Kg,338.75,337.5,290,300,344.29,350,300,320,300,375,310,310,310,307.5,300,400,320,324.3,324.3,316.1,0,2.5
"Mutton, Average Quality",1 Kg,752.5,741.25,625,650,805.36,700,687.5,675,600,676.35,618.75,590,600,650,510,660,575,653.92,653.54,624.81,0.06,4.6
"Chicken Farm, Broiler, Live",1 Kg,148.07,129.12,129.25,135.25,125.86,130.63,130,147.5,136.5,155.64,143.83,152.5,141.25,141,147.5,176.25,195,145.01,155.94,135.98,-7.01,6.6
"Milk, Fresh, Unboiled",1 Ltr,97.5,92.92,80,70,77.21,80,65,78.33,67.5,82.77,80,80,80,85,80,90,80,80.37,80.37,77.96,0,3
Curd (Dahi),1 Kg,108.13,101.67,90,80,83.04,95,80,90.83,80,120,106,95,95,96.67,87.5,100,90,94.05,94.05,92.06,0,2.1
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,389.74,389.74,389.74,389.74,389.74,389.74,389.74,389.74,380,389.74,380,389.74,389.74,389.74,388.59,388.59,377.65,0,2.9
"Eggs Hen, Farm",Dozen,122.6,118.03,120.25,123.75,117.04,124.38,121.75,123.33,125.25,120.44,121.06,130,116.88,123.25,125.63,117.5,120,121.83,98.51,98.52,23.67,23.6
"Mustard Oil, Average Quality",1 Kg,240,220,145,160,183.93,200,175,177.5,170,168.85,148.13,137.5,190,220,200,190,160,181.52,180.75,180.18,0.43,0.7
"Cooking Oil, Tin, (SN)",2.5 Ltr,445,445,467,467,445,445,440,465,445,468,469,468,455,445,475,445,440,454.65,454.65,455.04,0,0
"Vegetable Ghee, Tin, (SN)",2.5 Kg,440,440,452,452,440,440,445,440,445,453,452,453,440,440,470,430,445,445.71,445.41,446.9,0.07,-0.2
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,144.38,145,145,139.43,139.38,139.75,143.42,145,145.38,150,145,126.25,156.25,160,125,120,142.38,142.79,137.16,-0.29,3.8
Bananas,Dozen,118.75,79.58,54.38,60,68.04,55,52.5,67.71,55,59.52,44.85,55,55,71.67,54.38,60,55,62.73,63.44,59.29,-1.12,5.8
"Pulse Masoor, Washed",1 Kg,167.5,165,146.25,160,167.32,153.75,150,134.17,140,148.75,137.5,145,126.25,139.08,140,156.25,150,148.64,148.63,145.65,0.01,2
"Pulse Moong, Washed",1 Kg,168.13,146.67,142.5,160,154.29,144.38,132.5,123.33,140,148.94,144.38,155,145,125.42,120,145,180,145.62,146.7,160.11,-0.74,-9
