Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Nov 18,Average Prices  Oct 18,Average Prices Nov 17 ,%change Nov 18 over Oct 18,%change Nov 18 over Nov 17
Wheat,10 Kg,352,352,362.5,362.5,347.5,337.5,325,329.5,336.75,383,360,325,345,360,345,350,350,348.43,340.06,335.64,2.46,3.81
"Wheat Flour, Bag",10 Kg,392.5,388.75,380,390,392.5,399,359,375,390,444.04,420,387,382,399.17,400,410,390,394.06,393.35,385.74,0.18,2.16
"Rice Basmati Broken, (AQ)",1 Kg,96.88,89.38,70,70,74.82,102,65,87.5,60,84.65,85,65,80,82.5,53.75,88,67,77.73,77.14,70.67,0.76,9.99
Rice Irri-6 (Punjab/Sindh),1 Kg,60,57.5,60,47.5,57,60,70,48.5,47.5,55.06,48.8,52.5,40.75,59.33,57.5,50,56.5,54.61,54.42,50.96,0.35,7.16
"Bread Plain, Medium Size",Each,45,45,42,40,44.29,45,45,45,45,45.19,44,50,45,40,35,40,35,42.97,42.85,42.44,0.28,1.25
"Beef With Bone, (AQ)",1 Kg,446.88,431.92,375,400,381.96,375,400,390,365,454.54,380,350,350,350.83,330,380,350,383.01,379.74,343.75,0.86,11.42
"Mutton, Average Quality",1 Kg,920.63,908.33,800,800,869.64,850,850,825,725,873.08,790,750,790,791.67,600,775,710,801.67,794.05,727.64,0.96,10.17
"Chicken Farm, Broiler, Live",1 Kg,190.26,180.92,172.6,178.8,172.2,174.9,169,185,176,205.23,200.38,202,196,186.4,193.8,201,200.5,187.35,155.83,130.25,20.23,43.84
"Milk, Fresh, Unboiled",1 Ltr,102.5,100.83,80,80,77.21,85,70,83.33,67.5,94.19,94,80,90,91.67,82.5,95,80,85.51,85.51,82.5,0,3.65
Curd (Dahi),1 Kg,116.25,112.92,100,90,90,95,90,97.5,80,140.96,135,100,95,105.83,90,110,90,102.26,102.26,98.65,0,3.66
"Powdered Milk, Nido, Polybag",400 gm,406.16,406.16,406.16,404.11,410,398.9,379.48,402.05,410,400,379.48,389.74,414.8,370,410.25,389.74,380,397.47,387.31,379.18,2.62,4.82
"Eggs Hen, Farm",Dozen,121.22,114.67,117.5,120,112.8,118.3,116.3,119.5,119.6,127.68,127.75,128,118,122.33,120,133,117.5,120.83,111.02,132.22,8.84,-8.61
"Mustard Oil, Average Quality",1 Kg,240,231.67,170,160,183.93,200,193,184.17,170,184.39,160,150,194,220,165,190,200,188.01,187.91,184.95,0.05,1.65
"Cooking Oil, Tin, (SN)",2.5 Ltr,505,505,506,488.2,492,485,485,498,515,486,491,480,490,485,503,471,460,490.89,483.26,469.47,1.58,4.56
"Vegetable Ghee, Tin, (SN)",2.5 Kg,486,486,489,480,486,480,475,484,492,484,486,480,480,480,485.8,466,455,480.87,476.25,462.71,0.97,3.92
Vegetable Ghee (Loose),1 Kg,158.56,153.96,150,155,155,144.5,143,160,160,157,186,145,130,168.16,170,158,125,154.07,152.31,145.55,1.16,5.85
Bananas,Dozen,116.63,81.5,55,60,61.43,45,49,63.33,65,57.85,46.25,49,44,73.33,55,66,58.5,61.58,62.16,61.91,-0.93,-0.53
"Pulse Masoor, Washed",1 Kg,131.25,112.92,150,150,133.93,132,140,103.33,105,103.73,97.5,95,96,88.66,100,120,111,115.9,114.71,120.73,1.04,-4
"Pulse Moong, Washed",1 Kg,131.88,114.58,104,120,123.93,131,109,110.5,120,122.62,116.25,125,109.5,104,105,147,110,117.9,115.27,116.97,2.28,0.8
"Pulse Mash, Washed",1 Kg,154.75,146.34,143,150,157.14,158,175,132,131,128.15,131.38,120,117,129,122.5,182,170,143.96,141.76,169.44,1.55,-15.04
"Pulse Gram, Washed",1 Kg,134,130.83,110,113,118.93,116,107,114.17,120,122.27,120,115,113,119.5,115,141,130,119.98,119.38,120.77,0.5,-0.65
Potatoes,1 Kg,48.5,41,38,38,35.93,31.75,31.5,36.5,30,28.1,26.5,24,29,31.17,32,30,33.8,33.28,32.31,42.08,3,-20.91
Onions,1 Kg,44,40.67,32,34.5,32.68,27.5,27,27.5,37,30,25,23.5,25.5,37.67,32,32,28,31.56,35.56,73.16,-11.25,-56.86
Tomatoes,1 Kg,54.13,45.5,47,45,47.47,44.5,34,36.33,41,29.36,20.13,32,31,40.67,34,44,38.5,39.09,69.51,105.4,-43.76,-62.91
"Sugar, Refined",1 Kg,60.5,56.42,54.8,54.2,55.84,53.65,53.9,53.2,55,55.06,54.19,52.4,54.1,54.93,55,55,54.55,54.87,54.78,53.68,0.16,2.22
"Gur, Average Quality",1 Kg,107.13,95.33,75,75,83.93,87,80,79.5,77.5,101.58,92,73,69.5,88,82.5,90,85.5,84.85,86.24,83.93,-1.61,1.1
"Salt Powder, Loose, Lahori",1 Kg,12,12,15,15,20,10,10,10,12,12,15,10,10,15,12,10,10,12.35,12.13,11,1.81,12.27
"Red Chilly Powder, Loose",1 Kg,397.5,379.17,320,320,333.86,380,440,276.67,290,388,400,400,305,356.67,350,310,290,349.23,342.81,258.52,1.87,35.09
Garlic,1 Kg,190.13,136.25,105,120,111.79,112,103,105,120,152.85,111.5,120,89,150.67,132,206,159.25,130.85,127.23,163.07,2.85,-19.76
"Tea, Lipton Yellow Label, Packet",200 gm,217.89,217.89,211.58,211.58,207.54,205.26,208.42,205.26,211.4,205.26,205.26,205.26,205.26,205.26,205.26,205.26,194.73,207.55,204.36,180.49,1.56,14.99
"Cooked Beef, Average Hotel",Plate,128.13,117.92,125,130,115,150,120,100,125,99.23,95,100,100,120,105,90,140,115.31,115.09,98.8,0.19,16.71
"Cooked Daal, Average Hotel",Plate,85,75.83,50,60,67.32,55,50,40,60,64.04,60,70,65,60,50,65,80,62.19,61.93,58.27,0.42,6.73
"Tea Prepared, Average Hotel",Cup,23.62,23.5,20,20,21.43,22.5,24.5,20,22.5,23.38,25,25,27.5,15,20,21,20,22.05,21.81,21.19,1.1,4.06
"Cigarettes, K-2, 20's",Packet,60,60,60,60,60,60,60,50,60,60,60,60,50,65,70,50,60,59.12,57.65,50.76,2.55,16.47
Long Cloth,1 mtr,225,215,172.5,160,278,237.5,250,270,250,180,240,375,200,333.33,250,210,180,236.84,236.08,212.3,0.32,11.56
Shirting,1 mtr,225.63,220,185,180,161,125,168,240,120,166.15,140,175,157.5,300,147.5,160,170,178.87,178.63,169.55,0.13,5.5
Lawn,1 mtr,240,220,217.5,220,305,280,393.34,200,383.5,415,280,393,366.66,393,235,200,165,288.65,288.65,255.77,0,12.86
Georgette,1 mtr,165,162.92,160,140,141,160,148,105,110,121.54,120,150,130,123.33,100,105,117.5,132.9,132.08,125.68,0.62,5.74
Sandal Bata (Gents),Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
Chappal Spounge Bata (Gents),Pair,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,179.09,0,11.12
Sandal Bata (Ladies),Pair,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,502.39,0,19.23
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,,145.08,140.99,128.7,2.9,12.73
Kerosene Oil,1 Ltr,138.75,137.5,123,128,125,122.5,120,117.92,135,136.54,128,118,140,118.33,110,99,100,123.38,121.36,90.36,1.66,36.54
Firewood Whole,40 Kg,787.5,741.67,750,700,792.14,600,550,663.33,645,667.31,590,400,450,729.17,500,650,550,633.3,628.13,618.81,0.82,2.34
Energy Saver (14 watts),Each,167.5,167.5,170,155,170,165,180,165,175,180,200,155,180,180,170,180,150,171.18,171.18,169.32,0,1.1
"Washing Soap, (Nylon), (SN)",Cake,30,30,40,22,40.86,25,40,22,20,14,30,26,30,20,22.5,30,40,28.37,28.37,25.91,0,9.49
"Match Box, Regular",Each,2,2,2,2,3,2.5,3,3,2.5,2,2.8,2.5,3,2,3,2,1.5,2.4,2.35,2.21,2.13,8.6
"Petrol, Super",1 Ltr,98.24,98.24,98.3,99.9,99.19,98.2,98.3,98.8,99.3,98.24,98.97,98.27,99.2,98.24,100.2,98.14,96.02,98.57,93.88,76.77,5,28.4
Hi Speed Diesel (HSD),1 Ltr,113.4,113.4,113.1,114.6,113.29,113.4,113.5,113.9,114.45,113.38,114.2,113.5,114,113.4,115.4,113.24,110.13,113.55,107.56,85.48,5.57,32.84
"LPG Cylinder, 11kg",Each,1440,1420,1320,1320,1314.5,1370,1255,1320,1320,1320,1342,1540,1562,1540,1290,1500,1500,1392.56,1543.13,1242,-9.76,12.12
Telephone Local Call,P/Call,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,3.94,3.94,18.02,18.02
"Soap, LifeBuoy",Each,40,40,40,40,40,42,42,40,40,40,40,40,40,40,40,42,42,40.47,40.59,41.76,-0.3,-3.09
