Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Sep 17,Average Prices  Aug 17,Average Prices Sep 16 ,%change Sep 17 over Aug 17,%change Sep 17 over Sep 16
Wheat,10 Kg,329.38,329.38,325,325,316,312.25,300.39,300.63,303.75,350,313.75,325,318.75,321.67,317.5,350,350,322.85,318.66,333.56,1.31,-3.21
"Wheat Flour, Bag",10 Kg,379.93,372.55,357.5,357.5,371.25,355,308.75,342.5,357.5,407.6,416.25,362.5,358.75,361.67,370,400,375,367.9,360.86,377.03,1.95,-2.42
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,50,52.5,73.21,85,60,80,55,74.42,75,65,75,73.75,51,90,60,70.15,70.05,62.35,0.14,12.51
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,57,60,60,40,47.5,45.8,45,52.5,34,47.5,62,50,50,50.68,50.15,48.55,1.06,4.39
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,41.12,0,0
"Beef With Bone, (AQ)",1 Kg,362.5,357.92,300,300,381.96,350,340,350,325,405.77,345,325,310,330,320,400,320,342.54,341.31,324.3,0.36,5.62
"Mutton, Average Quality",1 Kg,823.13,807.5,650,650,844.64,700,750,750,625,786.54,725,675,700,733.33,570,706.25,600,711.55,706.9,652.32,0.66,9.08
"Chicken Farm, Broiler, Live",1 Kg,121.38,100.54,99.5,105.25,94.5,101.75,102.63,112.5,107.5,142.26,125,142.5,125,116.5,129.38,143.75,191.25,121.25,136.95,126.87,-11.46,-4.43
"Milk, Fresh, Unboiled",1 Ltr,102.5,96.25,80,70,77.21,80,70,82.5,67.5,85,84,80,80,85,82.5,90,80,81.91,81.89,80.37,0.02,1.92
Curd (Dahi),1 Kg,116.25,107.92,100,80,87.86,95,90,92.5,80,130,120,95,95,97.5,90,100,90,98.06,97.95,94.05,0.11,4.26
"Powdered Milk, Nido, Polybag",400 gm,379.49,379.49,379.49,379.49,377.28,389.74,379.48,379.49,379.5,364.1,369.23,358.97,346.66,364.87,358.97,389.74,370,373.29,372.9,386.58,0.1,-3.44
"Eggs Hen, Farm",Dozen,105.47,98.5,100,101.25,97,99.88,97.5,97.5,100.25,101.43,95.75,102,85,101.67,100,103.75,85,98.35,97,98.62,1.39,-0.27
"Mustard Oil, Average Quality",1 Kg,240,220,150,160,183.93,200,170,180.63,170,170.77,150,143,190,220,185,190,177.5,182.4,182.54,179.93,-0.08,1.37
"Cooking Oil, Tin, (SN)",2.5 Ltr,471.25,471.25,475,467,480,470,475,475,470,465,465,468,460,470,475,445,460,468.38,470.53,454.65,-0.46,3.02
"Vegetable Ghee, Tin, (SN)",2.5 Kg,458.75,458.75,470,452,470,465,470,470,455,460,460,453,450,460,470,440,475,461.03,463.53,445.41,-0.54,3.51
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,147.5,140,140,144.36,135.06,140,153,152.5,148.6,175,145,130,158.65,160,130,130,145.94,145.3,141.94,0.44,2.82
Bananas,Dozen,132.19,85.83,63.75,67.5,74.29,45,51.88,78.96,57.5,59.85,53.44,58.75,53.75,72.08,60.63,71.88,75,68.37,76.06,68.9,-10.11,-0.77
"Pulse Masoor, Washed",1 Kg,144.38,125.42,140,160,129.64,132.5,155,103.33,110,107.5,100.78,110,90,97.17,111.25,115,135,121.59,122.13,150.31,-0.44,-19.11
"Pulse Moong, Washed",1 Kg,138.75,128.33,120,133.75,113.39,125,116.25,105,120,118.27,121.41,135,129.38,107.13,100,140,140,123.04,123.88,148.65,-0.68,-17.23
"Pulse Mash, Washed",1 Kg,195.63,177.08,185,180,193.93,203.75,230,156.87,175,163.27,156.41,175,160,163.75,195,206.25,230,185.11,187.04,257.41,-1.03,-28.09
"Pulse Gram, Washed",1 Kg,138.44,128.33,112.5,116.25,117.32,117.5,115,115.83,120,123.65,120.63,135,121.25,119.19,115,142.5,135,123.14,122.04,156.55,0.9,-21.34
Potatoes,1 Kg,54.38,46.25,58.75,60,43.93,52.5,30,40.83,40,31.66,32.03,28.75,29.38,38.34,33.13,30,40,40.58,38.72,39.1,4.8,3.79
Onions,1 Kg,91.56,84.17,70.63,78.75,77.59,70.63,63.75,83.13,78.75,83.94,84.06,60,67.5,73.96,78.44,53.75,36.25,72.76,46.37,31.26,56.91,132.76
Tomatoes,1 Kg,120.94,107.61,128.75,115,119.38,115,107.5,112.09,117.5,120.87,100.47,102.5,85,86.88,88.75,72.5,43.75,102.62,57.85,53,77.39,93.62
"Sugar, Refined",1 Kg,60.13,56.65,55,55,57.22,54.75,54.38,53.25,55,57.15,53.56,53.13,54,55.15,55.25,56,57,55.45,56.88,71.03,-2.51,-21.93
"Gur, Average Quality",1 Kg,109.38,98.33,80,85,93.21,75,80,73.96,73.75,91.73,81.25,76.25,70,96.25,95,85,85,85.24,84.66,94.88,0.69,-10.16
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,13.75,10,10,10,12,12,12,10,10,10,12,10,10,10.93,10.71,10.59,2.05,3.21
"Red Chilly Powder, Loose",1 Kg,300,254.17,237.5,250,220,248.75,280,225,225,295.48,265,250,238.75,244.17,250,310,300,258.46,260.16,280.81,-0.65,-7.96
Garlic,1 Kg,252.5,207.92,162.5,172.5,196.25,161.25,160,155.83,170,199.18,175,186.25,143.75,186.67,231.88,221.25,202.5,187.37,192.96,290.49,-2.9,-35.5
"Tea, Lipton Yellow Label, Packet",200 gm,178.95,178.95,178.95,178.95,178.94,178.95,179,178.95,179,178.95,178.94,192.1,178.94,178.95,205.06,198.68,178.94,182.42,193.78,157.9,-5.86,15.53
