,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Sep 18,Average Prices  Aug 18,Average Prices Sep 17 ,% change Sep 18 over Aug 18,% change Sep 18 over Sep 17
Wheat,10 Kg,332.5,332.5,312.5,325,340,331.88,323.75,325.63,327.5,375,341.5,325,320,350,325,350,350,334.57,332.41,322.85,0.65,3.63
"Wheat Flour, Bag",10 Kg,387.58,383.6,375,380,385.63,381.88,350,370,387.5,438.9,420,377.5,370,391.67,400,405,390,387.9,385.6,367.9,0.6,5.44
"Rice Basmati Broken, (AQ)",1 Kg,96.88,89.38,70,70,74.82,101.5,65,87.5,60,83.05,85,65,75,82.33,53.75,85,60,76.72,75.87,70.15,1.12,9.37
Rice Irri-6 (Punjab/Sindh),1 Kg,60,57.5,60,47.5,57,60,70,51.25,47.5,53.73,48,52.5,35.5,59.9,57.5,50,55,54.29,53.99,50.68,0.56,7.12
"Bread Plain, Medium Size",Each,45,45,40,40,44.29,45,45,45,45,45.19,44,50,45,40,35,40,35,42.85,42.63,41.12,0.52,4.21
"Beef With Bone, (AQ)",1 Kg,438.75,419.58,350,350,381.96,350,400,385,365,453.85,380,350,350,350.83,330,380,350,375.59,374.41,342.54,0.32,9.65
"Mutton, Average Quality",1 Kg,920.63,903.33,700,700,869.64,850,850,825,725,872.12,775,750,790,791.67,600,775,700,788.08,782.49,711.55,0.71,10.76
"Chicken Farm, Broiler, Live",1 Kg,123.74,113.54,102,108.5,101.5,106,106.25,117.5,107,122.31,119.38,127.5,115.63,113.5,125.75,146.25,155,118.31,122.81,121.25,-3.66,-2.42
"Milk, Fresh, Unboiled",1 Ltr,102.5,100.83,80,80,77.21,85,70,83.33,67.5,94.19,94,80,90,91.67,82.5,95,80,85.51,85.46,81.91,0.06,4.4
Curd (Dahi),1 Kg,116.25,112.92,100,90,90,95,90,97.5,80,140.96,135,97.5,95,105.83,90,110,90,102.12,101.97,98.06,0.15,4.14
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,379.49,392,389.74,379.48,389.74,389.7,379.49,379.48,389.74,389.74,370,379.48,389.74,380,385.12,385.12,373.29,0,3.17
"Eggs Hen, Farm",Dozen,97.77,91.52,93.75,100,89.75,93.13,92.5,93.33,93.75,96.51,100.75,102.5,87.5,100,100,111.25,82.5,95.68,96.42,98.35,-0.77,-2.71
"Mustard Oil, Average Quality",1 Kg,240,231.67,168.75,160,183.93,205,195,184.17,170,184.62,160,150,190,220,165,190,196.25,187.91,187.7,182.4,0.11,3.02
"Cooking Oil, Tin, (SN)",2.5 Ltr,485,485,485,467,480,480,485,490,482.5,491,491,476.5,480,485,483,465,460,480.65,479.74,468.38,0.19,2.62
"Vegetable Ghee, Tin, (SN)",2.5 Kg,480,480,480,470,470,475,475,480,477.5,486,486,470,470,480,477.5,465,455,475.12,473.79,461.03,0.28,3.06
Vegetable Ghee (Loose),1 Kg,154.69,151.67,150,150,144.36,140.63,143.75,155,155,155,180,145,130,166.15,165,150,125,150.66,150.19,145.94,0.31,3.23
Bananas,Dozen,118.28,83.75,57.5,51.25,71.97,45,50,65.42,65,56.06,50.31,66.25,50,75,70,85,67.5,66.37,74.35,68.37,-10.73,-2.93
"Pulse Masoor, Washed",1 Kg,129.85,112.92,140,150,133.93,126.25,141.25,100.83,105,99.86,97.5,95,92.5,90,100,120,100,113.82,113.28,121.59,0.48,-6.39
"Pulse Moong, Washed",1 Kg,130.01,114.58,100,110,123.93,113.75,105,100,120,119.23,113.91,125,107.5,105.42,100,155,100,114.31,113.98,123.04,0.29,-7.1
"Pulse Mash, Washed",1 Kg,152.66,141.67,140,150,157.14,145.63,175,119.17,125,122.31,114.38,120,107.5,119.17,122.5,215,230,144.54,146.27,185.11,-1.18,-21.92
"Pulse Gram, Washed",1 Kg,134.85,127.5,110,113.75,118.93,111.25,105,114.38,120,121.73,117.19,115,108.75,118.33,115,146.25,125,118.99,117.07,123.14,1.64,-3.37
Potatoes,1 Kg,42.81,39.59,40,41.25,33.39,41.88,35,30,23.75,25.84,26.25,20,21.25,32.5,36.25,30,28.5,32.25,33.28,40.58,-3.09,-20.53
Onions,1 Kg,55.94,45.42,40,42.5,37.37,40.63,31.88,36.25,41.25,34.26,32.04,29.38,33.13,40,42.5,37.5,26,38,41.93,72.76,-9.37,-47.77
Tomatoes,1 Kg,92.19,79.69,85,85,82.5,78.75,75,70.42,91.25,73.13,65.31,63.75,78.75,61.04,65,45,40,72.46,67.8,102.62,6.87,-29.39
"Sugar, Refined",1 Kg,60.5,56.92,54.81,54.5,55.89,54,52.63,53.13,55,55.2,55,52,54.63,55.04,55,56,54.63,54.99,55.59,55.45,-1.08,-0.83
"Gur, Average Quality",1 Kg,109.38,98.33,73.75,71.25,95,90,80,79.17,77.5,97.12,79.06,85,77.5,86.67,82.5,90,85,85.72,82.92,85.24,3.38,0.56
