,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Oct 17,Average Prices Sep 17,Average Prices Oct 16,%change Oct 17 over Sep 17,%change Oct 17 over Oct 16
Wheat,10 Kg,335,335,325,325,316,315.63,313.13,308.75,312.5,350.5,320,337.5,325,330,322.5,350,350,327.74,322.85,338.99,1.51,-3.32
"Wheat Flour, Bag",10 Kg,382.89,374.64,358.75,360,380,370,321.25,355,370,425.1,420,370,370,364.17,375,400,375,374.81,367.9,383.4,1.88,-2.24
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,50,52.5,73.21,85,60,81.88,55,74.42,75,65,75,75,51,90,60,70.34,70.15,62.04,0.27,13.38
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,57,60,60,40,47.5,46,45,52.5,34,47.5,62.75,50,50,50.73,50.68,48.19,0.1,5.27
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,41.12,0,0
"Beef With Bone, (AQ)",1 Kg,362.5,357.92,300,300,381.96,350,345,350,325,405.77,350,325,310,335,320,400,320,343.42,342.54,324.3,0.26,5.9
"Mutton, Average Quality",1 Kg,823.13,810.83,650,650,844.64,700,750,750,625,786.54,725,712.5,712.5,733.33,570,725,600,715.79,711.55,653.54,0.6,9.53
"Chicken Farm, Broiler, Live",1 Kg,130.35,111.72,114.5,119,107.5,114.88,114.5,125,116.5,135.34,116.88,142.5,106.25,134,138.75,137.5,163.75,125.23,121.25,155.94,3.28,-19.69
"Milk, Fresh, Unboiled",1 Ltr,102.5,96.25,80,80,77.21,80,70,82.5,67.5,85,84,80,80,85,82.5,90,80,82.5,81.91,80.37,0.72,2.65
Curd (Dahi),1 Kg,116.25,107.92,100,90,87.86,95,90,92.5,80,130,120,95,95,97.5,90,100,90,98.65,98.06,94.05,0.6,4.89
"Powdered Milk, Nido, Polybag",400 gm,379.49,379.49,379.49,379.49,377.28,389.74,379.48,379.49,379.5,379.49,379.48,358.97,358.97,365.83,358.97,389.74,370,375.58,373.29,388.59,0.61,-3.35
"Eggs Hen, Farm",Dozen,110.17,105.02,107.88,106.88,104.5,106.88,103.75,103.75,109.5,109.55,105.78,108.5,100,111.25,110.63,107.5,95,106.27,98.35,98.51,8.05,7.88
"Mustard Oil, Average Quality",1 Kg,240,220,150,160,183.93,200,177.5,182.3,170,175.96,155.94,157,190,220,180,190,175,183.98,182.4,180.75,0.87,1.79
"Cooking Oil, Tin, (SN)",2.5 Ltr,471.25,471.25,475,467,480,470,475,475,470,465,465,468,460,470,475,445,460,468.38,468.38,454.65,0,3.02
"Vegetable Ghee, Tin, (SN)",2.5 Kg,455,455,470,452,470,465,470,470,458.75,460,460,453,450,460,470,440,455,459.63,461.03,445.41,-0.3,3.19
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,147.5,140,140,144.36,135.88,138.75,150.5,152.5,149.52,175,145,130,159.17,160,130,130,145.85,145.94,142.79,-0.06,2.14
Bananas,Dozen,117.81,78.33,55,60,68.93,45,43.75,70.84,55,52.17,49.07,55,50,69.17,65,63.75,58.75,62.21,68.37,63.44,-9.01,-1.94
"Pulse Masoor, Washed",1 Kg,139.22,122.3,140,160,129.64,133.75,155,103.33,110,106.92,101.25,110,93.75,94.27,112.81,128.75,130,121.82,121.59,148.63,0.19,-18.04
"Pulse Moong, Washed",1 Kg,137.81,126.46,115,123.75,113.39,115,111.25,105,115,118.08,121.25,127.5,127.5,107,98.75,148.75,135,120.38,123.04,146.7,-2.16,-17.94
"Pulse Mash, Washed",1 Kg,191.88,168.75,182.5,180,193.93,180,221.25,158.33,170,147.31,157.5,143.75,141.88,156.75,195,216.25,230,178.53,185.11,249.95,-3.55,-28.57
"Pulse Gram, Washed",1 Kg,138.44,128.33,111.25,116.25,117.32,115,115,121.88,120,125.5,122.5,123.75,119.38,118.29,113.75,150,135,123.04,123.14,165.56,-0.08,-25.68
Potatoes,1 Kg,55.63,48.13,53.75,57.5,46.07,55.63,29.38,40.83,40,31.71,32.19,30,29.38,38.54,32.81,30,36.25,40.46,40.58,38.74,-0.3,4.44
Onions,1 Kg,98.44,85.21,80,87.5,90.36,81.88,72.5,82.92,81.25,76.78,80.16,72.5,80,84.63,75.31,61.25,53.75,79.08,72.76,30.26,8.69,161.34
Tomatoes,1 Kg,126.88,110.11,126.25,133.75,125,113.75,112.5,122.92,125,129.43,125,91.25,122.5,93.96,83.75,97.5,80,112.91,102.62,52.96,10.03,113.2
"Sugar, Refined",1 Kg,59.82,56.61,54.38,53.5,56.29,53.56,53.5,52.04,53.75,56.53,52.31,51,51.75,54.73,53.75,56.25,53,54.28,55.45,71.04,-2.11,-23.59
"Gur, Average Quality",1 Kg,109.38,98.33,80,85,93.21,73.44,78.75,78.75,65,92.16,81.25,77.5,70.63,96.67,95,87.5,85,85.15,85.24,95.41,-0.11,-10.75
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,15,10,10,10,12,12,12,10,10,10,12,10,10,11,10.93,10.59,0.64,3.87
"Red Chilly Powder, Loose",1 Kg,300,254.17,232.5,250,220,237.5,280,225,225,295.48,265,250,236.25,241.67,241.88,310,300,256.73,258.46,279.15,-0.67,-8.03
Garlic,1 Kg,222.19,170.42,150,152.5,173.49,160,147.5,155,165,182.41,160.94,147.5,142.5,182.5,190,207.5,186.25,170.34,187.37,293.07,-9.09,-41.88
"Tea, Lipton Yellow Label, Packet",200 gm,178.95,178.95,178.95,178.95,178.94,178.95,179,178.95,179,178.95,178.94,178.94,178.94,178.95,205.06,178.94,178.94,180.49,182.42,157.9,-1.06,14.31
"Cooked Beef, Average Hotel",Plate,107.5,104.17,66.88,62.5,102.86,75,100,80,110,93.08,77.5,100,100,120,101.25,90,140,95.93,95.59,91.93,0.36,4.35
"Cooked Daal, Average Hotel",Plate,78.75,75.83,40,40,67.32,55,50,40,60,61.15,52.5,50,65,60,50,65,80,58.27,58.27,56.69,0,2.79
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,22.5,21.73,20,25,27.5,15,20,21,20,21.19,21.19,19.87,0,6.64
"Cigarettes, K-2, 20's",Packet,50,50,50,50,50,50,50,50,48,55,50,50,50,55,55,50,50,50.76,50.76,64.18,0,-20.91
"Long Cloth, 57"", (SN)",1 mtr,215,205,137.5,135,267.5,237.5,245,250,180,170.77,240,230,200,333.33,157.5,210,195,212.3,212.3,205.57,0,3.27
"Shirting, (AQ), (SN)",1 mtr,206.25,190,175,175,155,125,150,210,115,166.15,140,120,157.5,300,147.5,160,190,169.55,169.55,164.3,0,3.2
"Lawn Printed, (SN)",1 mtr,240,220,205,205,305,240,360,150,169,415,280,280,366.66,360,187.5,200,165,255.77,255.77,251.21,0,1.82
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,135,160,140,105,110,121.54,120,125,130,120,100,105,95,125.68,125.68,123.54,0,1.73
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179.09,0,0
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,502.39,0,0
