Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Jul 18,Average Prices Jun 18,Average Prices Jul 17,%change Jul 18 over Jun 18,%change Jul 18 over Jun 17
Wheat,10 Kg,327.5,327.5,312.5,325,327.5,325,320,321.25,336.25,368.75,338.13,325,302.5,350,330,350,350,331.58,326.16,321.83,1.66,3.03
"Wheat Flour, Bag",10 Kg,385.94,381.88,370,365,390,380,350,370,387.5,430.67,412.5,380,366.25,389.17,400,400,390,385.23,361.47,365.47,6.57,5.41
"Rice Basmati Broken, (AQ)",1 Kg,96.41,89.22,65,65,74.82,100,60,87.5,60,80.58,82.5,65,75,82.33,53.75,85,60,75.42,74.51,69.14,1.22,9.08
Rice Irri-6 (Punjab/Sindh),1 Kg,60,57.5,60,47.5,57,60,70,50,47.5,53.27,48,52.5,35.5,50.33,57.5,50,55,53.62,53.22,49.86,0.75,7.54
"Bread Plain, Medium Size",Each,45,45,40,40,44.29,45,45,45,45,45.19,44,50,45,35,35,40,35,42.56,42.56,41.12,0,3.5
"Beef With Bone, (AQ)",1 Kg,438.75,412.4,350,350,381.96,350,387.5,380,365,452.6,380,350,320,350.83,330,380,350,372.3,366.92,335.71,1.47,10.9
"Mutton, Average Quality",1 Kg,916.88,903.33,700,700,869.64,850,850,825,725,872.12,775,750,750,791.67,600,775,625,781.1,772.74,693.68,1.08,12.6
"Chicken Farm, Broiler, Live",1 Kg,168.6,155.28,150.25,156.25,147.75,145.5,144.75,143.75,134,156.76,151.88,165,151.25,156.5,163.75,215,210,159.78,198.58,151.45,-19.54,5.5
"Milk, Fresh, Unboiled",1 Ltr,102.5,96.25,80,80,77.21,85,70,82.5,67.5,94.19,94,80,90,91.67,82.5,95,80,85.2,84.8,81.55,0.47,4.48
Curd (Dahi),1 Kg,116.25,107.92,100,90,90,95,90,97.5,80,140.96,135,95,95,105.83,90,110,90,101.67,101.45,97.32,0.22,4.47
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,379.49,392,389.74,379.48,389.74,389.7,379.49,379.48,389.74,389.74,370,379.48,389.74,380,385.12,385.12,369.97,0,4.09
"Eggs Hen, Farm",Dozen,102.19,94.88,97.56,101.25,93.5,94.25,95.75,95,96.5,107.45,106.25,107.5,84.38,96.67,100,108.75,85,98.05,89.11,95.82,10.03,2.33
"Mustard Oil, Average Quality",1 Kg,240,231.67,160,160,183.93,205,195,184.17,170,185.58,160,150,190,220,165,190,191.25,187.15,185.59,181.97,0.84,2.85
"Cooking Oil, Tin, (SN)",2.5 Ltr,480,480,485,467,480,480,485,480,475,491,485,473,480,480,483,465,460,478.18,476.88,470.16,0.27,1.71
"Vegetable Ghee, Tin, (SN)",2.5 Kg,475,475,480,470,470,475,475,475,470,486,479.5,460,470,477.5,475,465,455,472.53,471.41,463.18,0.24,2.02
Vegetable Ghee (Loose),1 Kg,152.81,150,145.63,145,144.36,140,144,155,155,154.91,180,145,130,163.75,165,150,120,149.44,149.09,145.12,0.23,2.98
Bananas,Dozen,135.94,98.33,76.25,77.5,98.57,58.75,73.75,88.75,116.25,65.48,68.6,90,78.75,91.25,92.5,85,73.75,86.44,119.28,93.61,-27.53,-7.66
"Pulse Masoor, Washed",1 Kg,129.38,111.88,140,150,133.93,110,155,100.83,105,100.67,97.5,95,73.75,84.33,100,125,97.5,112.34,111.04,125.33,1.17,-10.36
"Pulse Moong, Washed",1 Kg,129.38,113.23,100,110,123.93,110,110,100,120,119.42,116.25,125,105,105.84,95,155,100,114,112.7,126.32,1.15,-9.75
"Pulse Mash, Washed",1 Kg,161.88,146.67,142.5,150,184.64,153.75,175,124.17,125,122.69,120,120,110,121.83,122.5,215,230,148.57,147.4,191.29,0.79,-22.33
"Pulse Gram, Washed",1 Kg,134.38,122.3,100,102.5,118.93,110,100,104.17,120,118.46,116.25,116.25,100,116,110,145,122.5,115.1,113.36,124.78,1.53,-7.76
