Description,Unit,Islam-abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Aug 18,Average Prices  Jul 18,Average Prices Aug 17 ,%change Aug 18 over Jul 18,%change Aug 18 over Aug 17,,
Wheat,10 Kg,330,330,312.5,325,335,330,320,325,328.44,372.5,340,325,305,350,322.5,350,350,332.41,331.58,318.66,0.25,4.31,,
"Wheat Flour, Bag",10 Kg,385.94,381.88,370,367.5,380,380,350,370,387.5,435.67,420,377.5,367.5,391.67,400,400,390,385.6,385.23,360.86,0.1,6.86,6.86,
"Rice Basmati Broken, (AQ)",1 Kg,96.88,89.38,66.25,66.25,74.82,100,61.25,87.5,60,82.6,83.75,65,75,82.33,53.75,85,60,75.87,75.42,70.05,0.6,8.31,8.31,
Rice Irri-6 (Punjab/Sindh),1 Kg,60,57.5,60,47.5,57,60,70,52.5,47.5,53.31,48,52.5,35.5,53.98,57.5,50,55,53.99,53.62,50.15,0.69,7.66,,
"Bread Plain, Medium Size",Each,45,45,40,40,44.29,45,45,45,45,45.19,44,50,45,36.25,35,40,35,42.63,42.56,41.12,0.16,3.67,3.67,
"Beef With Bone, (AQ)",1 Kg,438.75,419.58,350,350,381.96,350,400,380,365,453.85,380,350,335,350.83,330,380,350,374.41,372.3,341.31,0.57,9.7,9.7,
"Mutton, Average Quality",1 Kg,920.63,903.33,700,700,869.64,850,850,825,725,872.12,775,750,770,791.67,600,775,625,782.49,781.1,706.9,0.18,10.69,10.69,
"Chicken Farm, Broiler, Live",1 Kg,125.75,112.4,107.25,112,104.5,105.13,105.63,117.5,106.5,129.06,121.56,132.5,112.5,115,124.25,181.25,175,122.81,159.78,136.95,-23.14,-10.32,+AC0-23.14,+AC0-10.32
"Milk, Fresh, Unboiled",1 Ltr,102.5,100.83,80,80,77.21,85,70,82.5,67.5,94.19,94,80,90,91.67,82.5,95,80,85.46,85.2,81.89,0.31,4.36,0.31,4.36
Curd (Dahi),1 Kg,116.25,112.92,100,90,90,95,90,97.5,80,140.96,135,95,95,105.83,90,110,90,101.97,101.67,97.95,0.3,4.1,,
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,379.49,392,389.74,379.48,389.74,389.7,379.49,379.48,389.74,389.74,370,379.48,389.74,380,385.12,385.12,372.9,0,3.28,0,3.28
"Eggs Hen, Farm",Dozen,97.97,94.44,93.75,100,92,95.25,94,92.5,93.5,105.6,107.19,105,80,99.17,100,106.25,82.5,96.42,98.05,97,-1.66,-0.6,+AC0-0.6,
"Mustard Oil, Average Quality",1 Kg,240,231.67,161.25,160,183.93,210,195,184.17,170,184.86,160,150,190,220,165,190,195,187.7,187.15,182.54,0.29,2.83,2.83,
"Cooking Oil, Tin, (SN)",2.5 Ltr,485,485,485,467,480,480,485,485,475,491,491.5,473,480,485,483,465,460,479.74,478.18,470.53,0.33,1.96,0.33,1.96
