,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices June 17,Average Prices May 17,Average Prices June 16 ,%change June 17 over May 17,%change June 17 over June 16 
Wheat,10 Kg,332.5,332.5,325,325,326.25,340,287.5,300,298.75,350,308,312.5,312.5,336,316,350,350,323.68,326.05,323.85,-0.73,-0.05
"Wheat Flour, Bag",10 Kg,377.81,372.29,365,360,365,355,315,342,360,413.73,402.5,350,345,369.17,367.5,400,375,366.76,371.02,371.49,-1.15,-1.27
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,50,55,73.21,80,60,77.5,55,73.69,75,65,67.5,73.33,51,80,60,68.76,68.28,59.51,0.7,15.54
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,57,55,50,40,47.5,44.61,45,52.5,36,46.67,60,50,50,49.68,49.67,46.53,0.02,6.77
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,40.82,0,0.73
"Beef With Bone, (AQ)",1 Kg,352.5,350,300,300,344.29,350,320,350,325,390,325,325,310,313.33,320,400,320,335.01,332.36,323.1,0.8,3.69
"Mutton, Average Quality",1 Kg,815.25,801,650,650,805.36,700,700,700,625,765.38,700,650,650,650,554,700,575,687.71,681.47,642.35,0.92,7.06
"Chicken Farm, Broiler, Live",1 Kg,148.74,133.92,136.6,140.4,133.6,136.2,141,154.5,140.8,165.75,157.38,162,151,151.8,168,178,196,152.69,159.33,160.84,-4.17,-5.07
"Milk, Fresh, Unboiled",1 Ltr,99.38,96.25,80,70,77.21,80,70,79.33,67.5,85,84,80,80,85,80,90,80,81.39,81.22,79.67,0.21,2.16
Curd (Dahi),1 Kg,113.13,107.92,100,80,83.04,95,90,90.83,80,130,115,95,95,97.5,87.5,100,90,97.05,96.3,93.21,0.78,4.12
"Powdered Milk, Nido, Polybag",400 gm,359,359,358.97,358.97,358.97,389.74,358.98,358.97,358.97,363.07,369.23,369.77,346.66,365,358.97,389.74,358.97,363.7,368.64,382.43,-1.34,-4.9
"Eggs Hen, Farm",Dozen,95.33,89.5,88.6,94,88.6,88.9,94,87.17,89.4,87.97,84.8,90,81.4,98.33,95,93,91,90.41,87.36,77.8,3.49,16.21
"Mustard Oil, Average Quality",1 Kg,240,220,150,160,183.93,200,175,177.5,170,170.77,150,137.5,190,220,180,190,170,181.45,181.42,180.46,0.02,0.55
"Cooking Oil, Tin, (SN)",2.5 Ltr,475,475,475,467,465,470,475,475,460,468,465,468,460,470,475,445,495,469.59,467.24,454.35,0.5,3.35
"Vegetable Ghee, Tin, (SN)",2.5 Kg,470,470,470,452,460,465,470,470,455,453,460,453,450,460,470,440,495,462.53,460.4,445.12,0.46,3.91
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,147.5,140,140,140.14,136,140,145.6,146.5,145.77,175,145,130,158.33,160,130,130,144.77,145.23,138.73,-0.32,4.35
Bananas,Dozen,196.63,151,141,122,140.82,108,106,125.67,120,92.33,94.5,89,98.5,112.67,95.75,90,78,115.4,88.46,100.68,30.45,14.62
"Pulse Masoor, Washed",1 Kg,153.13,136.67,140,160,138.93,126,155,110,120,120.77,115,110,99.5,101.9,120,119,140,127.41,127.53,152.14,-0.09,-16.25
"Pulse Moong, Washed",1 Kg,151.88,129.58,120,148,130,126,120,112.5,120,123.06,131.38,135,139,103.14,94.5,142,149,127.94,129.41,158.69,-1.14,-19.38
"Pulse Mash, Washed",1 Kg,203.13,179.58,195,180,233.57,210,225,170.83,185,176.81,168.5,175,171.8,175.84,191,211,233,193.24,194.02,272.93,-0.4,-29.2
"Pulse Gram, Washed",1 Kg,153.75,136.67,114,117,133.93,120,120,115.5,129,134.85,123.25,135,120.8,126.67,122,152,140,129.08,131.47,143.81,-1.82,-10.24
Potatoes,1 Kg,51.13,46.25,40,40,43.86,50,32,38.5,32,36.33,33.69,31,29.7,34.1,38,31,39.6,38.07,34.77,29.9,9.49,27.32
Onions,1 Kg,46.5,37.59,30.5,30,28.39,29,21,26.17,25,27.58,23.38,25.5,28.8,30.5,30,29,24.4,29.02,29.48,31.23,-1.56,-7.08
Tomatoes,1 Kg,58.38,47.83,38.5,40.5,40.32,39,40,39.83,46.5,57.46,49.75,44,58.4,32,31.25,49,42,44.4,30.13,40.46,47.36,9.74
"Sugar, Refined",1 Kg,63.5,59.25,55.6,55.1,58.64,54.8,55,54.2,55.7,58.98,55,53.9,55.3,56.33,55.2,57,56.6,56.48,58.46,64.37,-3.39,-12.26
"Gur, Average Quality",1 Kg,109.38,98.33,80,85,93.21,75,78,70,62.5,88.96,81.25,70,75.9,95,95,95,80,84.27,83.54,89.21,0.87,-5.54
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,10,10,10,10,12,12,12,10,10,10,12,10,10,10.71,10.71,10.47,0,2.29
"Red Chilly Powder, Loose",1 Kg,300,254.17,240,262,220,270,290,238.83,225,295.48,265,250,243,236.67,280,310,300,263.54,264.2,278.44,-0.25,-5.35
Garlic,1 Kg,273.13,220.83,240,230,238.14,195,167,177.33,222,194.35,179.25,159,166,200,280,214,253,212.3,228.9,188.89,-7.25,12.39
"Tea, Lipton Yellow Label, Packet",200 gm,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205,205.26,205.26,178.94,203.7,203.7,157.9,0,29.01
"Cooked Beef, Average Hotel",Plate,107.5,104.17,62.5,62.5,102.86,75,100,80,75,92.69,77.5,100,100,120,100,90,140,93.51,93.51,90.87,0,2.91
"Cooked Daal, Average Hotel",Plate,78.75,75.83,40,40,67.32,47.5,45,40,50,61.15,52.5,50,65,60,50,65,80,56.94,56.94,55.4,0,2.78
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,15,21.73,20,25,27.5,15,20,21,20,20.75,20.75,19.57,0,6.03
"Cigarettes, K-2, 20's",Packet,54,54,55,55,58,58,56,54.8,51.6,64,56,56,54.8,61,58.6,58,56,56.52,67.35,61.91,-16.08,-8.71
"Long Cloth, 57"", (SN)",1 mtr,213,203,137.5,135,267.5,237.5,243,250,180,170.46,240,230,200,300,157.5,210,195,209.97,207.57,205.51,1.16,2.17
"Shirting, (AQ), (SN)",1 mtr,203.5,189,175,175,155,125,145,210,115,166.15,140,120,157.5,283.33,147.5,160,190,168.06,166.7,164.3,0.82,2.29
"Lawn Printed, (SN)",1 mtr,240,220,205,205,305,240,360,150,169,415,280,280,366.66,360,187.5,200,165,255.77,255.19,251.21,0.23,1.82
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,135,160,135,105,110,118.77,120,125,130,120,100,105,95,125.22,124.98,123.54,0.19,1.36
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179.09,0,0
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,502.39,0,0
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,-,128.7,128.7,128.33,0,0.29
Kerosene Oil,1 Ltr,98.75,95,75,77,95,69,75,70,71,97.12,81,68.25,90,86.67,85,56,50,78.81,78.81,74.87,0,5.26
Firewood Whole,40 Kg,787.5,741.67,675,650,762.86,600,500,606.67,625,644.23,550,400,450,716.67,495,650,500,609.09,609.09,597.1,0,2.01
Energy Saver,Each,167.5,167.5,155,155,170,162.5,175,165,175,170,190,155,175,180,160,180,150,167.79,167.79,167.79,0,0
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,25.03,0,3.52
"Match Box, Regular",Each,2,2,2,2,2,2.5,3,2,2.5,2,2,2.5,2.5,2,3,2,1.5,2.21,2.21,2.09,0,5.74
"Petrol, Super",1 Ltr,72.85,72.85,73.16,74.2,73.16,73.2,72.82,73.07,73.38,72.57,73.13,72.57,73,72.57,75.4,73.18,75.21,73.31,74.85,65.12,-2.06,12.58
Hi Speed Diesel (HSD),1 Ltr,81.74,81.74,82.4,82.9,81.76,81.9,81.98,81.69,82.55,81.71,82.3,81.7,82,81.7,84.1,81.71,84.5,82.26,83.97,73.44,-2.04,12.01
"LPG Cylinder, 11kg",Each,1030,1000,863.5,990,880,1000,970,880,990,880,1100,1100,1067,990,915,1100,1025,987.09,1016.78,933.82,-2.92,5.7
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
Each,42,42,42,42,42,40,42,42,42,42,40,42,40,40,40,42,42,41.41,40.59,36.14,2.02,14.58,
