Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Nov 17,Average Prices  Oct 17,Average Prices Nov 16 ,%change Nov 17 over Oct 17,%change Nov 17 over Nov 16
Wheat,10 Kg,342,342,325,325,330.7,335,320,326,330,362.5,331.3,337.5,325,347.33,326.5,350,350,335.64,327.74,342.8,2.41,-2.09
"Wheat Flour, Bag",10 Kg,394.69,387.92,380,378,397,383,348,369,379,435.58,420,377,375,379.34,379,400,375,385.74,374.81,385.75,2.92,0
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,50,55,73.21,85,60,82.5,55,74.54,75,65,75,77.5,51,90,60,70.67,70.34,62.01,0.47,13.97
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,57,60,61,40,47.5,48.15,45,52.5,34,47.5,63.5,50,50,50.96,50.73,47.88,0.45,6.43
"Bread Plain, Medium Size",Each,45,45,40,40,44.29,44,44,45,45,45.11,44,50,45,35,35,40,35,42.44,41.12,41.12,3.21,3.21
"Beef With Bone, (AQ)",1 Kg,362.5,357.92,300,300,381.96,350,349,350,325,405.77,350,325,310,336.67,320,400,320,343.75,343.42,324.3,0.1,6
"Mutton, Average Quality",1 Kg,833.13,818.33,650,650,844.64,800,750,750,655,815.38,725,725,725,733.33,570,725,600,727.64,715.79,653.92,1.66,11.27
"Chicken Farm, Broiler, Live",1 Kg,131.29,113.25,117.2,122.8,116.6,121.2,119.6,132.83,124,139.58,134.06,148,117,134.8,142,144,156,130.25,125.23,145.01,4.01,-10.18
"Milk, Fresh, Unboiled",1 Ltr,102.5,96.25,80,80,77.21,80,70,82.5,67.5,85,84,80,80,85,82.5,90,80,82.5,82.5,80.37,0,2.65
Curd (Dahi),1 Kg,116.25,107.92,100,90,87.86,95,90,92.5,80,130,120,95,95,97.5,90,100,90,98.65,98.65,94.05,0,4.89
"Powdered Milk, Nido, Polybag",400 gm,387.69,387.69,387.69,379.49,377.28,389.74,379.48,385.64,379.5,379.49,379.48,383.59,360.57,370,358.97,389.74,370,379.18,375.58,388.59,0.96,-2.42
"Eggs Hen, Farm",Dozen,135.25,128.08,134.25,137,127.4,135,134,131.5,132.9,133.94,134.13,134.6,120,136.66,133.5,130,129.5,132.22,106.27,121.83,24.42,8.53
"Mustard Oil, Average Quality",1 Kg,240,224.67,150,160,183.93,200,176,184.17,170,180.31,160,160,190,220,180,190,175,184.95,183.98,181.52,0.53,1.89
"Cooking Oil, Tin, (SN)",2.5 Ltr,475,475,475,467,484,473,475,475,474,465,465,468,460,470,475,445,460,469.47,468.38,454.65,0.23,3.26
"Vegetable Ghee, Tin, (SN)",2.5 Kg,470,470,470,452,478,468,470,470,470,460,460,453,450,460,470,440,455,462.71,459.63,445.71,0.67,3.81
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,147.5,140,140,144.36,136.95,135.6,150,150,149.52,175,145,130,159.17,160,130,130,145.55,145.85,142.38,-0.21,2.23
Bananas,Dozen,122.5,78.33,59,66,68.93,45,45,63.17,55,54.77,46.88,55,46,72.67,57.25,65,52,61.91,62.21,62.73,-0.48,-1.31
"Pulse Masoor, Washed",1 Kg,135.63,119.17,140,160,127.36,135,155,103.33,110,106.46,101.25,110,90,88.2,109,132,130,120.73,121.82,148.64,-0.89,-18.78
"Pulse Moong, Washed",1 Kg,136,124.58,110,118,111.61,109,101,102,110,118.61,121.25,125,123,96.42,95,152,135,116.97,120.38,145.62,-2.83,-19.67
"Pulse Mash, Washed",1 Kg,184.38,158.25,180,166,189.43,173,201,154.83,165,135.58,147.38,130,121,145.67,195,204,230,169.44,178.53,239.43,-5.09,-29.23
"Pulse Gram, Washed",1 Kg,137.06,128.33,108,106,115.96,114,114,112.83,120,125.19,119.75,120,116,116.97,116,148,135,120.77,123.04,175.17,-1.84,-31.06
Potatoes,1 Kg,58,50.41,52,54,54.64,50,34,44.83,39,32.88,29.56,35,42,38,33,33,35,42.08,40.46,42.44,4,-0.85
Onions,1 Kg,96.88,85.67,74,77,79.21,69,70.5,71.83,68,66.42,59.5,67,69,80,67.75,72,70,73.16,79.08,29.05,-7.49,151.84
Tomatoes,1 Kg,124.38,110.5,123,122,118,115,106,103,113,103.23,88.75,91,102,97.5,90.5,90,94,105.4,112.91,51.42,-6.65,104.98
"Sugar, Refined",1 Kg,58.38,55.85,53.9,53.2,56.59,53.1,52.6,52.2,52.1,55.07,50.93,51.2,51.8,53.7,53.1,55.8,53,53.68,54.28,71.8,-1.11,-25.24
"Gur, Average Quality",1 Kg,109.38,98.33,80,85,93.21,68.75,73,73.5,64.5,93.5,78,70,70,95.67,95,90,89,83.93,85.15,91.67,-1.43,-8.44
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,15,10,10,10,12,12,12,10,10,10,12,10,10,11,11,10.59,0,3.87
"Red Chilly Powder, Loose",1 Kg,300,254.17,238,250,240.29,238,280,225,225,295.48,264.75,250,237,241.67,245.5,310,300,258.52,256.73,276.94,0.7,-6.65
Garlic,1 Kg,208.13,165,144,150,167.86,146,140,155,155,176.54,170,140,131,182.66,173,200,168,163.07,170.34,293.87,-4.27,-44.51
"Tea, Lipton Yellow Label, Packet",200 gm,178.95,178.95,178.95,178.95,178.94,178.95,179,178.95,179,178.95,178.94,178.94,178.94,178.95,205.06,178.94,178.94,180.49,180.49,158.21,0,14.08
"Cooked Beef, Average Hotel",Plate,107.5,104.17,100,62.5,102.86,87,100,80,110,93.08,77.5,100,100,120,105,90,140,98.8,95.93,92.39,2.99,6.94
"Cooked Daal, Average Hotel",Plate,78.75,75.83,40,40,67.32,55,50,40,60,61.15,52.5,50,65,60,50,65,80,58.27,58.27,56.91,0,2.39
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,22.5,21.73,20,25,27.5,15,20,21,20,21.19,21.19,19.94,0,6.27
"Cigarettes, K-2, 20's",Packet,50,50,50,50,50,50,50,50,48,55,50,50,50,55,55,50,50,50.76,50.76,64.47,0,-21.27
"Long Cloth, 57"", (SN)",1 mtr,215,205,137.5,135,267.5,237.5,245,250,180,170.77,240,230,200,333.33,157.5,210,195,212.3,212.3,205.57,0,3.27
"Shirting, (AQ), (SN)",1 mtr,206.25,190,175,175,155,125,150,210,115,166.15,140,120,157.5,300,147.5,160,190,169.55,169.55,164.3,0,3.2
"Lawn Printed, (SN)",1 mtr,240,220,205,205,305,240,360,150,169,415,280,280,366.66,360,187.5,200,165,255.77,255.77,251.21,0,1.82
