Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Aug 17,Average Prices  Jul 17,Average Prices Aug 16 ,%change Aug 17 over Jul 17,%change Aug 17 over Aug 16
Wheat,10 Kg,329.5,329.5,325,325,316,300,281.25,295,298.5,350,310,312.5,312.5,320,312.5,350,350,318.66,321.83,331.03,-0.98,-3.74
"Wheat Flour, Bag",10 Kg,371.94,369.33,348,340,357,342,305,335,350,407.19,416,349,345,359.17,365,400,375,360.86,365.47,376.22,-1.26,-4.08
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,50,55,73.21,85,60,78.5,55,74.42,75,65,72.6,73.33,51,90,60,70.05,69.14,61.94,1.32,13.09
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,57,60,54,40,47.5,44.88,45,52.5,34,47.5,60,50,50,50.15,49.86,48.35,0.58,3.72
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,41.12,0,0
"Beef With Bone, (AQ)",1 Kg,360.5,356.34,300,300,374.43,350,336,350,325,405.31,340,325,310,329.67,320,400,320,341.31,335.71,324,1.67,5.34
"Mutton, Average Quality",1 Kg,823.13,807.5,650,650,836.78,700,720,740,625,786.54,725,675,700,733.33,570,700,575,706.9,693.68,650.02,1.91,8.75
"Chicken Farm, Broiler, Live",1 Kg,132.4,113.54,121.2,127.8,113.6,119.8,127,132,127.6,154.87,145.44,157,127.5,134.4,153,159,182,136.95,151.45,130.87,-9.57,4.65
"Milk, Fresh, Unboiled",1 Ltr,102.13,96.25,80,70,77.21,80,70,82.5,67.5,85,84,80,80,85,82.5,90,80,81.89,81.55,80.22,0.42,2.08
Curd (Dahi),1 Kg,116.25,107.92,100,80,85.93,95,90,92.5,80,130,120,95,95,97.5,90,100,90,97.95,97.32,93.9,0.65,4.31
"Powdered Milk, Nido, Polybag",400 gm,379.49,379.49,379.49,379.49,377.28,389.74,379.48,379.49,379.5,358.97,369.23,358.97,346.66,363.33,358.97,389.74,370,372.9,369.97,383.12,0.79,-2.67
"Eggs Hen, Farm",Dozen,101.33,97,99.6,100,95.2,96.9,97.6,91.67,96.4,102.39,103.7,102,81.5,101.67,100,96,86,97,95.82,96.18,1.23,0.85
"Mustard Oil, Average Quality",1 Kg,240,220,150,160,183.93,200,173,177.5,170,170.77,150,140,190,220,190,190,178,182.54,181.97,180.16,0.31,1.32
"Cooking Oil, Tin, (SN)",2.5 Ltr,475,475,475,467,480,470,475,475,464,465,465,468,460,470,475,445,495,470.53,470.16,454.5,0.08,3.53
"Vegetable Ghee, Tin, (SN)",2.5 Kg,470,470,470,452,470,465,470,470,455,460,460,453,450,460,470,440,495,463.53,463.18,445.26,0.08,4.1
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,147.5,140,140,144.36,133.8,140,148.8,150,146.07,175,145,130,158.33,160,130,130,145.3,145.12,138.81,0.12,4.68
Bananas,Dozen,128.75,92.5,70.5,75,79.21,49,60,90.33,75,64.11,59.75,70,68.5,82.66,83.75,74,70,76.06,93.61,74.28,-18.75,2.4
"Pulse Masoor, Washed",1 Kg,139.25,126.5,140,160,131.5,132.5,155,103.33,110,108.69,102.13,110,93,97.32,124,108,135,122.13,125.33,152.23,-2.55,-19.77
"Pulse Moong, Washed",1 Kg,139.13,129,120,140,114.35,125,120,109.5,120,119.04,123.75,135,141,103.27,100,127,140,123.88,126.32,154.25,-1.93,-19.69
"Pulse Mash, Washed",1 Kg,201.63,179.58,185,180,200.79,210,227,158.84,179,176.5,158.75,175,162,164.67,195,195.88,230,187.04,191.29,269.68,-2.22,-30.64
"Pulse Gram, Washed",1 Kg,138.44,129,111.5,109.5,118.32,112,115,112.5,120,126.85,122.63,135,121.5,119.47,113,135,135,122.04,124.78,158.29,-2.2,-22.9
Potatoes,1 Kg,51.25,46.25,44,48,39.35,60,29,40.33,38,33.11,32.5,29,27,37.66,34,31,37.8,38.72,38.39,38.46,0.86,0.68
Onions,1 Kg,66.13,59.58,52,55.5,53.21,56.5,42,46,41,42.77,43.13,44,38,51.17,43.5,31,22.8,46.37,31.62,28.47,46.65,62.87
Tomatoes,1 Kg,74.75,66.66,73,69,74.64,69.5,55,57.17,61,56.23,53.13,48,53,54.83,43.5,42,32,57.85,43.01,60.55,34.5,-4.46
"Sugar, Refined",1 Kg,62.31,58.52,56.95,57.4,58.44,55.8,55.1,54.57,56.9,58.05,56.61,53.6,54,56.33,55.6,57.6,59.2,56.88,55.04,71.17,3.34,-20.08
"Gur, Average Quality",1 Kg,109.38,98.33,80,85,93.21,75,80,70,67.5,89.73,81.25,72.5,72.4,95,95,87,88,84.66,84.34,93.15,0.38,-9.11
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,10,10,10,10,12,12,12,10,10,10,12,10,10,10.71,10.71,10.56,0,1.42
"Red Chilly Powder, Loose",1 Kg,300,254.17,240,250,220,253,282,229,225,295.48,265,250,240,245,264,310,300,260.16,262.55,279.49,-0.91,-6.92
