,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Apr 19,Average Prices March 19,Average Prices Apr 18,%change Apr 19 over March 19,%change Apr 19 over April 18
Wheat,10 Kg,362.5,362.5,362.5,362,347.5,350,321.88,325.16,315.94,382.5,320.63,325,328.75,370,341.25,360,350,346.36,353.73,333.06,-2.08,3.99
"Wheat Flour, Bag",10 Kg,393.75,393.33,377.5,390,392.5,395,361.25,372.92,380,425.79,409.69,366.25,368.75,390.83,386.25,420,382.5,388.61,394.56,376.4,-1.51,3.24
"Rice Basmati Broken, (AQ)",1 Kg,96.88,89.38,70,70,74.82,87.5,66.88,87.5,60,85.77,85,65,85,84.38,53.75,97.5,80,78.79,78.27,74.5,0.66,5.76
Rice Irri-6 (Punjab/Sindh),1 Kg,66.25,65,60,47.5,57,65,70,50,47.5,60.12,51,55,42.5,58.12,62.5,80,55,58.38,57.66,52.34,1.25,11.54
"Bread Plain, Medium Size",Each,45,45,45,40,44.29,45,45,45,45,46.03,44,50,45,45,35,40,40,43.78,43.73,42.56,0.11,2.87
"Beef With Bone, (AQ)",1 Kg,481.25,455,375,450,409.82,375,400,395,365,473.66,390,400,400,375.42,350,380,400,404.42,402.11,358.55,0.57,12.79
"Mutton, Average Quality",1 Kg,955.63,950,800,900,896.43,950,875,845.84,725,894.23,800,750,825,825,620,787.5,750,832.33,821.24,760.49,1.35,9.45
"Chicken Farm, Broiler, Live",1 Kg,189.33,181.11,175.25,180.75,177.75,179.88,173.75,184.58,171.5,222.09,212.97,207.5,198.75,188.25,171.25,218.75,232.5,192.12,178.53,176.1,7.61,9.1
"Milk, Fresh, Unboiled",1 Ltr,102.5,100.83,90,80,78,90,70,83.33,67.5,94.58,94,90,95,95,85,110,80,88.57,87.89,83.8,0.77,5.69
Curd (Dahi),1 Kg,116.25,112.92,100,90,92.5,97.5,90,98.96,80,141.73,135,100,100,106.67,96.25,120,90,103.99,103.17,101.09,0.79,2.87
"Powdered Milk, Nido, Polybag",400 gm,410.26,410.26,410.26,410.26,410,405,416,410.25,410,400,430.76,405.12,425,393.33,410.25,410,400,409.81,406.29,384.27,0.87,6.65
"Eggs Hen, Farm",Dozen,85.55,77.39,79.38,79.38,77.91,79,76,74.17,74.5,82.98,77.19,84,81.25,90.21,103.75,112.5,120,85.6,101.11,90.21,-15.34,-5.11
"Mustard Oil, Average Quality",1 Kg,246.25,241.67,170,160,187.86,220,190,184.17,170,184.62,160,150,213.75,233.33,180,200,200,193.63,192.7,183.57,0.48,5.48
"Cooking Oil, Tin, (SN)",2.5 Ltr,542.5,542.5,520,520,527.5,520,520,545,545,527.5,510,510,515,513,515,530,460,521.35,515.54,475.03,1.13,9.75
"Vegetable Ghee, Tin, (SN)",2.5 Kg,512.5,512.5,495,495,513.75,495,495,515,515,502.5,490,490,505,495,490,507.5,455,499.04,493.24,469.26,1.18,6.35
Vegetable Ghee (Loose),1 Kg,162.5,162.08,155,155,160,149.38,150.5,162.92,165,163.87,195,145,132.5,173.23,175,195,125,160.41,159.53,147.12,0.55,9.03
Bananas,Dozen,154.69,132.5,98.75,96.25,115.36,90,77.5,101.67,86.25,81.44,72.5,80,80,93.34,86.25,70,81.88,94.02,85.68,84.07,9.73,11.84
"Pulse Masoor, Washed",1 Kg,133.75,119.17,150,150,133.93,135,138.75,108.33,116.25,107.12,103.75,110,101.25,93.33,116.25,138.75,135,122.98,121.82,113.25,0.95,8.59
"Pulse Moong, Washed",1 Kg,157.5,150.52,142.5,143.75,137.86,147.5,147.5,138.34,146.25,152.36,144.69,150,135,134.17,140,160,135,144.88,138.37,115.2,4.7,25.76
"Pulse Mash, Washed",1 Kg,163.75,155.94,157.5,160,157.14,164.38,180,141.67,140,145.67,135,140,137.5,137.09,151.25,202.5,125,152.61,152.09,148.05,0.34,3.08
"Pulse Gram, Washed",1 Kg,143.13,137.08,110,110,120.71,120,115,114.58,130,129.33,121.88,125,116.25,128.33,111.25,152.5,140,125,125.09,114.81,-0.07,8.88
Potatoes,1 Kg,34.69,30.63,20,20,19.64,18.13,16.25,20,18.75,25.31,20,20,20,27.08,16.88,22.5,27.5,22.2,21.14,23.35,5.01,-4.93
Onions,1 Kg,67.66,58.54,47.5,50,48.12,48.75,41.25,42.92,41.25,45.46,37.97,36.25,44.38,56.88,46.88,47.5,47.5,47.58,36.87,30.15,29.05,57.81
Tomatoes,1 Kg,95.78,83.02,81.88,71.25,73.39,74.38,73.75,70,63.75,55.63,41.25,57.81,38.75,81.67,59.69,57.5,87.5,68.65,100.03,33.25,-31.37,106.47
"Sugar, Refined",1 Kg,70.39,66.73,65.75,65.25,65.43,65,64.75,64.5,65,65.23,64.69,64.13,62.38,66.67,65.63,69.25,65,65.63,61.15,52.85,7.33,24.18
"Gur, Average Quality",1 Kg,105.63,93.33,96.25,100,105.71,97.5,83.75,89.17,90,98.41,95,97.5,85.63,89.17,85.63,90,87.5,93.54,90.95,75.76,2.85,23.47
"Salt Powder, Loose, Lahori",1 Kg,12,12,15,15,20.54,10,10,10,12,12.62,15,10,10,15,12,10,10,12.42,12.38,11.34,0.32,9.52
"Red Chilly Powder, Loose",1 Kg,397.5,355,325,320,327.86,378.75,400,325.42,310,392.31,385,365,285,356.67,357.5,380,290,350.06,348.72,270.17,0.38,29.57
Garlic,1 Kg,247.03,227.29,203.75,215,185.99,168.75,153.75,196.25,205,193.51,160.94,175,157.5,203.33,208.75,175,210,193.34,180.3,144.92,7.23,33.41
"Tea, Lipton Yellow Label, Packet",200 gm,221.05,221.05,221.05,221.05,221.05,221.05,221.05,221.05,221,221.05,221.05,221.05,221.05,221.05,221.05,221.05,195,219.51,219.5,195.06,0,12.53
"Cooked Beef, Average Hotel",Plate,128.13,117.5,135,140,115,152.5,120,105,125,99.23,95,100,100,120,105,90,185,119.55,118.18,109.49,1.16,9.19
"Cooked Daal, Average Hotel",Plate,85,75.83,55,60,67.32,58.75,50,46.25,60,64.15,60,70,65,60,50,75,87.5,64.11,63.58,61.08,0.83,4.96
"Tea Prepared, Average Hotel",Cup,25.31,25,25,20,24.02,23.13,25,23.33,22.5,24.42,30,25,30,19.58,20,21,20,23.72,23.1,21.41,2.68,10.79
"Cigarettes, K-2, 20's",Packet,60,60,60,60,60,70,60,50,60,60.05,60,60,50,65,70,50,60,59.71,59.71,51.1,0,16.85
Long Cloth,1 mtr,245,235,180,180,295,237.5,275,300,260,180,300,375,200,350,422.5,550,250,284.41,263.6,219.61,7.89,29.51
Shirting,1 mtr,228.13,221.25,200,200,165,125,170,245,125,166.15,140,175,157.5,321,180,160,170,185.24,181.71,175.2,1.94,5.73
Lawn,1 mtr,260,240,245,250,337.5,280,393.34,200,383.5,421.54,280,393,366,393,463,500,250,332.7,312.53,268.9,6.45,23.73
Georgette,1 mtr,175,173.75,175,160,145,160,150,105,110,123.08,120,150,130,123.33,100,105,150,138.54,136.11,130.75,1.79,5.96
Sandal Bata (Gents),Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
Chappal Spounge Bata (Gents),Pair,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,194.02,0,2.57
Sandal Bata (Ladies),Pair,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,574.85,0,4.2
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,,145.08,145.08,128.7,0,12.73
Kerosene Oil,1 Ltr,138.75,138.33,130,135,130,130,120,120,130,138.56,123,120,145,129.17,112.25,101,90,125.36,122.94,115.11,1.97,8.9
Firewood Whole,40 Kg,787.5,741.67,775,737.5,810.71,600,550,708.33,650,662.02,600,400,450,729.17,500,650,625,645.7,646.84,626.25,-0.18,3.11
Energy Saver (14 watts),Each,167.5,167.5,170,155,170,165,180,165,175,180,200,155,180,190,170,180,150,171.76,171.47,170.51,0.17,0.73
"Washing Soap, (Nylon), (SN)",Cake,30,30,40,45,45,30,45,22,20,14,30,28,30,20,25,40,40,31.41,31.07,27.74,1.09,13.23
"Match Box, Regular",Each,2,2,2,2,3,2.5,3,3,2.5,3,3,2.5,3,2,3,2,1.5,2.47,2.47,2.26,0,9.29
"Petrol, Super",1 Ltr,99.36,99.36,99.4,100.9,99.4,99.35,99.51,99.72,99.57,99.36,100.36,99.36,99.6,99.36,101.6,99.19,102.28,99.86,93.95,86.98,6.29,14.81
Hi Speed Diesel (HSD),1 Ltr,117.9,117.9,117.9,119.1,117.78,117.9,118,117.99,118.05,117.9,118.71,117.9,118.1,117.9,120.7,117.73,120.82,118.37,112.45,97.35,5.26,21.59
"LPG Cylinder, 11kg",Each,1400,1412.5,1210,1272.5,1196.01,1250,1125,1191.46,1292.5,1268.17,1347.5,1430,1430,1265,1237.5,1325,1400,1297.24,1374.15,1177.21,-5.6,10.2
Telephone Local Call,P/Call,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,3.94,0,18.02
