Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Apr 17,Average Prices  Apr 17,Average Prices Apr 16 ,%change Apr 17 over Mar 17,%change Apr 17 over Mar 16 
Wheat,10 Kg,351.25,351.25,347.5,356.25,356.25,340,325,310.63,311.25,360,313.75,318.75,316.25,350,341.25,350,337.5,337.46,349.63,337.59,-3.48,-0.04
"Wheat Flour, Bag",10 Kg,389.69,384.17,376.25,376.25,376.5,355,345,358.75,367.5,434.2,408.75,365.63,360,379.59,386.25,400,386.25,379.4,386.74,383.03,-1.9,-0.95
"Rice Basmati Broken, (AQ)",1 Kg,85,78.13,50,55,70.18,80,60,75.84,55,73.08,75,65,67.5,71.67,51,67.5,57.5,66.91,65.19,59.73,2.64,12.02
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,57,55,50,40,47.5,44.58,45,52.5,36,46.67,60,50,50,49.67,49.4,46.2,0.55,7.51
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,40.82,0,0.73
"Beef With Bone, (AQ)",1 Kg,352.5,350,300,300,344.29,350,315,350,300,390,325,325,310,313.33,300,400,320,332.07,331.77,318.01,0.09,4.42
"Mutton, Average Quality",1 Kg,793.13,776.46,650,650,805.36,700,700,700,600,742.31,684.38,650,650,650,522.5,700,575,679.36,672.5,636.78,1.02,6.69
"Chicken Farm, Broiler, Live",1 Kg,171.51,153.75,156.5,162.5,154.25,159.38,156.25,166.46,158,186.82,174.22,172.5,168.13,166.75,161.88,181.25,203.75,167.88,172.7,185.2,-2.79,-9.35
"Milk, Fresh, Unboiled",1 Ltr,99.38,96.25,80,70,77.21,80,67.5,78.33,67.5,85,84,80,80,85,80,90,80,81.19,80.82,78.5,0.46,3.43
Curd (Dahi),1 Kg,113.13,107.92,90,80,83.04,95,80,90.83,80,127.79,115,95,95,97.5,87.5,100,90,95.75,94.76,92.48,1.04,3.54
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,358.97,358.97,389.74,389.74,358.98,358.97,358.97,369.23,369.23,372.47,346.66,365,366.66,389.74,389.74,371.91,373.93,379.54,-0.54,-2.01
"Eggs Hen, Farm",Dozen,86.96,79.31,81,82.5,78,82.5,80,78.13,77,81.69,79.25,84,74.88,90,93.75,101.25,98.75,84.06,90.15,73.33,-6.76,14.63
"Mustard Oil, Average Quality",1 Kg,240,220,150,160,183.93,200,175,177.5,170,168.85,150,137.5,190,220,182.5,190,170,181.49,181.81,178.98,-0.18,1.4
"Cooking Oil, Tin, (SN)",2.5 Ltr,475,475,475,467,465,465,475,475,475,468,465,468,460,470,475,445,440,466.94,466.07,454.35,0.19,2.77
"Vegetable Ghee, Tin, (SN)",2.5 Kg,470,470,470,452,460,460,470,470,470,453,460,453,450,460,470,440,445,460.18,459.24,445.12,0.2,3.38
Vegetable Ghee (Loose),1 Kg,151.25,147.5,145,148.75,140.14,138.75,140.5,144.5,148.75,145.48,175,145,130,158.33,162.5,130,130,145.97,145.72,138.99,0.17,5.02
Bananas,Dozen,141.88,125.21,84.38,90,113.31,72.5,60,96.67,60,74.38,65,80,75.38,84.59,72.81,70,65,84.18,82.37,78.33,2.2,7.47
"Pulse Masoor, Washed",1 Kg,153.13,136.67,140,160,138.93,120,158.75,110,120,117.41,116.88,110,100,104.42,120,120,141.25,127.5,130.04,147.57,-1.95,-13.6
"Pulse Moong, Washed",1 Kg,151.88,129.58,120,150,131.97,120,120,112.5,120,117.93,126.41,130,140,105.48,101.88,137.5,168.75,128.46,130.12,158.24,-1.28,-18.82
"Pulse Mash, Washed",1 Kg,203.13,179.58,195,182.5,228.93,210,225,163.33,182.5,153.56,159.53,170,174.88,177.67,195,196.25,240,190.4,188.72,268.74,0.89,-29.15
"Pulse Gram, Washed",1 Kg,151.25,136.67,113.75,125,126.52,120,125,120.42,130,126.2,122.5,122.5,121.88,124.17,115,145,152.5,128.14,129.96,131.07,-1.4,-2.24
Potatoes,1 Kg,46.1,36.35,25,30,31.96,27.5,23.75,29.59,27.5,28.39,28.13,25,25.38,31.88,26.88,26.25,29.5,29.36,28.77,18.8,2.05,56.17
Onions,1 Kg,53.75,43.34,32.5,37.5,35.22,31.88,26.88,28.96,31.25,28.56,25.16,24.69,28.13,35.21,30,30,28.5,32.44,33.5,37.64,-3.16,-13.82
Tomatoes,1 Kg,85,67.08,65,62.5,61.25,60.63,47.5,56.79,51.25,54.04,42.74,48.75,36.88,60.42,47.5,60,63.75,57.12,80.66,38.81,-29.18,47.18
"Sugar, Refined",1 Kg,65.81,61.51,60,60,63.6,59.25,57.25,57.63,59,61.04,59.19,57.63,58.88,59.67,58.5,61,59.5,59.97,60.41,63.76,-0.73,-5.94
"Gur, Average Quality",1 Kg,109.38,98.33,80,80,93.21,75,70,70,57.5,90.19,81.25,73.06,75.63,95,95,95,80,83.44,84.21,85.63,-0.91,-2.56
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,10,10,10,10,12,12,12,10,10,10,12,10,10,10.71,10.71,10.47,0,2.29
"Red Chilly Powder, Loose",1 Kg,300,254.17,240,280,223.93,280,280,237.5,225,295.67,265,250,248.75,236.67,265,310,300,264.22,266.68,275.96,-0.92,-4.25
Garlic,1 Kg,285,249.58,250,250,265.72,325,273.75,213.13,260,187.98,213.75,160,208.75,259.38,290,295,293.75,251.81,300.49,236.87,-16.2,6.31
"Tea, Lipton Yellow Label, Packet",200 gm,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205,178.94,185.52,186.32,201.42,195.96,157.9,2.79,27.56
"Cooked Beef, Average Hotel",Plate,107.5,104.17,62.5,62.5,102.86,75,100,80,75,92.69,77.5,100,100,120,100,90,140,93.51,93.3,89.61,0.23,4.35
"Cooked Daal, Average Hotel",Plate,78.75,75.83,40,40,67.32,47.5,45,40,50,61.15,52.5,50,65,60,50,65,80,56.94,56.93,54.08,0.02,5.29
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,18.75,20,22.5,20,20,15,21.73,20,25,27.5,15,20,21,20,20.68,20.6,19.57,0.39,5.67
"Cigarettes, K-2, 20's",Packet,70,70,75,75,70,70,65,62,57,70,65,65,62,70,64,70,65,67.35,67.24,60.04,0.16,12.18
Long Cloth,1 mtr,205,195,137.5,135,262.32,237.5,235,250,180,170,240,230,200,300,157.5,170,195,205.87,205.57,204.43,0.15,0.7
Shirting,1 mtr,192.5,185,175,175,146.79,125,140,210,115,166.15,140,120,130,283.33,147.5,160,190,164.78,164.3,163.41,0.29,0.84
Lawn,1 mtr,240,220,205,205,293.04,240,360,150,169,415,280,280,333,360,187.5,180,165,251.91,251.21,248.4,0.28,1.41
Georgette,1 mtr,155,152.5,132.5,130,127.77,160,135,105,110,114.62,120,125,130,120,100,105,95,124.55,124.13,123.91,0.34,0.52
Sandal Bata (Gents),Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
