Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices May 17,Average Prices  May 17,Average Prices May 16 ,% change May 17 over Apr 17,% change May 17 over May 16
Wheat,10 Kg,335,335,325,325,329.38,340,309.38,300,299.06,355,307.5,312.5,312.5,330,327.5,350,350,326.05,337.46,323.42,-3.38,0.81
"Wheat Flour, Bag",10 Kg,384.77,376.25,368.75,367.5,366.25,355,326.25,350,360,422.36,406.25,358.75,345,372.09,373.13,400,375,371.02,379.4,371.22,-2.21,-0.05
"Rice Basmati Broken, (AQ)",1 Kg,88.29,82.03,50,55,73.21,80,60,77.5,55,73.27,75,65,67.5,72.92,51,75,60,68.28,66.91,59.58,2.05,14.6
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,57,55,50,40,47.5,44.58,45,52.5,36,46.67,60,50,50,49.67,49.67,46.26,0,7.37
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,40.82,0,0.73
"Beef With Bone, (AQ)",1 Kg,352.5,350,300,300,344.29,350,320,350,300,390,325,325,310,313.33,300,400,320,332.36,332.07,318.96,0.09,4.2
"Mutton, Average Quality",1 Kg,806.25,782.08,650,650,805.36,700,700,700,600,743.75,700,650,650,650,522.5,700,575,681.47,679.36,639.43,0.31,6.57
"Chicken Farm, Broiler, Live",1 Kg,159.32,138.12,149,154.75,141.75,142.75,145.5,160,151,177.76,166.18,175,175,156.25,160,162.5,193.75,159.33,167.88,173.5,-5.09,-8.17
"Milk, Fresh, Unboiled",1 Ltr,99.38,96.25,80,70,77.21,80,68.13,78.33,67.5,85,84,80,80,85,80,90,80,81.22,81.19,79.36,0.04,2.34
Curd (Dahi),1 Kg,113.13,107.92,95,80,83.04,95,82.5,90.83,80,129.72,115,95,95,97.5,87.5,100,90,96.3,95.75,93.05,0.57,3.49
"Powdered Milk, Nido, Polybag",400 gm,374.37,374.37,358.97,358.97,366.66,389.74,358.98,358.97,358.97,369.23,369.23,385.97,346.66,365,358.97,389.74,382.05,368.64,371.91,380.84,-0.88,-3.2
"Eggs Hen, Farm",Dozen,91.22,88.01,86.25,92.5,87,82.5,88.5,84.17,84,83.84,82.96,90,81,96.25,93.13,91.25,82.5,87.36,84.06,71.91,3.93,21.49
"Mustard Oil, Average Quality",1 Kg,240,220,150,160,183.93,200,175,177.5,170,170.29,150,137.5,190,220,180,190,170,181.42,181.49,179.21,-0.04,1.23
"Cooking Oil, Tin, (SN)",2.5 Ltr,475,475,475,467,465,467.5,475,475,463.75,468,465,468,460,470,475,445,453.75,467.24,466.94,454.35,0.06,2.84
"Vegetable Ghee, Tin, (SN)",2.5 Kg,470,470,470,452,460,462.5,470,470,458.75,453,460,453,450,460,470,440,457.5,460.4,460.18,445.12,0.05,3.43
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,147.5,142.5,143.75,140.14,136,140,145.25,146,145.77,175,145,130,158.33,162.5,130,130,145.23,145.97,139.26,-0.51,4.29
