,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Mar 17,Average Prices Feb 17,Average Prices Mar 17 Feb 17 Mar 16,%change Mar 17 over Feb 17,%change Mar 17 over Mar 16
Wheat,10 Kg,363,363,370,380,356.25,340,334,334,337,366,333,337.5,320,360,350,350,350,349.63,349.71,354.69,-0.02,-1.43
"Wheat Flour, Bag",10 Kg,389.69,384.17,380,385,380,355,355,379,380,448.31,416.25,378,370,384.17,400,400,390,386.74,386.89,394.87,-0.04,-2.06
"Rice Basmati Broken, (AQ)",1 Kg,85,78.13,50,55,67.5,75.5,55,74.17,55,71.7,75,65,61.5,71.67,51,62,55,65.19,64.01,59.96,1.84,8.72
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,57,50,50,40,47.5,44.58,45,52.5,36,47,60,50,50,49.4,49.42,46.24,-0.04,6.83
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,40.82,0,0.73
"Beef With Bone, (AQ)",1 Kg,352.5,350,300,300,344.29,350,310,350,300,390,325,325,310,313.33,300,400,320,331.77,327.75,318.01,1.23,4.33
"Mutton, Average Quality",1 Kg,787,771,650,650,805.36,700,700,700,600,742.31,641.25,620,640,650,522.5,678,575,672.5,662.56,634.47,1.5,5.99
"Chicken Farm, Broiler, Live",1 Kg,174.87,156.96,160.6,167.8,155.6,164.1,161.6,172.83,166,199.99,189.38,192,179.5,172.8,159.8,174,188,172.7,135.11,155.43,27.82,11.11
"Milk, Fresh, Unboiled",1 Ltr,99.38,96.25,80,70,77.21,80,67.5,78.33,67.5,82.77,80,80,80,85,80,90,80,80.82,80.52,78.29,0.37,3.23
Curd (Dahi),1 Kg,113.13,107.92,90,80,83.04,95,80,90.83,80,120,106,95,95,97.5,87.5,100,90,94.76,94.43,92.42,0.35,2.53
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,371.28,371.28,389.74,389.74,358.98,358.97,358.97,369.23,369.23,358.97,346.66,365,389.74,389.74,389.74,373.93,376.25,378.82,-0.62,-1.29
