,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Dec 18,Average Prices Nov 18,Average Prices Dec 17,%change Dec 18 over Nov 18,%change Dec 18 over Dec 17
Wheat,10 Kg,356.88,356.88,362.5,362.5,347.5,337.5,325,330,338.75,385,348.75,325,345,360,357.5,355,350,349.63,348.43,340.53,0.34,2.67
"Wheat Flour, Bag",10 Kg,392.5,388.75,380,390,392.5,400,363.75,375,390,447.26,420,390,382.5,395,400,410,390,394.54,394.06,388.45,0.12,1.57
"Rice Basmati Broken, (AQ)",1 Kg,96.88,89.38,70,70,74.82,97.5,65,87.5,60,85.38,85,65,80,82.5,53.75,85,78.75,78.03,77.73,70.86,0.39,10.12
Rice Irri-6 (Punjab/Sindh),1 Kg,60,57.5,60,47.5,57,60,70,50,47.5,56.04,52.63,53.13,40.75,56.67,58.75,50,53.44,54.76,54.61,51.34,0.27,6.66
"Bread Plain, Medium Size",Each,45,45,45,40,44.29,45,45,45,45,45.19,44,50,45,40,35,40,37.5,43.29,42.97,42.56,0.74,1.72
"Beef With Bone, (AQ)",1 Kg,446.88,438.33,375,400,381.96,375,400,390,365,455,382.5,387.5,360,350.83,330,380,371.88,387.64,383.01,344.1,1.21,12.65
"Mutton, Average Quality",1 Kg,920.63,911.98,800,800,869.64,850,868.75,825,725,875.96,800,750,792.5,791.67,600,775,750,806.24,801.67,729.27,0.57,10.55
"Chicken Farm, Broiler, Live",1 Kg,166.8,155.78,155,160.75,159.5,156.63,153.75,164.38,154,179.55,176.41,175,168.75,169.5,197.5,213.75,210.63,171.63,187.35,166.84,-8.39,2.87
"Milk, Fresh, Unboiled",1 Ltr,102.5,100.83,85,80,77.21,87.5,70,83.33,67.5,94.19,94,80,90,91.67,82.5,95,80,85.95,85.51,82.5,0.51,4.18
Curd (Dahi),1 Kg,116.25,112.92,100,90,90,96.25,90,97.5,80,140.96,135,100,95,105.83,90,110,90,102.34,102.26,98.65,0.08,3.74
"Powdered Milk, Nido, Polybag",400 gm,410.26,410.26,410.26,410.26,410,405,402.56,410.25,410,400,400,389.74,410,385,410.25,394.87,390,403.45,397.47,380.37,1.5,6.07
"Eggs Hen, Farm",Dozen,115.96,108.69,115.63,120,109,110.25,110,112.5,114.5,118.55,116.1,125,117.5,119.58,120,135,122.5,117.1,120.83,128.78,-3.09,-9.07
"Mustard Oil, Average Quality",1 Kg,241.56,234.17,170,160,184.91,200,190,184.17,170,184.23,160,150,195,220,165,190,200,188.18,188.01,184.71,0.09,1.88
"Cooking Oil, Tin, (SN)",2.5 Ltr,520,520,520,520,495,520,520,515,520,510,491,480,500,485,515,495,460,505.06,490.89,469.71,2.89,7.53
"Vegetable Ghee, Tin, (SN)",2.5 Kg,495,495,495,495,490,495,495,492.5,495,490,486,480,490,480,490,477.5,455,488,480.87,462.94,1.48,5.41
Vegetable Ghee (Loose),1 Kg,159.06,155.63,153.75,155,155,144.63,146.25,160,160,158.2,193.75,145,130,167.5,170,190,125,156.99,154.07,145.48,1.9,7.91
Bananas,Dozen,122.04,90.31,57.5,61.25,63.04,45,50,67.5,65,62.55,46.25,50,50,73.33,57.5,77.5,55.31,64.36,61.58,65.86,4.51,-2.28
"Pulse Masoor, Washed",1 Kg,132.19,118.23,150,150,133.93,130,140,110,105,107.55,102.82,95,101.25,93.33,100,121.25,120,118.27,115.9,118.8,2.04,-0.45
"Pulse Moong, Washed",1 Kg,132.82,121.23,120,120,123.93,135,125,117.5,120,126.35,120.94,126.25,127.5,106.67,115,147.5,117.5,123.72,117.9,113.99,4.94,8.54
"Pulse Mash, Washed",1 Kg,167.35,156.56,151.25,160,157.14,160,175,147.5,140,142.89,135.32,130,120,135,135,180,168.75,150.69,143.96,160.21,4.67,-5.94
"Pulse Gram, Washed",1 Kg,138.28,133.6,115,120,118.93,117.5,110,117.29,125,127.31,120.47,115,121.25,125,115,145,135,123.51,119.98,118.52,2.94,4.21
Potatoes,1 Kg,40.78,32.92,23.13,23.75,22.95,25,21.25,25.63,29.38,27.19,24.38,21.88,22.5,29.58,30,30,28.44,26.99,33.28,41.45,-18.9,-34.89
Onions,1 Kg,41.72,35.31,30,30,26.34,27.19,22.5,21.88,29.38,26.64,20.63,20.63,23.75,35.21,31.25,31.25,34.06,28.69,31.56,58.52,-9.09,-50.97
Tomatoes,1 Kg,48.13,39.9,41.25,42.5,39.6,36.88,32.5,32.5,36.25,27.52,17.81,30,25,33.75,32.5,40,36.88,34.88,39.09,74.44,-10.77,-53.14
"Sugar, Refined",1 Kg,61,57.92,55.56,56,56.14,55,54.5,54.25,55,55.32,54.19,54,55,56.83,55.5,56,53.5,55.63,54.87,53.91,1.39,3.19
"Gur, Average Quality",1 Kg,105.63,93.33,75,78.75,83.93,80,80,74.17,71.88,100,92.5,72.5,71.25,86.67,82.5,90,87.5,83.86,84.85,84.03,-1.17,-0.2
