,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices May 18,Average Prices Apr 18,Average Prices May 17,%change May 18 over Apr 18,%change May 18 over May 17 
Wheat,10 Kg,328.75,328.75,318.63,332.5,327.5,315.25,287.5,295,296.88,360,310,300,322.5,320,305,350,350,320.49,333.06,326.05,-3.77,-1.71
"Wheat Flour, Bag",10 Kg,362.97,338.65,327.5,352.5,363.75,371.25,307.5,317.5,332.5,415.87,407.5,351.25,350,363.08,380,400,375,359.81,376.4,371.02,-4.41,-3.02
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,65,65,74.82,95,60,87.5,60,80.43,82.5,65,75,82.33,53.44,90,60,74.63,74.5,68.28,0.17,9.3
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,60,47.5,57,60,70,47.5,47.5,53.27,46.5,52.5,35.5,47.5,57.5,50,53.75,52.87,52.34,49.67,1.01,6.44
"Bread Plain, Medium Size",Each,45,45,40,40,44.29,45,45,45,45,45.19,44,50,45,35,35,40,35,42.56,42.56,41.12,0,3.5
"Beef With Bone, (AQ)",1 Kg,418.13,400,350,350,381.96,350,350,360,365,432.22,380,325,315,346.25,322.5,380,320,361.53,358.55,332.36,0.83,8.78
"Mutton, Average Quality",1 Kg,897.19,893.54,700,700,844.64,850,800,800,725,872.12,775,700,737.5,766.67,581.25,775,625,767.23,760.49,681.47,0.89,12.58
"Chicken Farm, Broiler, Live",1 Kg,184.8,175.46,182,186.5,181.25,186.25,177.5,187.5,179,201.91,190,200,195,189.75,215,201.25,212.5,190.92,176.1,159.33,8.42,19.83
"Milk, Fresh, Unboiled",1 Ltr,102.5,96.25,80,80,77.21,82.5,70,82.5,67.5,94.19,94,80,80,83.33,82.5,95,80,83.97,83.8,81.22,0.2,3.39
Curd (Dahi),1 Kg,116.25,107.92,100,90,90,95,90,97.5,80,140.96,135,95,95,98.33,90,110,90,101.23,101.09,96.3,0.14,5.12
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,379.49,392,389.74,379.48,389.74,389.7,379.49,379.48,389.74,389.74,370,365,389.74,380,384.27,384.27,368.64,0,4.24
"Eggs Hen, Farm",Dozen,95.94,89,90,92.5,88,87.38,90,86.67,87.75,93.52,90.5,95,81,96.67,95,120,82.5,91.85,90.21,87.36,1.82,5.14
"Mustard Oil, Average Quality",1 Kg,240,231.67,160,160,183.93,200,180,184.17,170,184.62,160,140,190,220,165,190,175,184.38,183.57,181.42,0.44,1.63
"Cooking Oil, Tin, (SN)",2.5 Ltr,475,475,485,467,480,480,485,480,475,487.75,478,473,480,475,483,460,460,476.4,475.03,467.24,0.29,1.96
"Vegetable Ghee, Tin, (SN)",2.5 Kg,470,470,480,470,470,475,475,475,470,482.75,473,460,470,475,462.5,458.75,455,470.12,469.26,460.4,0.18,2.11
Vegetable Ghee (Loose),1 Kg,152.81,150,140,145,144.36,140.13,142.5,155,155,150.58,180,145,130,160,165,145,120,148.26,147.12,145.23,0.77,2.09
Bananas,Dozen,179.07,152.61,120,118.75,132.41,95,102.5,120.84,90,89.38,88.13,90,73.75,99.58,113.13,96.25,65,107.44,84.07,88.46,27.8,21.46
"Pulse Masoor, Washed",1 Kg,126.72,110,140,150,133.93,107.5,155,100.83,112.5,102.12,94.38,95,89,83.67,100,125,90,112.69,113.25,127.53,-0.49,-11.64
"Pulse Moong, Washed",1 Kg,130.32,122.6,102.5,110,123.93,110,110,100,120,117.88,106.25,125,105.63,101.67,100,156.25,100,114.24,115.2,129.41,-0.83,-11.72
"Pulse Mash, Washed",1 Kg,161.26,145.42,150,150,191.43,160,175,124.17,125,121.15,111.25,120,115,119.33,122.5,190,230,147.74,148.05,194.02,-0.21,-23.85
"Pulse Gram, Washed",1 Kg,133.13,118.75,100,106.25,118.93,105,100,102.5,120,118.03,112.19,120,101.25,116,100,145,120,113.94,114.81,131.47,-0.76,-13.33
Potatoes,1 Kg,38.13,34.38,28.13,30.63,27.06,29.06,20,24.38,25,25.53,23.44,20.63,20,28.54,24.38,28.75,28.5,26.86,23.35,34.77,15.03,-22.75
Onions,1 Kg,44.69,38.85,30,28.75,28.93,29.69,24.38,25.83,26.25,25.79,22.19,25.63,23.75,33.02,31.25,31.25,22.5,28.99,30.15,29.48,-3.85,-1.66
Tomatoes,1 Kg,48.13,41.36,28.13,28.13,30,28.75,25,21.46,21.25,41.49,37.19,26.88,20,37.5,31.25,40,31.25,31.63,33.25,30.13,-4.87,4.98
"Sugar, Refined",1 Kg,58.25,54.46,52.13,52,54.64,52,52,51.5,52,54.48,51,50.5,50,52.5,52.88,55,50.25,52.68,52.85,58.46,-0.32,-9.89
"Gur, Average Quality",1 Kg,109.38,98.33,70,70,84.29,75,70,66.25,67.5,82.5,76.25,68.75,61.25,85.21,82.5,85,85,78.66,75.76,83.54,3.83,-5.84
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,18.5,10,10,10,12,12,12,10,10,15,12,10,10,11.5,11.34,10.71,1.41,7.38
"Red Chilly Powder, Loose",1 Kg,322.5,306.67,260,270,277.86,280,310,270,270,300,301.25,250,260,241.67,237.5,310,290,279.85,270.17,264.2,3.58,5.92
Garlic,1 Kg,172.04,130.42,110,118.75,134.29,138.75,100,128.75,86.25,147.69,133.75,112.5,93.75,180,132.5,167.5,163.75,132.39,144.92,228.9,-8.65,-42.16
"Tea, Lipton Yellow Label, Packet",200 gm,205.26,205.26,200,200,200,200,200,200,202.5,194.74,194.73,194.73,194.73,202.63,194.73,194.73,194.73,198.75,195.06,203.7,1.89,-2.43
"Cooked Beef, Average Hotel",Plate,115,113.33,120,130,115,135,100,100,125,93.46,80,100,100,120,105,90,140,110.69,109.49,93.51,1.1,18.37
"Cooked Daal, Average Hotel",Plate,78.75,75.83,45,60,67.32,55,50,40,60,61.54,60,70,65,60,50,65,80,61.38,61.08,56.94,0.49,7.8
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,22.5,21.73,25,25,27.5,15,20,21,20,21.48,21.41,20.75,0.33,3.52
"Cigarettes, K-2, 20's",Packet,50,50,50,50,50,50,50,50,50,55,50,50,50,55,60,50,50,51.18,51.1,67.35,0.16,-24.01
Long Cloth,1 mtr,225,215,162.5,160,267.5,237.5,245,260,197.5,180,240,300,200,333.33,157.5,210,195,222.7,219.61,207.57,1.41,7.29
Shirting,1 mtr,216.88,205,180,180,155,125,150,240,120,166.15,140,175,157.5,300,147.5,160,190,176.94,175.2,166.7,0.99,6.14
Lawn,1 mtr,240,220,217.5,220,305,280,393.34,200,169,415,280,375,366.66,393,187.5,200,165,272.18,268.9,255.19,1.22,6.66
Georgette,1 mtr,165,162.92,150,140,135,160,140,105,110,121.54,120,150,130,123.33,100,105,117.5,131.49,130.75,124.98,0.57,5.21
Sandal Bata (Gents),Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
Chappal Spounge Bata (Gents),Pair,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,194.02,179.09,2.57,11.12
Sandal Bata (Ladies),Pair,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,574.85,502.39,4.2,19.23
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.7,0,0
Kerosene Oil,1 Ltr,130,127.5,118,119,125,110,110,110,125,134.23,115,120,130,113.33,119,92,92,117.06,115.11,78.81,1.69,48.53
Firewood Whole,40 Kg,787.5,741.67,750,700,764.29,600,550,646.67,625,651.92,550,400,450,729.17,500,650,550,626.25,626.25,609.09,0,2.82
Energy Saver (14 watts),Each,167.5,167.5,170,155,170,165,180,165,175,180,200,155,180,180,170,180,150,171.18,170.51,167.79,0.39,2.02
"Washing Soap, (Nylon), (SN)",Cake,25,25,40,22,40,25,40,22,20,14,30,26,30,20,22.5,30,40,27.74,27.74,25.91,0,7.06
"Match Box, Regular",Each,2,2,2,2,3,2.5,3,2.5,2.5,2,2,2.5,2.5,2,3,2,1.5,2.29,2.26,2.21,1.33,3.62
"Petrol, Super",1 Ltr,88.15,88.14,88.15,89.9,88.06,88.18,88.28,88.24,88.71,88.14,88.82,88.14,88.3,88.14,90.1,88.01,89.7,88.54,86.98,74.85,1.79,18.29
Hi Speed Diesel (HSD),1 Ltr,99.25,99.24,99.26,100.5,99.11,99.33,99.4,99.25,99.9,99.25,100.01,99.3,99.5,99.24,101.3,99.06,99.98,99.58,97.35,83.97,2.29,18.59
"LPG Cylinder, 11kg",Each,1305,1285,1113.75,1100,1141.25,1225,1187.5,1200,1210,1210,1210,1210,1320,1237.5,1162.5,1275,1175,1209.85,1177.21,1016.78,2.77,18.99
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
Each,38,38,38,38,38,42,42,38,38,38,38,38,40,38,40,42,42,39.18,39.18,40.59,0,-3.47,
"Cement (Local), SN",50 Kg,531.25,525,548.75,547.5,570,559.75,530,533.75,545,590.19,588.75,580,580,535.83,517.5,565,500,549.9,,,,
Carpenter Wage Rate,Daily,1300,1300,825,825,1000,700,1200,1075,725,1292.31,1000,900,800,1000,1250,1000,1400,1034.84,,,,
Mason (Raj) Wage Rate,Daily,1300,1300,1150,1050,1075,1200,1200,1050,900,1265.38,1000,900,800,1200,1300,1200,1175,1121.49,,,,
Unskilled Labour Wage Rate,Daily,825,800,700,650,775,700,700,587.5,550,815.38,600,400,400,600,600,700,575,645.76,,,,
Plumber Wage Rate,Daily,1300,1300,800,700,975,750,1200,1075,725,1261.54,1000,900,600,1200,900,900,1400,999.21,,,,
Electrician Charges,P/Point,220,215,140,140,165,115,135,100,115,211.54,100,87.5,135,100,92.5,160,100,137.15,,,,
CNG,1 Kg,69.48,68.21,69.2,66.95,67.33,67.7,68.99,65.9,67.69,81.27,81.7,81.7,79.99,89.9,91.9,84.9,,75.18,,,,
Sona Urea,50 Kg,,1462.5,1475,,1400,1470,1487.5,1475,1475,,1487.5,1455,1460,1460,1471.88,1537.5,,1470.53,,,,
Kissan Urea,50 Kg,,1425,1400,,1400,1457.5,1447.5,1452.5,1455,,,1420,,1420,1350,,,1422.75,,,,
Calc. Amonium Nitrate,50 Kg,,1300,1300,,1225,1250,1307.5,1245,1275,,1337.5,1250,1250,,,,,1274,,,,
"S.S Phosphate, Gr. 18%",50 Kg,,,900,,850,937.5,920,800,887.5,,950,,1200,900,,,,927.22,,,,
"S.S Phosphate, Pd. 18%",50 Kg,,,,,,,,,,,,,,,,,,0,,,,
"Triple Sup. Phosph., Gr",50 Kg,,,,,,,,,,,,,,,,,,0,,,,
Sulphate of Potash,50 Kg,,,3475,,3500,3800,3482.5,,3500,,,,3950,3500,,,,3601.07,,,,
Nitro. Phosphate,50 Kg,,,2625,,2500,2625,2575,2515,2537.5,,2575,2512.5,2300,2562.5,,,,2532.75,,,,
DIA Amun. Phosphate,50 Kg,,3150,3225,,3200,3250,3218.75,3275,3287.5,,3262.5,3200,3250,3200,3237.5,3087.5,,3218.75,,,,
Nitro. Phosph. & Pot. (Npk),50 Kg,,2875,,,2650,2750,2565,2500,2775,,,,2690,2600,2675,2900,,2698,,,,
