,Unit,Islam-abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar-godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha-war,Bannu,Quetta,Khuz-dar,Average Prices Apr 18,Average Prices Mar 18,Average Prices Apr 17,%change Apr 18 over Mar 18,%change Apr 18 over April 17 
Wheat,10 Kg,341.25,341.25,337,350,347.53,326.25,306.25,307.5,306.25,365,303.75,337.5,308.75,347.5,336.25,350,350,333.06,341.9,337.46,-2.59,-1.3
"Wheat Flour, Bag",10 Kg,383.6,375.94,360,370,380,378.75,333.13,350,365,423.27,415,360,356.25,372.92,400,400,375,376.4,384.16,379.4,-2.02,-0.79
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,65,65,74.82,95,60,87.5,60,80.38,82.5,65,75,82.33,51.25,90,60,74.5,73.94,66.91,0.76,11.34
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,60,47.5,57,60,70,43.75,47.5,53.27,45,52.5,35.5,47.5,57.5,50,50,52.34,52.01,49.67,0.63,5.38
"Bread Plain, Medium Size",Each,45,45,40,40,44.29,45,45,45,45,45.19,44,50,45,35,35,40,35,42.56,42.56,41.12,0,3.5
"Beef With Bone, (AQ)",1 Kg,402.5,380,350,350,381.96,350,350,359.17,365,431.35,380,325,310,340.42,320,380,320,358.55,350.42,332.07,2.32,7.97
"Mutton, Average Quality",1 Kg,895,881.14,700,700,844.64,850,793.75,800,725,872.12,775,700,725,741.67,575,725,625,760.49,744.88,679.36,2.1,11.94
"Chicken Farm, Broiler, Live",1 Kg,172.72,157.58,162,167.25,159.5,164.5,165,173.75,163.5,205.35,189.38,196.5,187.5,171.75,198.75,175,183.75,176.1,168.86,167.88,4.29,4.9
"Milk, Fresh, Unboiled",1 Ltr,102.5,96.25,80,80,77.21,80,70,82.5,67.5,94.19,94,80,80,84.17,82.5,93.75,80,83.8,82.5,81.19,1.58,3.21
Curd (Dahi),1 Kg,116.25,107.92,100,90,90,95,90,97.5,80,140.96,135,95,95,98.33,90,107.5,90,101.09,99.12,95.75,1.99,5.58
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,379.49,392,389.74,379.48,389.74,389.7,379.49,379.48,389.74,389.74,370,365,389.74,380,384.27,384.27,371.91,0,3.32
"Eggs Hen, Farm",Dozen,92.27,86.13,87.38,90,84.5,85,86.25,85.83,85.13,92.06,88.75,95,88.75,93.33,90.63,120,82.5,90.21,94.72,84.06,-4.76,7.32
"Mustard Oil, Average Quality",1 Kg,240,231.67,160,160,183.93,200,178.75,184.17,170,184.62,152.5,135,190,220,165,190,175,183.57,183.55,181.49,0.01,1.15
"Cooking Oil, Tin, (SN)",2.5 Ltr,480,480,485,467,480,480,482.5,480,483.75,478,478,470.5,475,472.5,478.25,445,460,475.03,471,466.94,0.86,1.73
"Vegetable Ghee, Tin, (SN)",2.5 Kg,475,475,480,470,470,475,473.75,475,478.75,473,473,456.5,465,472.5,470,440,455,469.26,464.35,460.18,1.06,1.97
Vegetable Ghee (Loose),1 Kg,152.81,150,140,143.75,144.36,140.75,140,155,155,150.58,180,145,130,160,163.75,130,120,147.12,145.73,145.97,0.95,0.79
Bananas,Dozen,147.66,114.06,80.63,92.5,107.68,65,80,92.5,70,72.02,65.63,77.5,50,83.33,100.63,75,55,84.07,81.13,84.18,3.62,-0.13
"Pulse Masoor, Washed",1 Kg,128.75,110.42,140,150,131.43,107.5,155,100.83,107.5,104.81,97.5,102.5,92.5,82.84,100,123.75,90,113.25,115.41,127.5,-1.87,-11.18
