Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Dec 16,Average Prices Now 16,Average Prices Dec 15,%change November 2016 over Nov 16,%change November 2016 over Dec 15 
Wheat,10 Kg,365,365,350,350,346.25,335,322.5,335.5,340,365,340,337.5,320,360,339.6,350,350,345.37,342.8,353.7,0.75,-2.36
"Wheat Flour, Bag",10 Kg,389.69,384.17,380,380,380,355,355,380,380,444.62,415,380,370,383.17,385,400,390,385.39,385.75,399,-0.09,-3.41
"Rice Basmati Broken, (AQ)",1 Kg,79.38,74.17,50,55,62.68,60,55,67.5,55,69.62,72.5,65,60,70,50,60,50,62.11,62.01,60.86,0.16,2.05
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,53.07,50,50,40,47.5,43.96,40,52.5,36,46.5,53.5,50,40,47.84,47.88,45.79,-0.08,4.48
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,40.82,0,0.73
"Beef With Bone, (AQ)",1 Kg,338.75,337.5,290,300,344.29,350,302,320,300,375,310,316,310,309.83,300,400,320,324.9,324.3,317.04,0.19,2.48
"Mutton, Average Quality",1 Kg,752.5,741.25,625,650,805.36,700,687.5,675,600,681.16,618.75,594,600,650,510,660,575,654.44,653.92,627.5,0.08,4.29
"Chicken Farm, Broiler, Live",1 Kg,134.45,117.46,111.6,117,108.96,115.2,120,125.5,118.8,150.61,141.13,152,135,123.2,140,158,197,133.29,145.01,145.78,-8.08,-8.57
"Milk, Fresh, Unboiled",1 Ltr,97.5,92.92,80,70,77.21,80,65,78.33,67.5,82.77,80,80,80,85,80,90,80,80.37,80.37,78.15,0,2.84
Curd (Dahi),1 Kg,108.13,101.67,90,80,83.04,95,80,90.83,80,120,106,95,95,97.17,87.5,100,90,94.08,94.05,92.29,0.03,1.94
