,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Feb 18,Average Prices Jan 18,Average Prices Feb 17,%change Feb 18 over Jan 18,%change Feb 18 over Feb 17
Wheat,10 Kg,342.5,342.5,325,338.75,347.53,325,325,326.25,336.25,380,342.5,337.5,325,360,353.75,350,350,341.62,342.25,349.71,-0.18,-2.31
"Wheat Flour, Bag",10 Kg,390.08,384.9,382.5,380,390,380,345,366.25,380,442.12,420,370,366.25,388.33,400,400,375,385.91,388.39,386.89,-0.64,-0.25
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,60,60,74.82,95,60,87.5,55,78.46,80.94,65,75,82.33,52.63,90,60,73.49,72.51,64.01,1.35,14.81
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,60,47.5,57,60,70,40,47.5,52.12,45,52.5,34,47.5,63.13,50,50,52.29,51.79,49.42,0.97,5.81
"Bread Plain, Medium Size",Each,45,45,40,40,44.29,45,45,45,45,45.19,44,50,45,35,35,40,35,42.56,42.56,41.12,0,3.5
"Beef With Bone, (AQ)",1 Kg,378.44,364.17,300,300,381.96,350,350,356.67,350,425.77,355,325,310,336.67,320,400,320,348.45,346.57,327.75,0.54,6.32
"Mutton, Average Quality",1 Kg,863.6,857.71,650,650,844.64,800,750,775,725,823.08,728.13,725,725,733.33,575,725,625,739.73,733.32,662.56,0.87,11.65
"Chicken Farm, Broiler, Live",1 Kg,170.8,155,158.5,164.5,150,155.25,156.25,155,146.5,176.69,166.57,169,158.75,173,188.75,173.75,192.75,165.36,177.54,135.11,-6.86,22.39
"Milk, Fresh, Unboiled",1 Ltr,102.5,96.25,80,80,77.21,80,70,82.5,67.5,85,84,80,80,85,82.5,90,80,82.5,82.5,80.52,0,2.46
Curd (Dahi),1 Kg,116.25,107.92,100,90,90,95,90,92.5,80,130,120,95,95,98.33,90,100,90,98.82,98.78,94.43,0.04,4.65
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,379.49,392,389.74,379.48,389.74,379.5,379.49,379.48,389.74,389.74,370,365,389.74,370,383.08,381.03,376.25,0.54,1.82
"Eggs Hen, Farm",Dozen,102.03,95,96.25,98.75,93.75,90.63,97.25,96.67,95.5,100.6,102.63,107.5,100.63,99.79,117.5,125,97.5,101,113.41,111.71,-10.94,-9.59
"Mustard Oil, Average Quality",1 Kg,240,231.67,155,160,183.93,200,170,184.17,170,184.62,160,150,190,220,165,190,175,184.08,184.18,182.1,-0.05,1.09
"Cooking Oil, Tin, (SN)",2.5 Ltr,465,465,475,467,483.75,475,475,467.5,475,478,465,468,460,470,480,445,460,469.07,469.97,463.69,-0.19,1.16
"Vegetable Ghee, Tin, (SN)",2.5 Kg,460,460,470,452,477.5,470,470,462.5,470,473,460,453,450,463.33,470,440,455,462.14,462.93,455.94,-0.17,1.36
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,147.5,140,140,144.36,135.13,135,153.5,150,150.58,175,145,130,159.17,160,130,127.5,145.53,145.64,145.2,-0.08,0.23
Bananas,Dozen,140.47,108.44,78.75,78.75,86.43,57.5,57.5,86.25,65,74.42,60.63,70,60,78.75,86.88,71.25,52.5,77.27,70.46,74.14,9.67,4.22
"Pulse Masoor, Washed",1 Kg,128.75,110.42,140,160,128.93,123.75,155,103.33,110,107.89,98.13,110,105,90.42,100,125,113.75,118.26,120.42,134.31,-1.79,-11.95
"Pulse Moong, Washed",1 Kg,133.13,127.08,110,110,118.93,112.5,110,100,110,121.16,114.69,125,112.5,110,105,160,127.5,118.09,117.13,132.85,0.82,-11.11
"Pulse Mash, Washed",1 Kg,168.75,145.83,165,160,186.43,165,180,133.75,137.5,126.83,127.82,125,119.38,138.33,122.5,201.88,230,154.94,158.26,197.26,-2.1,-21.45
"Pulse Gram, Washed",1 Kg,133.75,128.33,99.69,105,113.93,105,108.75,108.34,120,123.22,120,120,118.75,117.5,102.5,143.75,121.25,117.04,119.14,138.88,-1.76,-15.73
Potatoes,1 Kg,41.41,34.48,26.25,27.5,27.32,21.25,20,22.29,21.88,29.11,23.13,21.88,20.63,32.29,28.75,30,30.63,26.99,32.96,24.82,-18.11,8.74
Onions,1 Kg,55.94,49.9,45,45,38.62,40,33.75,41.46,42.5,39.23,33.83,36.25,47.5,50,42.5,47.5,42.5,43.03,53.67,30.52,-19.82,40.99
Tomatoes,1 Kg,53.75,42.92,41.25,42.5,44.2,42.5,30,37.09,43.13,29.23,21.96,26.25,30,38.13,35,36.25,30,36.72,43.51,39.8,-15.61,-7.74
"Sugar, Refined",1 Kg,56.44,53.59,50.63,50,54.64,49.75,49.5,49.5,50,54.6,50.06,48.75,49.5,51.04,50.5,53.75,53.25,51.5,53.12,63.12,-3.05,-18.41
"Gur, Average Quality",1 Kg,109.38,98.33,77.5,85,88.75,75,67.5,65,52.5,86.88,81.88,56.25,58.13,83.33,82.5,90,77.5,78.55,81.85,85.36,-4.03,-7.98
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,17,10,10,10,12,12,12,10,10,10,12,10,10,11.12,11.12,10.71,0,3.83
"Red Chilly Powder, Loose",1 Kg,300,260.42,240,240,250.36,250,280,235,225,295.48,265,250,233.75,241.67,215,310,290,257.75,258.1,269.5,-0.14,-4.36
Garlic,1 Kg,223.75,183.75,155,160,167.86,153.75,155,156.67,155,187.07,169.38,165,135,187.5,185,197.5,187.5,172.04,168.29,308.28,2.23,-44.19
"Tea, Lipton Yellow Label, Packet",200 gm,186.85,186.85,186.85,186.85,186.84,186.85,186.87,182.9,187,182.9,178.94,178.94,182.89,186.85,182.93,178.94,178.94,184.07,178.96,178.79,2.86,2.95
"Cooked Beef, Average Hotel",Plate,115,113.33,100,62.5,102.86,135,100,80,125,93.08,77.5,100,100,120,105,90,140,103.49,102.2,92.74,1.26,11.59
"Cooked Daal, Average Hotel",Plate,78.75,75.83,40,40,67.32,55,50,40,60,61.54,52.5,50,65,60,50,65,80,58.29,58.28,56.91,0.02,2.42
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,22.5,21.73,20,25,27.5,15,20,21,20,21.19,21.19,20.6,0,2.86
"Cigarettes, K-2, 20's",Packet,50,50,50,50,50,50,50,50,48,55,50,50,50,55,55,50,50,50.76,50.76,67.06,0,-24.31
