,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Jun 19,Average Prices May 19,Average Prices Jun 18,%change Jun 19 over May 19,%change Jun 19 over Jun 18
Wheat,10 Kg,372.5,372.5,375,337.5,347.5,355,329.38,345.63,357.5,387.5,351.25,337.5,326.88,398.75,381.25,360,350,357.98,347.88,326.16,2.9,9.76
"Wheat Flour, Bag",10 Kg,427.11,420.63,417.5,405,402.5,407.5,377.5,397.5,417.5,457.46,431.72,418.75,403.75,423.13,426.25,423.75,382.5,414.12,395.17,361.47,4.8,14.57
"Rice Basmati Broken, (AQ)",1 Kg,96.88,89.38,70,70,74.82,90,68.75,88.33,60,85.87,85,65,90,84.17,53.75,105,80,79.82,79.26,74.51,0.71,7.13
Rice Irri-6 (Punjab/Sindh),1 Kg,66.25,65,60,47.5,57,65,70,53.33,47.5,60.52,51,55,43.5,58.75,62.5,82.5,56.25,58.92,58.61,53.22,0.53,10.71
"Bread Plain, Medium Size",Each,45,45,45,40,48.57,45,45,47.5,48.75,48.85,50,50,45,45,35,45,40,45.22,44.43,42.56,1.78,6.25
"Beef With Bone, (AQ)",1 Kg,487.5,482.4,393.75,450,423.48,387.5,400,396.67,365,500.87,422.5,400,400,384.17,350,390,400,413.76,408.03,366.92,1.4,12.77
"Mutton, Average Quality",1 Kg,1002.03,985.32,875,900,923.21,950,893.75,850,725,915.63,818.75,762.5,825,825,700,850,750,855.95,844.79,772.74,1.32,10.77
"Chicken Farm, Broiler, Live",1 Kg,162.97,150.21,149,156.5,149.42,148,150,160.21,149.5,176.32,169.38,171.25,155,161.5,190.25,191.25,225,165.63,185.05,198.58,-10.49,-16.59
"Milk, Fresh, Unboiled",1 Ltr,107.19,102.71,90,80,78,90,70,83.54,67.5,94.88,94,92.5,95,98.33,85,110,87.5,89.77,88.75,84.8,1.15,5.86
Curd (Dahi),1 Kg,120.94,112.92,100,90,92.5,99.38,90,99.59,80,142.79,135,102.5,102.5,110,100,120,97.5,105.62,104.42,101.45,1.15,4.11
"Powdered Milk, Nido, Polybag",400 gm,410.26,410.26,410.26,410.26,410,405,416,410.25,410,400,430.76,410.25,425,403.33,410.25,420,400,411.29,411.05,385.12,0.06,6.8
"Eggs Hen, Farm",Dozen,86.33,78.7,82.5,85,79.47,79.38,80.5,75.63,81.5,80.09,81.88,81.5,75,86.88,100,96.25,120,85.33,85.52,89.11,-0.22,-4.24
"Mustard Oil, Average Quality",1 Kg,246.25,241.67,170,160,187.86,220,190,184.17,170,185.96,163.75,150,227.5,233.33,177.5,210,200,195.18,194.26,185.59,0.47,5.17
"Cooking Oil, Tin, (SN)",2.5 Ltr,535,535,550,520,530,527.5,520,545,545,545,525,510,535,513,521.25,525,460,525.99,522.85,476.88,0.6,10.3
"Vegetable Ghee, Tin, (SN)",2.5 Kg,505,505,520,500,520,507.5,495,515,515,515,515,490,520,495,495,520,455,505.15,501.53,471.41,0.72,7.16
Vegetable Ghee (Loose),1 Kg,162.5,162.08,157.5,156.25,164,152,155.75,165.34,167.5,167.17,200,145,142.5,176.67,178.75,196.25,125,163.19,160.98,149.09,1.37,9.46
Bananas,Dozen,156.25,136.04,121.25,115,113.58,115,83.75,121.25,140,88.13,87.5,100,108.75,105,137.5,122.5,86.88,114.02,115.83,119.28,-1.56,-4.41
"Pulse Masoor, Washed",1 Kg,133.75,118.15,150,150,133.93,135,140,114.17,120,111.25,103.13,110,105,100.33,115,140,120,123.51,122.96,111.04,0.45,11.23
"Pulse Moong, Washed",1 Kg,175.63,168.82,158.75,165,160,166.25,176.25,165,167.5,165.77,157.5,165,148.75,155,167.5,177.5,145,163.84,154.73,112.7,5.89,45.38
"Pulse Mash, Washed",1 Kg,186.88,174.92,179.38,185,168.48,177.5,190,165,167.5,163.22,158.44,165,156.25,181.67,160,210,125,171.43,164.15,147.4,4.43,16.3
"Pulse Gram, Washed",1 Kg,143.13,133.9,115.63,112.5,120.71,120,115,119.17,130,130.48,121.88,125,119.38,130,120,160,140,126.87,126.95,113.36,-0.06,11.92
Potatoes,1 Kg,42.97,37.4,35,30,34.38,29.38,23.75,35,25,34.4,32.66,30,30,29.38,32.5,28.75,32.5,31.95,26.82,30.65,19.13,4.24
Onions,1 Kg,64.38,56.98,54.38,55,54.56,53.13,46.25,50.83,47.5,50.29,50.47,47.5,46.88,50.63,55,53.75,58.75,52.72,55.81,32.83,-5.54,60.58
Tomatoes,1 Kg,56.1,46.46,45,45,42.68,46.25,36.88,45.63,51.25,61.73,52.35,51.25,55.63,36.46,42.5,50,45,47.66,47.77,42.55,-0.23,12.01
"Sugar, Refined",1 Kg,75.6,72.37,71.44,70,71.77,71,69.5,68.21,69.75,70.03,68.88,67.75,68.88,72.44,70,76.5,70,70.83,67.99,53.69,4.18,31.92
"Gur, Average Quality",1 Kg,118.75,102.5,110,110,111.07,108.75,90,99.17,92.5,107.89,113.6,97.5,95.63,100.42,88.44,100,96.88,102.54,97.52,79.34,5.15,29.24
"Salt Powder, Loose, Lahori",1 Kg,12,12,15,15,20.54,10,10,10,12,12.62,15,10,10,15,12,10,10,12.42,12.42,11.59,0,7.16
