Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Feb 17,Average Prices Jan 17,Average Average Feb 16 ,%change Feb 17 over Jan 17,%change Feb 17 over Feb 16 
Wheat,10 Kg,365,365,362.5,372.5,356.25,340,330.31,335,340,367.5,343.5,337.5,320,360,350,350,350,349.71,346.72,357.52,0.86,-2.18
"Wheat Flour, Bag",10 Kg,389.69,384.17,380,385,380,355,355,380,380,446.54,417.5,380,370,384.17,400,400,390,386.89,386.22,397.57,0.17,-2.69
"Rice Basmati Broken, (AQ)",1 Kg,84.38,77.45,50,55,67.5,62.5,55,72.09,55,69.62,75,65,60,71.67,52.88,60,55,64.01,62.89,60.52,1.78,5.77
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,57,50,50,40,47.5,44.43,45,52.5,36,47.5,60,50,50,49.42,48.82,46.37,1.23,6.58
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,40.82,0,0.73
"Beef With Bone, (AQ)",1 Kg,345.63,343.75,295,300,344.29,350,310,320,300,384.71,310,325,310,313.33,300,400,320,327.75,326.11,317.97,0.5,3.08
"Mutton, Average Quality",1 Kg,770.63,760.21,637.5,650,805.36,700,700,675,600,742.31,618.75,600,600,650,518.75,660,575,662.56,659.3,633.84,0.49,4.53
"Chicken Farm, Broiler, Live",1 Kg,139.46,123.23,123.75,129.75,119.68,129.75,125.75,135,127.5,139.15,134.84,142.5,140,135.25,137.5,141.25,172.5,135.11,124.64,125.66,8.4,7.52
"Milk, Fresh, Unboiled",1 Ltr,98.44,94.59,80,70,77.21,80,65,78.33,67.5,82.77,80,80,80,85,80,90,80,80.52,80.37,78.33,0.19,2.8
Curd (Dahi),1 Kg,110.63,104.8,90,80,83.04,95,80,90.83,80,120,106,95,95,97.5,87.5,100,90,94.43,94.1,92.42,0.35,2.17
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,389.74,389.74,389.74,358.98,358.97,358.97,371.8,369.23,358.97,346.66,365,389.74,389.74,389.74,376.25,376.7,378.82,-0.12,-0.68
"Eggs Hen, Farm",Dozen,113.42,103.75,101,108.75,101.62,108.75,105,103.13,106.5,112.59,108,114.5,116.25,115.88,122.5,121.25,136.25,111.71,129.05,97.36,-13.44,14.74
"Mustard Oil, Average Quality",1 Kg,240,220,150,160,183.93,200,175,177.5,170,168.85,144.22,137.5,190,220,200,190,168.75,182.1,181.49,179.81,0.34,1.27
"Cooking Oil, Tin, (SN)",2.5 Ltr,465,465,467,467,465,465,470,465,465,468,469,468,460,463.75,475,445,440,463.69,462.59,456.12,0.24,1.66
"Vegetable Ghee, Tin, (SN)",2.5 Kg,460,460,456,452,460,460,465,460,460,453,452,453,450,455,470,440,445,455.94,454.82,446,0.25,2.23
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,146.67,147.75,150,143.89,143.75,142,149.5,150,145.38,150,145,126.88,160,161.25,130,125,145.2,145.07,136.46,0.09,6.4
Bananas,Dozen,145.32,116.88,70,80,101.43,57.5,50,82.29,60,66.44,46.49,67.5,58.13,78.34,60,57.5,62.5,74.14,70.26,68.14,5.52,8.81
"Pulse Masoor, Washed",1 Kg,155.16,147.92,140,160,149.11,141.25,153.75,122.5,125,124.09,120,110,106.25,106.29,131.88,130,160,134.31,140.21,147.02,-4.21,-8.65
"Pulse Moong, Washed",1 Kg,152.35,130.83,120,160,144.38,125,120,115,125,122.55,128.13,125,142.5,107.71,120,140,180,132.85,136.27,160.56,-2.51,-17.26
"Pulse Mash, Washed",1 Kg,208.13,189.58,207.5,215,231.43,210,236.25,173.33,207.5,158.56,165.47,157.5,187.5,172.46,195,198.13,240,197.26,207.87,257.11,-5.1,-23.28
"Pulse Gram, Washed",1 Kg,157.97,145,122.5,126.25,145.27,135,135,123.75,145,138.9,129.85,127.5,137.5,140.29,128.75,162.5,160,138.88,163.11,121.82,-14.86,14
