Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Oct 16,Average Prices  Sep 16,Average Prices Oct 15 ,%change October 2016 over Sep 16,%change October 2016 over Oct 15 
Wheat,10 Kg,345.63,345.63,347.5,347.5,343.75,335,321.25,323.75,325,360,333.75,337.5,320,340,336.5,350,350,338.99,333.56,339.79,1.63,-0.24
"Wheat Flour, Bag",10 Kg,389.69,383.23,377.5,385,380,355,350,373.75,380,437.55,420,371.25,368.13,374.79,381.88,400,390,383.4,377.03,390.61,1.69,-1.85
"Rice Basmati Broken, (AQ)",1 Kg,79.38,74.17,50,55,62.68,60,55,67.5,55,69.62,72.97,65,60,68.33,50,60,50,62.04,62.35,66.06,-0.5,-6.09
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,48.13,47.5,53.07,50,50,43,47.5,43.96,41.25,52.5,36,47.67,53.5,50,42.5,48.19,48.55,47.61,-0.74,1.22
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,40.82,0,0.73
"Beef With Bone, (AQ)",1 Kg,338.75,337.5,290,300,344.29,350,300,320,300,375,310,310,310,307.5,300,400,320,324.3,324.3,315.25,0,2.87
"Mutton, Average Quality",1 Kg,752.5,741.25,625,650,805.36,700,687.5,675,600,676.15,618.75,590,600,650,510,660,568.75,653.54,652.32,621.63,0.19,5.13
"Chicken Farm, Broiler, Live",1 Kg,162.07,150.71,148,151.5,140.61,148,152.5,159.38,147.5,153.17,147.74,156.25,145,166,161.25,168.75,192.5,155.94,126.87,122.93,22.91,26.85
"Milk, Fresh, Unboiled",1 Ltr,97.5,92.92,80,70,77.21,80,65,78.33,67.5,82.77,80,80,80,85,80,90,80,80.37,80.37,77.83,0,3.26
Curd (Dahi),1 Kg,108.13,101.67,90,80,83.04,95,80,90.83,80,120,106,95,95,96.67,87.5,100,90,94.05,94.05,91.69,0,2.57
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,389.74,389.74,389.74,389.74,389.74,389.74,389.74,389.74,380,389.74,380,389.74,389.74,389.74,388.59,386.58,368.53,0.52,5.44
"Eggs Hen, Farm",Dozen,101.72,94.88,96,99.38,93.79,98.75,96,97.5,97.5,92.51,92.75,101,86.25,102.29,105.63,113.75,105,98.51,98.62,91.81,-0.11,7.3
"Mustard Oil, Average Quality",1 Kg,240,220,145,160,183.93,200,175,177.5,170,168.85,142.5,132.5,190,220,197.5,190,160,180.75,179.93,179.92,0.46,0.46
"Cooking Oil, Tin, (SN)",2.5 Ltr,445,445,467,467,445,445,440,465,445,468,469,468,455,445,475,445,440,454.65,454.65,457.61,0,-0.65
"Vegetable Ghee, Tin, (SN)",2.5 Kg,440,440,452,452,440,440,445,440,440,453,452,453,440,440,470,430,445,445.41,445.41,450,0,-1.02
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,146.88,145,145,140.75,139.75,140,142,145,145.38,150,145,130,156.46,160,125,120,142.79,141.94,138.89,0.6,2.81
Bananas,Dozen,127.66,83.96,58.75,60,67.68,45,48.75,62.5,55,57.41,43.13,55,51.25,75.84,59.06,67.5,60,63.44,68.9,65.3,-7.92,-2.85
"Pulse Masoor, Washed",1 Kg,167.5,159.58,150,160,167.32,145,150,134.17,140,149.23,137.5,145,128.13,140.75,140,162.5,150,148.63,150.31,144.87,-1.12,2.6
