,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz-dar,Average Prices Jan 17,Average Prices  Dec 16,Average Prices Jan 16 ,%change Jan 2017 over Dec 16,%change Jan 2017 over Dec 16 
Wheat,10 Kg,365,365,352.5,355,346.25,340,323.44,335,340,365,341.5,337.5,320,360,348.13,350,350,346.72,345.37,354.78,0.39,-2.27
"Wheat Flour, Bag",10 Kg,389.69,384.17,380,383.75,380,355,355,380,380,444.62,415,380,370,384.17,394.38,400,390,386.22,385.39,398.91,0.22,-3.18
"Rice Basmati Broken, (AQ)",1 Kg,80.16,74.48,50,55,62.68,60,55,69.38,55,69.62,74.38,65,60,70.84,52.63,60,55,62.89,62.11,60.78,1.26,3.47
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,53.07,50,50,40,47.5,43.96,43.75,52.5,36,47.08,58.38,50,47.5,48.82,47.84,46.22,2.05,5.63
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,40.82,0,0.73
"Beef With Bone, (AQ)",1 Kg,338.75,337.5,290,300,344.29,350,310,320,300,375,310,325,310,313.33,300,400,320,326.11,324.9,317.86,0.37,2.6
"Mutton, Average Quality",1 Kg,755.94,747.29,625,650,805.36,700,696.88,675,600,735.1,618.75,600,600,650,513.75,660,575,659.3,654.44,632.82,0.74,4.18
"Chicken Farm, Broiler, Live",1 Kg,127.13,104.79,108.75,114,105.11,114.63,115,122.08,112,133.41,122.5,137.5,121.88,122,131.88,136.25,190,124.64,133.29,145.19,-6.49,-14.15
"Milk, Fresh, Unboiled",1 Ltr,97.5,92.92,80,70,77.21,80,65,78.33,67.5,82.77,80,80,80,85,80,90,80,80.37,80.37,78.26,0,2.7
Curd (Dahi),1 Kg,108.13,101.67,90,80,83.04,95,80,90.83,80,120,106,95,95,97.5,87.5,100,90,94.1,94.08,92.37,0.02,1.87
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,389.74,389.74,389.74,358.98,358.97,358.97,379.49,369.23,358.97,346.66,365,389.74,389.74,389.74,376.7,380.09,378.53,-0.89,-0.48
"Eggs Hen, Farm",Dozen,129.92,126,121.25,127.5,124.79,128.13,128.5,126.25,127.5,129.62,130,142.5,123.13,131.25,128.13,125.63,143.75,129.05,127.33,103.44,1.35,24.76
"Mustard Oil, Average Quality",1 Kg,240,220,148.75,160,183.93,200,175,177.5,170,168.85,140,137.5,190,220,200,190,163.75,181.49,181.16,180.07,0.18,0.79
"Cooking Oil, Tin, (SN)",2.5 Ltr,465,465,467,467,465,465,470,465,465,468,469,468,460,445,475,445,440,462.59,460.53,456.71,0.45,1.29
"Vegetable Ghee, Tin, (SN)",2.5 Kg,460,460,452,452,460,460,465,460,460,453,452,453,450,440,470,440,445,454.82,452.12,446.88,0.6,1.78
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,146.67,146,150,145.14,143.25,141.75,150,149,145.38,150,145,127.5,160.31,160,130,125,145.07,143.97,136.5,0.76,6.28
Bananas,Dozen,135,99.17,65,70,98.49,55,48.75,79.38,58.75,62.69,46.25,65,58.13,76.25,59.06,60,57.5,70.26,66.54,64.86,5.59,8.33
"Pulse Masoor, Washed",1 Kg,166.88,160.83,142.5,160,156.61,145,150,124.17,132.5,127.36,122.03,116.25,124.38,126.88,129.38,140,158.75,140.21,145.23,147.72,-3.46,-5.08
"Pulse Moong, Washed",1 Kg,156.88,130.83,120,160,152.95,125,120,115,131.25,126.54,128.13,141.25,155.63,115.63,120,137.5,180,136.27,141.23,162.3,-3.51,-16.04
"Pulse Mash, Washed",1 Kg,221.25,198.33,212.5,232.5,238.93,210,240,185.84,230,170.82,174.38,185,200,188.02,200,206.25,240,207.87,223.36,256.46,-6.93,-18.95
"Pulse Gram, Washed",1 Kg,178.28,169.06,148.75,161.25,165.63,150,159.38,147.5,172.5,162.4,165.16,160,158.5,174.44,152.5,187.5,160,163.11,170.4,124.52,-4.28,30.99
Potatoes,1 Kg,41.41,32.92,20,23.75,25.18,23.13,20,20.84,22.5,24.42,21.1,20,20,28.34,21.25,27.5,33,25.02,34.48,21.47,-27.44,16.53
Onions,1 Kg,42.97,36.36,31.88,31.25,30.18,29.38,23.13,23.33,25,25.34,21.33,20,27.5,31.88,26.88,27.5,24.75,28.16,27.49,43.12,2.44,-34.69
Tomatoes,1 Kg,48.75,38.85,36.25,35,40.58,38.13,32.5,31.67,32.5,26.44,20.39,20,20,33.75,22.5,23.75,35,31.53,51.42,39.8,-38.68,-20.78
"Sugar, Refined",1 Kg,69.1,66.55,64.5,64.75,64.04,63.88,63.75,63.25,64.75,64.46,62.75,62.75,63.75,65.42,64.88,64,69,64.8,63.68,59.8,1.76,8.36
"Gur, Average Quality",1 Kg,109.38,98.33,80,85,99.86,80,75,70,67.5,90.34,83.13,73.75,78.13,94.17,95,95,87.5,86.01,86.46,86.37,-0.52,-0.42
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,10,10,10,10,12,12,12,10,10,10,12,10,10,10.71,10.59,10.47,1.13,2.29
"Red Chilly Powder, Loose",1 Kg,307.5,261.67,260,280,272.14,280,295,237.5,225,311.25,283.75,253.75,261.25,236.67,270,310,300,273.26,274.03,273.34,-0.28,-0.03
Garlic,1 Kg,340.63,315,293.75,300,310.36,302.5,297.5,290,320,292.21,308.75,295,268.75,310.84,288.75,297.5,295,301.56,302.34,234.48,-0.26,28.61
"Tea, Lipton Yellow Label, Packet",200 gm,178.95,178.95,178.94,178.95,179,178.95,178.95,178.95,178.95,178.95,179.19,178.94,178.94,178.95,178.94,178.94,157.89,177.73,175.78,189.47,1.11,-6.2
"Cooked Beef, Average Hotel",Plate,107.5,104.17,62.5,62.5,102.86,75,100,80,70,83.85,75.94,100,100,120,100,90,140,92.61,92.61,87.89,0,5.37
"Cooked Daal, Average Hotel",Plate,78.75,75.83,40,40,67.32,47.5,45,40,50,61.15,51.88,50,65,60,50,65,80,56.91,56.91,53.57,0,6.23
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,17.5,20,21.25,20,20,15,21.73,20,25,27.5,15,20,21,20,20.53,20.28,19.57,1.23,4.91
"Cigarettes, K-2, 20's",Packet,70,70,75,65,65,70,65,62,57,70,65,65,62,70,64,70,65,66.47,65.54,59.46,1.42,11.79
"Long Cloth, 57"", (SN)",1 mtr,205,195,137.5,135,257.14,237.5,235,250,180,170,240,230,200,300,157.5,170,195,205.57,205.57,202.77,0,1.38
