Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
Aftab Alam ,3,3,1,14,14,7.0,12,116.66,0,0,1,3,0,AFG
MM Ali ,5,5,1,75,31,18.75,67,111.94,0,0,0,3,5,ENG
FA Allen ,3,3,1,51,51,25.5,33,154.54,0,1,1,7,1,WI
SW Ambris ,2,2,0,36,31,18.0,46,78.26,0,0,0,3,0,WI
HM Amla ,7,7,2,203,80,40.6,313,64.85,0,2,0,16,0,SA
JC Archer ,11,7,3,13,7,3.25,22,59.09,0,0,1,1,0,ENG
Asghar Afghan ,6,6,0,154,44,25.66,177,87.0,0,0,1,11,5,AFG
Asif Ali ,2,2,0,19,14,9.5,19,100.0,0,0,0,0,1,PAK
Babar Azam ,8,8,1,474,101,67.71,540,87.77,1,3,0,50,2,PAK
JM Bairstow ,11,11,0,532,111,48.36,573,92.84,2,2,2,67,11,ENG
JP Behrendorff ,5,3,1,12,11,6.0,11,109.09,0,0,1,0,0,AUS
TA Boult ,10,4,3,10,4,10.0,19,52.63,0,0,0,1,0,NZ
CR Brathwaite ,8,6,1,154,101,30.8,145,106.2,1,0,0,13,8,WI
DM Bravo ,3,2,0,19,19,9.5,19,100.0,0,0,1,0,2,WI
JJ Bumrah ,9,3,3,1,1,9.5,1,100.0,0,0,0,0,0,INDIA
JC Buttler ,11,9,0,312,103,34.66,254,122.83,1,2,0,22,8,ENG
AT Carey ,10,9,3,375,85,62.5,360,104.16,0,3,0,46,2,AUS
YS Chahal ,8,1,0,5,5,5.0,5,100.0,0,0,0,1,0,INDIA
SS Cottrell ,9,5,1,33,15,8.25,47,70.21,0,0,1,3,1,WI
NM Coulter-Nile ,5,3,0,98,92,32.66,72,136.11,0,1,0,8,4,AUS
PJ Cummins ,10,8,1,51,23,7.28,68,75.0,0,0,1,3,0,AUS
Dawlat Zadran ,5,5,1,11,6,2.75,34,32.35,0,0,1,2,0,AFG
C de Grandhomme ,10,8,0,190,64,23.75,189,100.52,0,2,1,16,4,NZ
Q de Kock ,9,9,1,305,68,38.12,351,86.89,0,3,0,34,4,SA
DM de Silva ,7,7,3,108,29,27.0,174,62.06,0,0,1,8,0,SL
S Dhawan ,2,2,0,125,117,62.5,121,103.3,1,0,0,17,0,INDIA
MS Dhoni ,9,8,2,273,56,45.5,311,87.78,0,2,0,20,5,INDIA
JP Duminy ,5,4,0,70,45,17.5,72,97.22,0,0,0,6,0,SA
F du Plessis ,9,8,2,387,100,64.5,432,89.58,1,3,0,36,4,SA
Fakhar Zaman ,8,8,0,186,62,23.25,227,81.93,0,1,2,24,3,PAK
LH Ferguson ,9,2,1,4,4,4.0,6,66.66,0,0,1,1,0,NZ
N Pradeep ,3,3,1,1,1,0.5,12,8.33,0,0,2,0,0,SL
WIA Fernando ,4,4,0,203,104,50.75,192,105.72,1,0,0,23,4,SL
AJ Finch ,10,10,0,507,153,50.7,497,102.01,2,3,1,47,18,AUS
ST Gabriel ,3,2,1,3,3,3.0,10,30.0,0,0,1,0,0,WI
CH Gayle ,9,8,0,242,87,30.25,274,88.32,0,2,1,26,12,WI
Gulbadin Naib ,9,9,0,194,47,21.55,243,79.83,0,0,0,20,2,AFG
MJ Guptill ,10,10,1,186,73,20.66,221,84.16,0,1,2,22,4,NZ
Hamid Hassan ,5,5,2,15,7,5.0,24,62.5,0,0,1,1,1,AFG
PSP Handscomb ,1,1,0,4,4,4.0,12,33.33,0,0,0,0,0,AUS
Haris Sohail ,5,5,0,198,89,39.6,209,94.73,0,2,0,18,5,PAK
Hasan Ali ,4,3,1,43,32,21.5,24,179.16,0,0,0,3,4,PAK
Hashmatullah Shahidi ,8,8,0,197,76,24.62,349,56.44,0,2,1,20,2,AFG
Hazratullah Zazai ,5,5,0,96,34,19.2,102,94.11,0,0,1,12,2,AFG
BE Hendricks ,2,5,0,96,34,19.2,102,94.11,0,0,1,12,2,SA
MJ Henry ,9,5,1,18,7,4.5,25,72.0,0,0,0,2,0,NZ
SO Hetmyer ,9,8,1,257,54,36.71,253,101.58,0,2,0,25,6,WI
JO Holder ,9,7,0,170,51,24.28,156,108.97,0,1,1,16,8,WI
SD Hope ,9,8,0,274,96,34.25,389,70.43,0,3,0,21,3,WI
Ikram Alikhil ,7,7,2,142,86,28.4,246,57.72,0,1,0,10,0,AFG
Imad Wasim ,6,5,2,162,49,54.0,137,118.24,0,0,0,20,1,PAK
Imam-ul-Haq ,8,8,0,305,100,38.12,400,76.25,1,1,0,31,1,PAK
Imran Tahir ,9,4,2,11,10,5.5,16,68.75,0,0,2,0,0,SA
RA Jadeja ,2,1,0,77,77,77.0,59,130.5,0,1,0,4,4,INDIA
KM Jadhav ,6,5,3,80,52,40.0,99,80.8,0,1,0,6,1,INDIA
KD Karthik ,3,2,0,14,8,7.0,34,41.17,0,0,0,2,0,INDIA
FDM Karunaratne ,7,7,1,222,97,37.0,311,71.38,0,2,1,22,0,SL
UT Khawaja ,9,9,0,316,89,35.11,358,88.26,0,2,0,30,1,AUS
V Kohli ,9,9,1,443,82,55.37,471,94.05,0,5,0,38,2,INDIA
Kuldeep Yadav ,7,2,2,1,1,55.37,2,50.0,0,0,0,0,0,INDIA
B Kumar ,6,2,0,2,2,1.0,4,50.0,0,0,1,0,0,INDIA
RAS Lakmal ,3,3,2,27,15,27.0,33,81.81,0,0,0,3,0,SL
TWM Latham ,10,9,1,155,57,19.37,216,71.75,0,1,1,8,1,NZ
E Lewis ,5,5,0,131,70,26.2,161,81.36,0,2,1,12,4,WI
Liton Das ,5,5,1,184,94,46.0,167,110.17,0,1,0,16,5,BDESH
NM Lyon ,4,3,2,8,5,8.0,10,80.0,0,0,0,0,0,AUS
Mahmudullah ,7,6,1,219,69,43.8,244,89.75,0,1,0,14,5,BDESH
SL Malinga ,7,5,0,11,4,2.2,28,39.28,0,0,0,2,0,SL
AK Markram ,8,6,0,140,45,23.33,186,75.26,0,0,0,17,1,SA
SE Marsh ,2,2,0,26,23,13.0,35,74.28,0,0,0,2,0,AUS
Mashrafe Mortaza ,8,5,1,34,15,8.5,35,97.14,0,0,0,1,3,BDESH
AD Mathews ,7,7,1,244,113,40.66,314,77.7,1,1,2,20,4,SL
GJ Maxwell ,10,10,2,177,46,22.12,118,150.0,0,0,1,19,7,AUS
Mehidy Hasan Miraz ,7,5,2,37,12,12.33,33,112.12,0,0,0,4,0,BDESH
BKG Mendis ,7,7,0,143,46,20.42,213,67.13,0,0,1,8,2,SL
BMAJ Mendis ,3,3,0,19,18,6.33,51,37.25,0,0,1,1,1,SL
DA Miller ,6,4,0,136,38,34.0,157,86.62,0,0,0,8,1,SA
Mohammad Amir ,8,3,1,11,8,5.5,14,78.57,0,0,1,1,0,PAK
Mohammad Hafeez ,8,8,0,253,84,31.62,285,88.77,0,1,0,22,5,PAK
Mohammad Mithun ,3,3,0,47,26,15.66,56,83.92,0,0,1,5,1,BDESH
Mohammad Nabi ,9,9,0,107,52,11.88,167,64.07,0,1,1,5,2,AFG
Mohammad Saifuddin ,7,5,2,87,51,29.0,72,120.83,0,1,1,12,1,BDESH
Mohammad Shahzad ,2,2,0,7,7,3.5,15,46.66,0,0,1,1,0,AFG
Mohammed Shami ,4,3,0,2,1,0.66,6,33.33,0,0,1,0,0,INDIA
EJG Morgan ,11,10,1,371,148,41.22,334,111.07,1,1,0,26,22,ENG
CH Morris ,8,4,1,74,42,24.66,61,121.31,0,0,0,4,3,SA
Mosaddek Hossain ,7,6,0,117,35,19.5,110,106.36,0,0,0,13,0,BDESH
Mujeeb Ur Rahman ,7,6,3,28,13,9.33,29,96.55,0,0,2,3,1,AFG
C Munro ,6,6,1,125,58,25.0,128,97.65,0,1,1,17,2,NZ
Mushfiqur Rahim ,8,8,1,367,102,52.42,396,92.67,1,2,0,30,2,BDESH
Mustafizur Rahman ,8,4,1,1,1,0.33,7,14.28,0,0,2,0,0,BDESH
Najibullah Zadran ,8,8,0,230,51,28.75,259,88.8,0,1,0,25,4,AFG
JDS Neesham ,10,8,1,232,97,33.14,294,78.91,0,1,0,16,5,NZ
L Ngidi ,4,2,1,7,6,7.0,11,63.63,0,0,0,0,1,SA
HM Nicholls ,4,4,0,91,55,22.75,149,61.07,0,1,1,8,0,NZ
Noor Ali Zadran ,3,3,0,63,32,21.0,103,61.16,0,0,1,9,0,AFG
AR Nurse ,4,2,1,20,19,20.0,26,76.92,0,0,0,4,0,WI
HH Pandya ,9,9,2,226,48,32.28,201,112.43,0,0,1,21,4,INDIA
RR Pant ,4,4,0,116,48,29.0,130,89.23,0,0,0,15,1,INDIA
MDKJ Perera ,7,7,0,273,78,39.0,246,110.97,0,3,0,32,1,SL
NLTC Perera ,6,6,0,61,27,10.16,64,95.31,0,0,0,0,3,SL
AL Phehlukwayo ,9,7,3,133,46,33.25,156,85.25,0,0,1,16,2,SA
LE Plunkett ,7,5,4,62,27,62.0,41,151.21,0,0,0,7,1,ENG
N Pooran ,9,8,1,367,118,52.42,366,100.27,1,2,0,33,10,WI
D Pretorius ,3,2,0,3,2,1.5,6,50.0,0,0,0,0,0,SA
K Rabada ,9,4,2,58,31,29.0,70,82.85,0,0,0,4,1,SA
Rahmat Shah ,9,9,0,254,62,28.22,390,65.12,0,1,1,31,1,AFG
KL Rahul ,9,9,1,361,111,45.12,466,77.46,1,2,1,31,5,INDIA
CAK Rajitha ,2,9,1,361,111,45.12,466,77.46,1,2,1,31,5,SL
AU Rashid ,11,5,1,45,25,11.25,38,118.42,0,0,1,4,1,ENG
Rashid Khan ,9,9,0,105,35,11.66,104,100.96,0,0,1,11,4,AFG
KW Richardson ,2,1,1,1,1,11.66,1,100.0,0,0,0,0,0,AUS
KAJ Roach ,4,2,1,28,14,28.0,52,53.84,0,0,0,3,1,WI
JE Root ,11,11,2,556,107,61.77,621,89.53,2,3,0,48,2,ENG
JJ Roy ,8,7,0,443,153,63.28,384,115.36,1,4,0,51,12,ENG
Rubel Hossain ,2,1,0,9,9,9.0,11,81.81,0,0,0,1,0,BDESH
AD Russell ,4,3,0,36,21,12.0,29,124.13,0,0,1,3,3,WI
Sabbir Rahman ,2,2,0,36,36,18.0,37,97.29,0,0,1,5,0,BDESH
Samiullah Shinwari ,3,3,2,74,49,74.0,92,80.43,0,0,0,4,1,AFG
MJ Santner ,10,8,5,72,17,24.0,99,72.72,0,0,0,4,2,NZ
Sarfaraz Ahmed ,8,8,3,143,55,28.6,164,87.19,0,1,0,9,0,PAK
Sayed Shirzad ,1,1,0,25,25,25.0,17,147.05,0,0,0,2,2,AFG
Shadab Khan ,7,6,3,43,20,14.33,39,110.25,0,0,1,4,0,PAK
