Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,Country
Aftab Alam ,3,3,20.1,2,115,4,3/45,28.75,5.7,30.2,0,0,0,0,AFG
MM Ali ,5,5,43.0,0,230,5,3/50,46.0,5.34,51.6,0,0,3,0,ENG
FA Allen ,3,3,21.0,0,122,1,1/44,122.0,5.8,126.0,0,0,5,0,WI
SW Ambris ,2,3,21.0,0,122,1,-,122.0,5.8,126.0,0,0,0,0,WI
HM Amla ,7,3,21.0,0,122,1,-,122.0,5.8,126.0,0,0,4,0,SA
JC Archer ,11,11,100.5,8,461,20,3/27,23.05,4.57,30.2,0,0,2,0,ENG
Asghar Afghan ,6,11,100.5,8,461,20,-,23.05,4.57,30.2,0,0,0,0,AFG
Asif Ali ,2,11,100.5,8,461,20,-,23.05,4.57,30.2,0,0,1,0,PAK
Babar Azam ,8,11,100.5,8,461,20,-,23.05,4.57,30.2,0,0,5,0,PAK
JM Bairstow ,11,11,100.5,8,461,20,-,23.05,4.57,30.2,0,0,9,0,ENG
JP Behrendorff ,5,5,44.1,2,227,9,5/44,25.22,5.13,29.4,0,1,1,0,AUS
TA Boult ,10,10,99.0,4,479,17,4/30,28.17,4.83,34.9,2,0,7,0,NZ
CR Brathwaite ,8,7,44.0,0,323,9,4/63,35.88,7.34,29.3,1,0,1,0,WI
DM Bravo ,3,7,44.0,0,323,9,-,35.88,7.34,29.3,1,0,0,0,WI
JJ Bumrah ,9,9,84.0,9,371,18,4/55,20.61,4.41,28.0,1,0,1,0,INDIA
JC Buttler ,11,9,84.0,9,371,18,-,20.61,4.41,28.0,1,0,12,2,ENG
AT Carey ,10,9,84.0,9,371,18,-,20.61,4.41,28.0,1,0,18,2,AUS
YS Chahal ,8,8,74.0,0,442,12,4/51,36.83,5.97,37.0,1,0,4,0,INDIA
SS Cottrell ,9,9,67.0,2,392,12,4/56,32.66,5.85,33.5,1,0,8,0,WI
NM Coulter-Nile ,5,5,47.0,2,280,4,2/58,70.0,5.95,70.5,0,0,0,0,AUS
PJ Cummins ,10,10,86.1,6,427,14,3/33,30.5,4.95,36.9,0,0,4,0,AUS
Dawlat Zadran ,5,5,39.0,1,288,8,3/85,36.0,7.38,29.2,0,0,1,0,AFG
C de Grandhomme ,10,10,51.0,4,212,6,1/14,35.33,4.15,51.0,0,0,3,0,NZ
Q de Kock ,9,10,51.0,4,212,6,-,35.33,4.15,51.0,0,0,9,0,SA
DM de Silva ,7,6,37.0,0,197,5,3/32,39.4,5.32,44.4,0,0,0,0,SL
S Dhawan ,2,6,37.0,0,197,5,-,39.4,5.32,44.4,0,0,0,0,INDIA
MS Dhoni ,9,6,37.0,0,197,5,-,39.4,5.32,44.4,0,0,7,3,INDIA
