AUS,BDESH,Belg,CAN,DEN,ENG,EPS,GUE,HKG,INDIA,IRE,KENYA,MAL,Mex,Moroc,NAM,NL,NZ,OMAN,PAK,PNG,QAT,SA,Samoa,SCOT,SIN,SL,UAE,UGA,USA,WI,ZIM
 Adelaide Oval," Bangabandhu National Stadium, Dhaka"," Royal Brussels Cricket Club Ground, Waterloo"," Maple Leaf North-West Ground, King City"," Svanholm Park, Brondby"," Bramall Lane, Sheffield", La Manga Club Bottom Ground," College Field, St Peter Port"," Mission Road Ground, Mong Kok, Hong Kong"," Barabati Stadium, Cuttack"," Bready Cricket Club, Magheramason, Bready"," Aga Khan Sports Club Ground, Nairobi"," Bayuemas Oval, Kuala Lumpur"," Reforma Athletic Club, Naucalpan"," National Cricket Stadium, Tangier"," Affies Park, Windhoek"," Hazelaarweg, Rotterdam"," AMI Stadium, Christchurch", Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)," Arbab Niaz Stadium, Peshawar"," Amini Park, Port Moresby"," West End Park International Cricket Stadium, Doha"," Boland Park, Paarl"," Faleata Oval No 1, Apia"," Cambusdoon New Ground, Ayr"," Kallang Ground, Singapore"," Asgiriya Stadium, Kandy", Dubai International Cricket Stadium," Kyambogo Cricket Oval, Kampala"," Central Broward Regional Park Stadium Turf Ground, Lauderhill"," Albion Sports Complex, Albion, Berbice, Guyana", Bulawayo Athletic Club
" Bellerive Oval, Hobart"," Khan Shaheb Osman Ali Stadium, Fatullah",," Toronto Cricket, Skating and Curling Club",," County Ground, Bristol",," King George V Sports Ground, Castel",," Barkatullah Khan Stadium, Pal Road, Jodhpur"," Castle Avenue, Dublin"," Gymkhana Club Ground, Nairobi"," Kinrara Academy Oval, Kuala Lumpur",,," Wanderers Cricket Ground, Windhoek"," Sportpark Het Schootsveld, Deventer"," Basin Reserve, Wellington", Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)," Ayub National Stadium, Quetta",,," Buffalo Park, East London"," Faleata Oval No 2, Apia"," Grange Cricket Club, Raeburn Place, Edinburgh"," Singapore Cricket Club, Padang", Colombo Cricket Club Ground," ICC Academy, Dubai"," Lugogo Cricket Oval, Kampala",," Antigua Recreation Ground, St John's, Antigua", Harare Sports Club
 Berri Oval," MA Aziz Stadium, Chittagong",,,," County Ground, Chelmsford",,,," Barsapara Cricket Stadium, Guwahati"," Civil Service Cricket Club, Stormont, Belfast"," Jaffery Sports Club Ground, Nairobi",,,,," Sportpark Maarschalkerweerd, Utrecht"," Bay Oval, Mount Maunganui",," Bagh-e-Jinnah, Lahore",,," City Oval, Pietermaritzburg"," Faleata Oval No 3, Apia"," Mannofield Park, Aberdeen",, Galle International Stadium, Sharjah Cricket Stadium,,," Arnos Vale Ground, Kingstown, St Vincent", Kwekwe Sports Club
" Brisbane Cricket Ground, Woolloongabba, Brisbane"," Shaheed Chandu Stadium, Bogra",,,," County Ground, Hove",,,," Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"," The Village, Malahide, Dublin", Mombasa Sports Club Ground,,,,," Sportpark Thurlede, Schiedam"," Bert Sutcliffe Oval, Lincoln",," Bahawal Stadium, Bahawalpur",,," Diamond Oval, Kimberley",," Titwood, Glasgow",," Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"," Sheikh Zayed Stadium Nursery 1, Abu Dhabi",,," Bourda, Georgetown, Guyana"," Old Hararians, Harare"
 Carrara Oval," Sheikh Abu Naser Stadium, Khulna",,,," County Ground, New Road, Worcester",,,," Brabourne Stadium, Mumbai",, Nairobi Club Ground,,,,," Sportpark Westvliet, The Hague"," Carisbrook, Dunedin",," Bugti Stadium, Quetta",,," Ellis Park, Johannesburg",,,," P Sara Oval, Colombo"," Sheikh Zayed Stadium, Abu Dhabi",,," Darren Sammy National Cricket Stadium, Gros Islet, St Lucia"," Queens Sports Club, Bulawayo"
" Cazaly's Stadium, Cairns"," Shere Bangla National Stadium, Mirpur, Dhaka",,,," County Ground, Northampton",,,," Captain Roop Singh Stadium, Gwalior",," Ruaraka Sports Club Ground, Nairobi",,,,," VRA Ground, Amstelveen"," Cobham Oval (New), Whangarei",," Gaddafi Stadium, Lahore",,," Kingsmead, Durban",,,, Pallekele International Cricket Stadium,,,," Kensington Oval, Bridgetown, Barbados",
 Devonport Oval, Sylhet International Cricket Stadium,,,," County Ground, Southampton",,,," Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",," Simba Union Ground, Nairobi",,,,,," Eden Park, Auckland",," Ibn-e-Qasim Bagh Stadium, Multan",,," Lord's, Durban",,,," R.Premadasa Stadium, Khettarama, Colombo",,,," Mindoo Phillip Park, Castries, St Lucia",
" Docklands Stadium, Melbourne"," Zahur Ahmed Chowdhury Stadium, Chattogram",,,," Edgbaston, Birmingham",,,," Eden Gardens, Kolkata",,,,,,,," Hagley Oval, Christchurch",," Iqbal Stadium, Faisalabad",,," Mangaung Oval, Bloemfontein",,,, Rangiri Dambulla International Stadium,,,," National Cricket Stadium, St George's, Grenada",
" Eastern Oval, Ballarat",,,,," Grace Road, Leicester",,,," Feroz Shah Kotla, Delhi",,,,,,,," McLean Park, Napier",," Jinnah Stadium, Gujranwala",,," Moses Mabhida Stadium, Durban",,,," Sinhalese Sports Club Ground, Colombo",,,," Providence Stadium, Guyana",
" Exhibition Ground, Brisbane",,,,," Headingley, Leeds",,,," Gandhi Sports Complex Ground, Amritsar",,,,,,,," Owen Delany Park, Taupo",," Jinnah Stadium, Sialkot",,," Newlands, Cape Town",,,," Tyronne Fernando Stadium, Moratuwa",,,," Queen's Park (Old), St George's, Grenada",
" Harrup Park, Mackay",,,,," Kennington Oval, London",,,," Gandhi Stadium, Jalandhar",,,,,,,," Pukekura Park, New Plymouth",, Multan Cricket Stadium,,," Old Wanderers, Johannesburg",,,,,,,," Queen's Park Oval, Port of Spain, Trinidad",
" Lavington Sports Oval, Albury",,,,," Lord's, London",,,," Greater Noida Sports Complex Ground, Greater Noida",,,,,,,, Queenstown Events Centre,," National Stadium, Karachi",,," Senwes Park, Potchefstroom",,,,,,,," Sabina Park, Kingston, Jamaica",
