,Name,Country,Type_B&F,Mat_B&F,Inns_B&F,NO_B&F,Runs_B&F,HS_B&F,Ave_B&F,BF_B&F,SR_B&F,100_B&F,50_B&F,4s_B&F,6s_B&F,Ct_B&F,St_B&F,Mat_Bowl,Inns_Bowl,Balls_Bowl,Runs_Bowl,Wkts_Bowl,BBI_Bowl,BBM_Bowl,Ave_Bowl,Econ_Bowl,SR_Bowl,4w_Bowl,5w_Bowl,10_Bowl
0,Noor Ali Zadran RSS Feed,afghanistan,ODIs,51,50,1,1216,114,24.81,1923,63.23,1,7,132,4,15,0,51,-,-,-,-,-,-,-,-,-,-,-,-
0,Zahir Khan RSS Feed,afghanistan,ODIs,1,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,60,55,2,2/55,2/55,27.5,5.5,30.0,0,0,0
1,Ikram Alikhil RSS Feed,afghanistan,ODIs,9,9,3,148,86,24.66,259,57.14,0,1,10,0,2,3,9,-,-,-,-,-,-,-,-,-,-,-,-
1,Mohammad Nabi RSS Feed,afghanistan,ODIs,121,109,11,2699,116,27.54,3134,86.11,1,14,166,87,55,0,121,117,5739,4103,128,4/30,4/30,32.05,4.28,44.8,3,0,0
1,Javed Ahmadi RSS Feed,afghanistan,ODIs,42,39,0,971,81,24.89,1274,76.21,0,7,115,13,10,0,42,15,365,294,8,4/37,4/37,36.75,4.83,45.6,1,0,0
0,Najibullah Zadran RSS Feed,afghanistan,ODIs,64,59,9,1500,104*,30.0,1664,90.14,1,10,123,56,36,0,64,2,30,30,0,-,-,-,6.00,-,0,0,0
1,Asghar Afghan RSS Feed,afghanistan,ODIs,108,102,9,2232,101,24.0,3386,65.91,1,11,154,55,24,0,108,7,139,91,3,1/1,1/1,30.33,3.92,46.3,0,0,0
0,Hamid Hassan RSS Feed,afghanistan,ODIs,38,22,6,107,17,6.68,195,54.87,0,0,10,3,5,0,38,37,1734,1330,59,5/45,5/45,22.54,4.6,29.3,2,1,0
0,Aftab Alam RSS Feed,afghanistan,ODIs,27,17,10,80,16*,11.42,107,74.76,0,0,9,3,6,0,27,27,1257,1033,41,4/25,4/25,25.19,4.93,30.6,1,0,0
0,Samiullah Shinwari RSS Feed,afghanistan,ODIs,84,74,12,1811,96,29.2,2765,65.49,0,11,137,26,21,0,84,65,2111,1729,46,4/31,4/31,37.58,4.91,45.8,1,0,0
0,Gulbadin Naib RSS Feed,afghanistan,ODIs,64,55,8,1024,82*,21.78,1408,72.72,0,5,81,25,12,0,64,59,2164,1940,59,6/43,6/43,32.88,5.37,36.6,2,1,0
