Player,Span_bat,Mat_bat,Inns_bat,NO_bat,Runs_bat,HS_bat,Ave_bat,BF_bat,SR_bat,100_bat,50_bat,0_bat,Span_bowl,Mat_bowl,Inns_bowl,Balls_bowl,Runs_bowl,Wkts_bowl,BBI_bowl,Ave_bowl,Econ_bowl,SR_bowl,4_bowl,5_bowl,Country,Category
v kohli,2008-2019,236,228,38,11286,183,59.40,12135,93.0,41,54,12,2008-2019,236,48,641,665,4,1/15,166.25,6.22,160.2,0,0,IND,BAT
ms dhoni,2004-2019,347,294,83,10599,183*,50.23,12164,87.13,9,73,10,2004-2019,347,2,36,31,1,1/14,31.00,5.16,36.0,0,0,IND,WCK
ch gayle,1999-2019,295,288,17,10338,215,38.14,11864,87.13,25,52,24,1999-2019,295,197,7377,5868,167,5/46,35.13,4.77,44.1,3,1,WES,ALR
rg sharma,2007-2019,215,209,32,8658,264,48.91,9766,88.65,27,42,13,2007-2019,215,38,593,515,8,2/27,64.37,5.21,74.1,0,0,IND,BAT
lrpl taylor,2006-2019,228,212,37,8376,181*,47.86,10091,83.0,20,50,9,2006-2019,228,4,42,35,0,-,-,5.00,-,0,0,NZL,BAT
hm amla,2008-2019,181,178,14,8113,159,49.46,9178,88.39,27,39,4,2008-2019,181,-,-,-,-,-,-,-,-,-,-,SA,BAT
shoaib malik,1999-2019,287,258,40,7534,143,34.55,9199,81.9,9,44,15,1999-2019,287,217,7958,6192,158,4/19,39.18,4.66,50.3,1,0,PAK,BAT
tamim iqbal,2007-2019,201,199,8,6871,154,35.97,8823,77.87,11,47,17,2007-2019,201,2,6,13,0,-,-,13.00,-,0,0,BNG,BAT
mj guptill,2009-2019,179,176,19,6626,237*,42.20,7586,87.34,16,35,15,2009-2019,179,11,109,98,4,2/6,24.50,5.39,27.2,0,0,NZL,BAT
mohammad hafeez,2003-2019,218,216,15,6614,140*,32.90,8633,76.61,11,38,19,2003-2019,218,177,7733,5400,139,4/41,38.84,4.18,55.6,1,0,PAK,ALR
ejg morgan,2009-2019,210,194,30,6604,148,40.26,7015,94.14,12,41,12,2009-2019,210,-,-,-,-,-,-,-,-,-,-,ENG,BAT
shakib al hasan,2006-2019,206,194,27,6323,134*,37.86,7641,82.75,9,47,10,2006-2019,206,203,10517,7857,260,5/29,30.21,4.48,40.4,8,2,BNG,ALR
ks williamson,2010-2019,149,142,14,6132,148,47.90,7494,81.82,13,39,5,2010-2019,149,65,1467,1310,37,4/22,35.40,5.35,39.6,1,0,NZL,BAT
mushfiqur rahim,2006-2019,213,199,33,5925,144,35.69,7507,78.92,7,35,10,2006-2019,213,-,-,-,-,-,-,-,-,-,-,BNG,WCK
je root,2013-2019,143,135,21,5856,133*,51.36,6702,87.37,16,33,4,2013-2019,143,64,1414,1364,22,3/52,62.00,5.78,64.2,0,0,ENG,BAT
ad mathews,2008-2019,211,181,47,5625,139*,41.97,6775,83.02,3,38,15,2008-2019,211,155,5083,3907,115,6/20,33.97,4.61,44.2,1,1,SRI,ALR
f du plessis,2011-2019,143,136,20,5507,185,47.47,6215,88.6,12,35,3,2011-2019,143,11,192,189,2,1/8,94.50,5.90,96.0,0,0,SA,BAT
s dhawan,2010-2019,130,129,7,5480,143,44.91,5830,93.99,17,27,5,2010-2019,130,-,-,-,-,-,-,-,-,-,-,IND,BAT
jp duminy,2004-2019,199,179,40,5117,150*,36.81,6052,84.55,4,27,7,2004-2019,199,135,3513,3143,69,4/16,45.55,5.36,50.9,1,0,SA,ALR
da warner,2009-2019,116,114,5,4990,179,45.77,5222,95.55,17,20,2,2009-2019,116,1,6,8,0,-,-,8.00,-,0,0,AUS,BAT
q de kock,2013-2019,115,115,6,4907,178,45.01,5154,95.2,14,24,3,2013-2019,115,-,-,-,-,-,-,-,-,-,-,SA,WCK
aj finch,2013-2019,119,115,2,4559,153*,40.34,5093,89.51,15,24,11,2013-2019,119,19,266,239,4,1/2,59.75,5.39,66.5,0,0,AUS,BAT
mahmudullah,2007-2019,182,157,42,3976,128*,34.57,5182,76.72,3,21,8,2007-2019,182,132,4066,3501,76,3/4,46.06,5.16,53.5,0,0,BNG,ALR
jc buttler,2012-2019,142,117,23,3843,150,40.88,3207,119.83,9,20,12,2012-2019,142,-,-,-,-,-,-,-,-,-,-,ENG,WCK
spd smith,2010-2019,118,104,12,3810,164,41.41,4414,86.31,8,23,5,2010-2019,118,39,1070,963,28,3/16,34.39,5.40,38.2,0,0,AUS,BAT
jj roy,2015-2019,84,81,2,3381,180,42.79,3148,107.4,9,18,7,2015-2019,84,-,-,-,-,-,-,-,-,-,-,ENG,BAT
babar azam,2015-2019,72,70,10,3213,125*,53.55,3726,86.23,10,15,2,2015-2019,72,-,-,-,-,-,-,-,-,-,-,PAK,BAT
hdrl thirimanne,2010-2019,123,103,14,3133,139*,35.20,4333,72.3,4,21,6,2010-2019,123,4,104,94,3,2/36,31.33,5.42,34.6,0,0,SRI,BAT
da miller,2010-2019,126,110,31,3058,139,38.70,3054,100.13,5,12,8,2010-2019,126,-,-,-,-,-,-,-,-,-,-,SA,BAT
gj maxwell,2012-2019,110,100,11,2877,102,32.32,2332,123.37,1,19,9,2012-2019,110,86,2698,2525,50,4/46,50.50,5.61,53.9,2,0,AUS,ALR
jm bairstow,2011-2019,74,68,8,2861,141*,47.68,2749,104.07,9,11,5,2011-2019,74,-,-,-,-,-,-,-,-,-,-,ENG,WCK
dm bravo,2009-2019,110,105,13,2839,124,30.85,4045,70.18,3,18,8,2009-2019,110,-,-,-,-,-,-,-,-,-,-,WES,BAT
se marsh,2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3,2008-2019,73,-,-,-,-,-,-,-,-,-,-,AUS,BAT
mohammad shahzad,2009-2019,84,84,3,2727,131*,33.66,3082,88.48,6,14,4,2009-2019,84,-,-,-,-,-,-,-,-,-,-,AFG,WCK
mohammad nabi,2009-2019,121,109,11,2699,116,27.54,3134,86.11,1,14,6,2009-2019,121,117,5739,4103,128,4/30,32.05,4.28,44.8,3,0,AFG,ALR
ba stokes,2011-2019,95,81,15,2682,102*,40.63,2855,93.94,3,20,5,2011-2019,95,80,2912,2920,70,5/61,41.71,6.01,41.6,1,1,ENG,ALR
mdkj perera,2013-2019,95,90,5,2556,135,30.07,2761,92.57,4,14,8,2013-2019,95,-,-,-,-,-,-,-,-,-,-,SRI,WCK
twm latham,2012-2019,95,88,9,2550,137,32.27,3096,82.36,4,15,7,2012-2019,95,-,-,-,-,-,-,-,-,-,-,NZL,WCK
sd hope,2016-2019,63,58,6,2521,170,48.48,3332,75.66,6,13,4,2016-2019,63,-,-,-,-,-,-,-,-,-,-,WES,WCK
sarfaraz ahmed,2007-2019,114,88,22,2271,105,34.40,2577,88.12,2,11,1,2007-2019,114,1,12,15,0,-,-,7.50,-,0,0,PAK,WCK
rahmat shah,2013-2019,70,66,2,2255,114,35.23,3215,70.13,4,15,3,2013-2019,70,26,524,504,14,5/32,36.00,5.77,37.4,0,1,AFG,ALR
asghar afghan,2009-2019,108,102,9,2232,101,24.00,3386,65.91,1,11,7,2009-2019,108,7,139,91,3,1/1,30.33,3.92,46.3,0,0,AFG,BAT
nltc perera,2009-2019,160,127,16,2208,140,19.89,1976,111.74,1,10,11,2009-2019,160,151,5675,5520,171,6/44,32.28,5.83,33.1,5,4,SRI,ALR
ra jadeja,2009-2019,153,102,33,2112,87,30.60,2475,85.33,0,11,6,2009-2019,153,149,7789,6319,176,5/36,35.90,4.86,44.2,7,1,IND,ALR
