,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,1,14,14,14.00,0,2,2/55,27.50,0,0,0,-13.49
2,in England,2019-2019,3,14,14,7.00,0,4,3/45,28.75,0,0,0,-21.74
3,in India,2019-2019,1,0,0,0.00,0,4,4/25,6.25,0,0,0,-6.24
4,in Ireland,2018-2019,5,32,16*,-,0,9,3/28,15.88,0,2,0,-
5,in Netherlands,2010-2010,1,-,-,-,-,1,1/52,52.00,0,0,0,-
6,in Scotland,2019-2019,1,-,-,-,-,2,2/66,33.00,0,0,0,-
7,in U.A.E.,2010-2018,10,18,7*,18.00,0,12,3/48,32.50,0,3,0,-14.49
8,in Zimbabwe,2014-2015,5,2,1,1.00,0,7,2/30,26.71,0,1,0,-25.71
10,in Africa,2014-2015,5,2,1,1.00,0,7,2/30,26.71,0,1,0,-25.71
11,in Asia,2010-2019,11,18,7*,9.00,0,16,4/25,25.93,0,3,0,-16.93
12,in Europe,2010-2019,10,46,16*,23.00,0,16,3/28,23.50,0,2,0,-0.49
13,in Oceania,2015-2015,1,14,14,14.00,0,2,2/55,27.50,0,0,0,-13.49
15,away,2010-2019,12,34,16*,17.00,0,19,3/28,23.57,0,3,0,-6.57
16,neutral,2010-2019,15,46,14,9.20,0,22,4/25,26.59,0,3,0,-17.39
18,year 2010,,3,6,6*,-,0,2,1/49,68.00,0,0,0,-
19,year 2014,,2,1,1,1.00,0,4,2/30,18.50,0,1,0,-17.49
20,year 2015,,7,18,14,6.00,0,10,3/48,25.80,0,0,0,-19.79
21,year 2018,,8,36,16*,-,0,11,3/54,27.63,0,5,0,-
22,year 2019,,7,19,14,6.33,0,14,4/25,18.64,0,0,0,-12.30
24,season 2009/10,,2,6,6*,-,0,1,1/49,84.00,0,0,0,-
25,season 2010,,1,-,-,-,-,1,1/52,52.00,0,0,0,-
26,season 2014,,2,1,1,1.00,0,4,2/30,18.50,0,1,0,-17.49
27,season 2014/15,,4,17,14,8.50,0,7,3/48,20.71,0,0,0,-12.21
28,season 2015/16,,3,1,1,1.00,0,3,2/48,37.66,0,0,0,-36.66
29,season 2018,,8,36,16*,-,0,11,3/54,27.63,0,5,0,-
