,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,2,5,4,2.50,0,-,-,-,-,0,0,-
2,in Bangladesh,2014-2016,7,230,90*,38.33,0,-,-,-,-,1,0,-
3,in Canada,2011-2011,2,20,15,10.00,0,0,-,-,0,0,0,-
4,in England,2019-2019,6,154,44,25.66,0,-,-,-,-,0,0,-
5,in India,2017-2019,10,427,101,53.37,1,-,-,-,-,3,0,-
6,in Ireland,2012-2019,10,172,39,19.11,0,1,1/1,1.00,0,6,0,18.11
7,in Kenya,2010-2010,3,57,55*,28.50,0,0,-,-,0,4,0,-
8,in Netherlands,2009-2010,8,241,64,34.42,0,1,1/22,22.00,0,2,0,12.42
9,in New Zealand,2015-2015,3,67,54,22.33,0,0,-,-,0,0,0,-
10,in Scotland,2010-2019,5,47,22*,15.66,0,1,1/33,33.00,0,0,0,-17.33
11,in South Africa,2009-2009,1,9,9,9.00,0,-,-,-,-,0,0,-
12,in U.A.E.,2010-2018,34,501,67,16.70,0,0,-,-,0,7,0,-
13,in West Indies,2017-2017,3,13,11,6.50,0,-,-,-,-,0,0,-
14,in Zimbabwe,2014-2018,14,289,50,24.08,0,-,-,-,-,1,0,-
16,in Africa,2009-2018,18,355,55*,23.66,0,0,-,-,0,5,0,-
17,in Americas,2011-2017,5,33,15,8.25,0,0,-,-,0,0,0,-
18,in Asia,2010-2019,51,1158,101,26.31,1,0,-,-,0,11,0,-
19,in Europe,2009-2019,29,614,64,24.56,0,3,1/1,18.66,0,8,0,5.89
20,in Oceania,2015-2015,5,72,54,14.40,0,0,-,-,0,0,0,-
22,away,2009-2019,49,1012,90*,24.09,0,3,1/1,28.33,0,11,0,-4.23
23,neutral,2009-2019,59,1220,101,23.92,1,0,-,-,0,13,0,-
25,year 2009,,3,62,30,20.66,0,-,-,-,-,0,0,-
26,year 2010,,13,284,64,28.40,0,2,1/22,36.00,0,6,0,-7.59
27,year 2011,,2,20,15,10.00,0,0,-,-,0,0,0,-
28,year 2012,,4,98,66,32.66,0,-,-,-,-,3,0,-
29,year 2013,,4,47,28,15.66,0,-,-,-,-,1,0,-
30,year 2014,,9,267,90*,33.37,0,-,-,-,-,1,0,-
31,year 2015,,15,250,54,16.66,0,0,-,-,0,1,0,-
32,year 2016,,12,174,57,14.50,0,-,-,-,-,1,0,-
33,year 2017,,16,357,101,23.80,1,-,-,-,-,1,0,-
34,year 2018,,16,228,67,20.72,0,1,1/1,1.00,0,4,0,19.72
35,year 2019,,14,445,82*,40.45,0,-,-,-,-,6,0,-
37,season 2009,,3,62,30,20.66,0,-,-,-,-,0,0,-
38,season 2009/10,,2,39,33,19.50,0,0,-,-,0,0,0,-
39,season 2010,,8,188,64,31.33,0,2,1/22,27.50,0,2,0,3.83
40,season 2010/11,,3,57,55*,28.50,0,0,-,-,0,4,0,-
41,season 2011,,2,20,15,10.00,0,0,-,-,0,0,0,-
42,season 2011/12,,2,32,25,32.00,0,-,-,-,-,1,0,-
43,season 2012,,2,66,66,33.00,0,-,-,-,-,2,0,-
44,season 2012/13,,2,35,28,17.50,0,-,-,-,-,1,0,-
45,season 2013/14,,6,174,90*,43.50,0,-,-,-,-,1,0,-
46,season 2014,,1,8,8,8.00,0,-,-,-,-,0,0,-
47,season 2014/15,,12,223,54,18.58,0,0,-,-,0,1,0,-
48,season 2015/16,,10,140,39,14.00,0,-,-,-,-,1,0,-
49,season 2016,,6,90,33,15.00,0,-,-,-,-,0,0,-
50,season 2016/17,,13,393,101,30.23,1,-,-,-,-,0,0,-
51,season 2017,,3,13,11,6.50,0,-,-,-,-,0,0,-
52,season 2017/18,,11,68,39*,9.71,0,-,-,-,-,3,0,-
53,season 2018,,8,179,67,25.57,0,1,1/1,1.00,0,2,0,24.57
54,season 2018/19,,5,226,82*,75.33,0,-,-,-,-,3,0,-
55,season 2019,,9,219,44,27.37,0,-,-,-,-,3,0,-
57,*Asghar Afghan,2015-2019,56,1109,101,23.10,1,1,1/1,1.00,0,9,0,22.10
58,*Gulbadin Naib,2019-2019,9,219,44,27.37,0,-,-,-,-,3,0,-
59,*Karim Sadiq,2012-2012,1,0,0,0.00,0,-,-,-,-,2,0,-
60,*Mohammad Nabi,2013-2015,21,440,90*,23.15,0,0,-,-,0,3,0,-
61,*Nawroz Mangal,2009-2012,21,464,66,27.29,0,2,1/22,42.00,0,7,0,-14.70
63,is captain,2015-2019,56,1109,101,23.10,1,1,1/1,1.00,0,9,0,22.10
64,is not captain,2009-2019,52,1123,90*,24.95,0,2,1/22,45.00,0,15,0,-20.04
66,is not keeper,2009-2019,108,2232,101,24.00,1,3,1/1,30.33,0,24,0,-6.33
68,won the toss,2009-2019,53,1074,101,21.48,1,1,1/22,34.00,0,10,0,-12.51
69,lost the toss,2009-2019,55,1158,90*,26.93,0,2,1/1,28.50,0,14,0,-1.56
71,won toss & batted,2009-2019,36,738,101,20.50,1,-,-,-,-,4,0,-
72,won toss & fielded,2009-2019,16,336,57,24.00,0,1,1/22,34.00,0,6,0,-9.99
73,lost toss & sent in,2010-2019,18,484,90*,30.25,0,0,-,-,0,3,0,-
74,lost toss & fielded,2009-2019,37,674,66,24.96,0,2,1/1,25.50,0,11,0,-0.53
76,matches batting first,2009-2019,54,1222,101,23.50,1,0,-,-,0,7,0,-
77,matches fielding first,2009-2019,53,1010,66,24.63,0,3,1/1,28.33,0,17,0,-3.69
79,1st match innings,2009-2019,107,1222,101,23.50,1,3,1/1,28.33,0,17,0,-4.83
80,2nd match innings,2009-2019,105,1010,66,24.63,0,0,-,-,0,7,0,-
82,day match,2009-2019,71,1546,101,24.93,1,3,1/1,30.33,0,16,0,-5.39
83,day/night match,2010-2019,37,686,90*,22.12,0,0,-,-,0,8,0,-
85,won match,2009-2019,53,1061,101,26.52,1,3,1/1,22.66,0,12,0,3.85
86,lost match,2009-2019,51,1143,82*,22.86,0,0,-,-,0,12,0,-
87,tied match,2018-2018,1,0,0,0.00,0,-,-,-,-,0,0,-
88,no result,2016-2019,3,28,20,14.00,0,-,-,-,-,-,-,-
90,won batting first,2009-2019,25,551,101,22.95,1,0,-,-,0,3,0,-
91,won fielding first,2009-2019,28,510,64,31.87,0,3,1/1,22.66,0,9,0,9.20
92,lost batting first,2010-2019,26,643,82*,25.72,0,0,-,-,0,4,0,-
93,lost fielding first,2009-2019,25,500,66,20.00,0,0,-,-,0,8,0,-
94,tied batting first,2018-2018,1,0,0,0.00,0,-,-,-,-,0,0,-
95,no result batting first,2016-2019,2,28,20,14.00,0,-,-,-,-,-,-,-
97,2 team series,2009-2019,66,1336,101,23.43,1,2,1/1,25.50,0,14,0,-2.06
98,3-4 team tournaments,2015-2015,3,54,44,18.00,0,-,-,-,-,1,0,-
99,5+ team tournaments,2009-2019,39,842,90*,25.51,0,1,1/22,40.00,0,9,0,-14.48
101,only match in series,2012-2012,1,66,66,66.00,0,-,-,-,-,0,0,-
