,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,2,0,0,0.00,0,2,2/101,62.00,0,0,0,-61.99
2,in Bangladesh,2014-2016,6,8,4*,2.00,0,8,4/73,42.00,0,2,0,-39.99
3,in Canada,2011-2011,2,0,0*,0.00,0,4,3/49,18.50,0,1,0,-18.49
4,in England,2019-2019,5,11,6,2.75,0,8,3/85,36.00,0,1,0,-33.24
5,in India,2017-2019,7,61,41*,61.00,0,16,4/53,20.50,0,1,0,40.50
6,in Ireland,2012-2019,7,55,31*,18.33,0,12,3/35,21.08,0,2,0,-2.74
7,in Malaysia,2014-2014,2,-,-,-,-,4,3/36,19.25,0,1,0,-
8,in New Zealand,2015-2015,3,14,9,4.66,0,4,3/29,31.00,0,0,0,-26.33
9,in Scotland,2016-2019,3,-,-,-,-,2,2/34,49.00,0,0,0,-
10,in U.A.E.,2012-2018,23,160,47*,22.85,0,30,3/41,33.13,0,3,0,-10.27
11,in West Indies,2017-2017,3,9,9,9.00,0,2,2/25,36.00,0,0,0,-26.99
12,in Zimbabwe,2014-2018,19,195,40*,48.75,0,23,4/22,28.47,0,5,0,20.27
14,in Africa,2014-2018,19,195,40*,48.75,0,23,4/22,28.47,0,5,0,20.27
15,in Americas,2011-2017,5,9,9,4.50,0,6,3/49,24.33,0,1,0,-19.83
16,in Asia,2012-2019,38,229,47*,19.08,0,58,4/53,29.91,0,7,0,-10.83
17,in Europe,2012-2019,15,66,31*,9.42,0,22,3/35,29.04,0,3,0,-19.61
18,in Oceania,2015-2015,5,14,9,3.50,0,6,3/29,41.33,0,0,0,-37.83
20,away,2011-2019,38,249,31*,17.78,0,52,4/22,29.44,0,11,0,-11.65
21,neutral,2012-2019,44,264,47*,17.60,0,63,4/53,30.03,0,5,0,-12.43
23,year 2011,,2,0,0*,0.00,0,4,3/49,18.50,0,1,0,-18.49
24,year 2012,,4,36,12,9.00,0,4,2/32,37.25,0,1,0,-28.24
25,year 2013,,2,-,-,-,-,4,2/41,22.00,0,0,0,-
26,year 2014,,13,92,24*,23.00,0,17,3/36,36.76,0,5,0,-13.76
27,year 2015,,15,89,25,12.71,0,21,4/22,26.90,0,1,0,-14.19
