,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,3,7,7,3.50,0,4,2/61,37.00,0,0,0,-33.49
2,in Bangladesh,2014-2014,1,-,-,-,-,2,2/26,13.00,0,0,0,-
3,in Canada,2011-2011,2,1,1,1.00,0,2,1/27,33.50,0,0,0,-32.49
4,in England,2019-2019,5,15,7*,5.00,0,1,1/53,122.00,0,1,0,-116.99
5,in Ireland,2016-2016,1,6,6,6.00,0,2,2/21,10.50,0,0,0,-4.49
6,in Kenya,2010-2010,1,8,8,8.00,0,4,4/26,6.50,0,0,0,1.50
7,in Netherlands,2009-2010,8,32,17,10.66,0,13,3/32,25.84,0,1,0,-15.17
8,in New Zealand,2015-2015,3,31,16,15.50,0,4,3/45,28.25,0,1,0,-12.74
9,in Scotland,2010-2019,4,1,1,1.00,0,4,2/55,29.75,0,0,0,-28.74
10,in South Africa,2009-2009,1,0,0*,-,0,3,3/33,11.00,0,0,0,-
11,in U.A.E.,2013-2015,9,6,6,3.00,0,20,5/45,15.95,1,2,0,-12.94
13,in Africa,2009-2010,2,8,8,8.00,0,7,4/26,8.42,0,0,0,-0.42
14,in Americas,2011-2011,2,1,1,1.00,0,2,1/27,33.50,0,0,0,-32.49
15,in Asia,2013-2015,10,6,6,3.00,0,22,5/45,15.68,1,2,0,-12.68
16,in Europe,2009-2019,18,54,17,6.75,0,20,3/32,29.90,0,2,0,-23.14
17,in Oceania,2015-2015,6,38,16,9.50,0,8,3/45,32.62,0,1,0,-23.12
19,away,2009-2019,17,45,16,6.42,0,26,5/45,25.15,1,1,0,-18.72
20,neutral,2009-2019,21,62,17,6.88,0,33,4/19,20.48,0,4,0,-13.59
22,year 2009,,3,0,0*,-,0,6,3/33,23.16,0,0,0,-
23,year 2010,,9,41,17,8.20,0,16,4/26,20.00,0,1,0,-11.79
24,year 2011,,2,1,1,1.00,0,2,1/27,33.50,0,0,0,-32.49
25,year 2013,,4,-,-,-,-,9,4/19,12.33,0,0,0,-
26,year 2014,,3,6,6,6.00,0,8,5/45,16.87,1,1,0,-10.87
27,year 2015,,9,38,16,7.60,0,13,3/24,27.69,0,2,0,-20.09
28,year 2016,,2,6,6,6.00,0,2,2/21,10.50,0,0,0,-4.49
29,year 2019,,6,15,7*,5.00,0,3,2/55,59.00,0,1,0,-53.99
31,season 2009,,3,0,0*,-,0,6,3/33,23.16,0,0,0,-
32,season 2010,,8,33,17,8.25,0,12,3/32,24.50,0,1,0,-16.24
33,season 2010/11,,1,8,8,8.00,0,4,4/26,6.50,0,0,0,1.50
34,season 2011,,2,1,1,1.00,0,2,1/27,33.50,0,0,0,-32.49
35,season 2012/13,,2,-,-,-,-,3,2/46,27.00,0,0,0,-
36,season 2013/14,,3,-,-,-,-,8,4/19,7.00,0,0,0,-
37,season 2014/15,,11,44,16,7.33,0,19,5/45,24.68,1,3,0,-17.35
38,season 2016,,2,6,6,6.00,0,2,2/21,10.50,0,0,0,-4.49
39,season 2019,,6,15,7*,5.00,0,3,2/55,59.00,0,1,0,-53.99
41,*Asghar Afghan,2016-2016,2,6,6,6.00,0,2,2/21,10.50,0,0,0,-4.49
42,*Gulbadin Naib,2019-2019,6,15,7*,5.00,0,3,2/55,59.00,0,1,0,-53.99
43,*Mohammad Nabi,2013-2015,16,44,16,7.33,0,30,5/45,20.20,1,3,0,-12.86
44,*Nawroz Mangal,2009-2011,14,42,17,7.00,0,24,4/26,21.91,0,1,0,-14.91
46,is not captain,2009-2019,38,107,17,6.68,0,59,5/45,22.54,1,5,0,-15.85
48,is not keeper,2009-2019,38,107,17,6.68,0,59,5/45,22.54,1,5,0,-15.85
50,won the toss,2009-2019,18,69,16,7.66,0,24,5/45,25.33,1,1,0,-17.66
51,lost the toss,2009-2019,20,38,17,5.42,0,35,4/19,20.62,0,4,0,-15.19
53,won toss & batted,2009-2019,8,35,16,5.83,0,9,3/33,21.44,0,0,0,-15.61
54,won toss & fielded,2009-2019,10,34,15*,11.33,0,15,5/45,27.66,1,1,0,-16.33
55,lost toss & sent in,2014-2019,9,7,7*,2.33,0,11,3/24,21.81,0,3,0,-19.48
56,lost toss & fielded,2009-2019,11,31,17,7.75,0,24,4/19,20.08,0,1,0,-12.33
58,matches batting first,2009-2019,17,42,16,4.66,0,20,3/24,21.65,0,3,0,-16.98
59,matches fielding first,2009-2019,21,65,17,9.28,0,39,5/45,23.00,1,2,0,-13.71
61,1st match innings,2009-2019,38,42,16,4.66,0,39,5/45,23.00,1,2,0,-18.33
62,2nd match innings,2009-2019,37,65,17,9.28,0,20,3/24,21.65,0,3,0,-12.36
64,day match,2009-2019,30,92,17,7.66,0,52,5/45,20.71,1,4,0,-13.04
65,day/night match,2014-2019,8,15,7*,3.75,0,7,2/26,36.14,0,1,0,-32.39
67,won match,2009-2019,18,22,15*,11.00,0,31,4/19,21.45,0,2,0,-10.45
68,lost match,2009-2019,19,85,17,6.07,0,28,5/45,23.75,1,3,0,-17.67
69,no result,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-
71,won batting first,2009-2015,4,1,1,1.00,0,9,3/24,12.22,0,1,0,-11.22
72,won fielding first,2009-2019,14,21,15*,21.00,0,22,4/19,25.22,0,1,0,-4.22
73,lost batting first,2010-2019,12,41,16,5.12,0,11,3/45,29.36,0,2,0,-24.23
74,lost fielding first,2009-2019,7,44,17,7.33,0,17,5/45,20.11,1,1,0,-12.78
75,no result batting first,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-
77,2 team series,2009-2019,10,21,8,5.25,0,19,5/45,20.05,1,1,0,-14.80
78,3-4 team tournaments,2015-2015,3,0,0,0.00,0,5,3/24,19.80,0,1,0,-19.79
79,5+ team tournaments,2009-2019,25,86,17,7.81,0,35,4/19,24.28,0,3,0,-16.46
81,1st match in series,2009-2016,4,8,8,8.00,0,6,4/26,17.83,0,0,0,-9.83
82,2nd match in series,2009-2019,4,1,1,1.00,0,6,2/55,34.66,0,1,0,-33.66
83,3rd match in series,2016-2016,1,6,6,6.00,0,2,2/21,10.50,0,0,0,-4.49
84,4th match in series,2014-2014,1,6,6,6.00,0,5,5/45,9.00,1,0,0,-2.99
86,World Cup,2015-2019,11,53,16,7.57,0,9,3/45,42.55,0,2,0,-34.98
87,Asia Cup,2014-2014,1,-,-,-,-,2,2/26,13.00,0,0,0,-
88,WCL Championship,2011-2013,6,1,1,1.00,0,11,4/19,16.18,0,0,0,-15.18
89,World Cup Qualifier,2009-2009,1,0,0*,-,0,3,3/33,11.00,0,0,0,-
