,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2016-2016,3,86,72,28.66,0,-,-,-,-,1,0,-
2,in England,2019-2019,8,197,76,24.62,0,-,-,-,-,2,0,-
3,in India,2017-2019,5,127,52,25.40,0,-,-,-,-,0,0,-
4,in Ireland,2018-2019,5,149,54,37.25,0,-,-,-,-,1,0,-
5,in Malaysia,2014-2014,2,41,38*,41.00,0,0,-,-,0,0,0,-
6,in Scotland,2019-2019,1,59,59*,-,0,-,-,-,-,0,0,-
7,in U.A.E.,2013-2018,10,342,97*,42.75,0,-,-,-,-,4,0,-
8,in Zimbabwe,2014-2017,5,61,21,15.25,0,0,-,-,0,1,0,-
10,in Africa,2014-2017,5,61,21,15.25,0,0,-,-,0,1,0,-
11,in Asia,2013-2019,20,596,97*,35.05,0,0,-,-,0,5,0,-
12,in Europe,2018-2019,14,405,76,33.75,0,-,-,-,-,3,0,-
14,away,2014-2019,15,431,76,35.91,0,0,-,-,0,3,0,-
15,neutral,2013-2019,24,631,97*,30.04,0,0,-,-,0,6,0,-
17,year 2013,,2,13,13*,13.00,0,-,-,-,-,1,0,-
18,year 2014,,4,67,38*,22.33,0,0,-,-,0,1,0,-
19,year 2016,,6,152,72,25.33,0,-,-,-,-,3,0,-
20,year 2017,,5,90,32,22.50,0,0,-,-,0,0,0,-
21,year 2018,,8,353,97*,58.83,0,-,-,-,-,1,0,-
22,year 2019,,14,387,76,29.76,0,-,-,-,-,3,0,-
24,season 2013/14,,2,13,13*,13.00,0,-,-,-,-,1,0,-
25,season 2014,,4,67,38*,22.33,0,0,-,-,0,1,0,-
26,season 2015/16,,3,66,32,22.00,0,-,-,-,-,2,0,-
27,season 2016/17,,8,176,72,25.14,0,0,-,-,0,1,0,-
28,season 2018,,8,353,97*,58.83,0,-,-,-,-,1,0,-
29,season 2018/19,,3,72,52,24.00,0,-,-,-,-,0,0,-
30,season 2019,,11,315,76,31.50,0,-,-,-,-,3,0,-
32,*Asghar Afghan,2016-2019,22,667,97*,35.10,0,0,-,-,0,4,0,-
33,*Gulbadin Naib,2019-2019,11,315,76,31.50,0,-,-,-,-,3,0,-
34,*Mohammad Nabi,2013-2014,6,80,38*,20.00,0,0,-,-,0,2,0,-
36,is not captain,2013-2019,39,1062,97*,32.18,0,0,-,-,0,9,0,-
38,is not keeper,2013-2019,39,1062,97*,32.18,0,0,-,-,0,9,0,-
40,won the toss,2013-2019,20,457,97*,28.56,0,0,-,-,0,6,0,-
41,lost the toss,2013-2019,19,605,76,35.58,0,0,-,-,0,3,0,-
43,won toss & batted,2017-2019,14,365,97*,30.41,0,0,-,-,0,2,0,-
44,won toss & fielded,2013-2019,6,92,38*,23.00,0,-,-,-,-,4,0,-
45,lost toss & sent in,2014-2019,7,197,59,28.14,0,0,-,-,0,1,0,-
46,lost toss & fielded,2013-2019,12,408,76,40.80,0,-,-,-,-,2,0,-
48,matches batting first,2014-2019,21,562,97*,29.57,0,0,-,-,0,3,0,-
49,matches fielding first,2013-2019,18,500,76,35.71,0,-,-,-,-,6,0,-
51,1st match innings,2013-2019,39,562,97*,29.57,0,-,-,-,-,6,0,-
52,2nd match innings,2013-2019,38,500,76,35.71,0,0,-,-,0,3,0,-
54,day match,2013-2019,27,753,97*,35.85,0,0,-,-,0,6,0,-
55,day/night match,2016-2019,12,309,72,25.75,0,-,-,-,-,3,0,-
57,won match,2013-2019,16,453,59*,41.18,0,0,-,-,0,4,0,-
58,lost match,2014-2019,21,557,97*,27.85,0,-,-,-,-,5,0,-
59,tied match,2018-2018,1,0,0,0.00,0,-,-,-,-,0,0,-
60,no result,2019-2019,1,52,52,52.00,0,-,-,-,-,-,-,-
62,won batting first,2014-2019,8,254,58,36.28,0,0,-,-,0,1,0,-
63,won fielding first,2013-2019,8,199,59*,49.75,0,-,-,-,-,3,0,-
64,lost batting first,2014-2019,11,256,97*,25.60,0,-,-,-,-,2,0,-
65,lost fielding first,2016-2019,10,301,76,30.10,0,-,-,-,-,3,0,-
66,tied batting first,2018-2018,1,0,0,0.00,0,-,-,-,-,0,0,-
67,no result batting first,2019-2019,1,52,52,52.00,0,-,-,-,-,-,-,-
69,2 team series,2014-2019,22,548,72,28.84,0,0,-,-,0,5,0,-
70,5+ team tournaments,2013-2019,17,514,97*,36.71,0,0,-,-,0,4,0,-
72,1st match in series,2014-2019,7,215,72,30.71,0,0,-,-,0,2,0,-
73,2nd match in series,2014-2019,7,187,59*,37.40,0,-,-,-,-,1,0,-
74,3rd match in series,2016-2019,4,48,34*,16.00,0,-,-,-,-,0,0,-
75,4th match in series,2016-2017,3,66,31,22.00,0,-,-,-,-,1,0,-
76,5th match in series,2016-2016,1,32,32,32.00,0,-,-,-,-,1,0,-
78,World Cup,2019-2019,8,197,76,24.62,0,-,-,-,-,2,0,-
79,Asia Cup,2018-2018,5,263,97*,65.75,0,-,-,-,-,1,0,-
80,WCL Championship,2013-2013,2,13,13*,13.00,0,-,-,-,-,1,0,-
