,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,5,96,34,19.20,0,-,-,-,-,2,0,-
2,in India,4,140,67,35.00,0,-,-,-,-,1,0,-
3,in Ireland,3,29,14,9.66,0,-,-,-,-,0,0,-
4,in Scotland,1,14,14,14.00,0,-,-,-,-,0,0,-
6,in Asia,4,140,67,35.00,0,-,-,-,-,1,0,-
7,in Europe,9,139,34,15.44,0,-,-,-,-,2,0,-
9,away,4,43,14,10.75,0,-,-,-,-,0,0,-
10,neutral,9,236,67,26.22,0,-,-,-,-,3,0,-
12,year 2018,2,15,14,7.50,0,-,-,-,-,0,0,-
13,year 2019,11,264,67,24.00,0,-,-,-,-,3,0,-
15,season 2018,2,15,14,7.50,0,-,-,-,-,0,0,-
16,season 2018/19,4,140,67,35.00,0,-,-,-,-,1,0,-
17,season 2019,7,124,34,17.71,0,-,-,-,-,2,0,-
19,*Asghar Afghan,6,155,67,25.83,0,-,-,-,-,1,0,-
20,*Gulbadin Naib,7,124,34,17.71,0,-,-,-,-,2,0,-
22,is not captain,13,279,67,21.46,0,-,-,-,-,3,0,-
24,is not keeper,13,279,67,21.46,0,-,-,-,-,3,0,-
26,won the toss,6,146,67,24.33,0,-,-,-,-,2,0,-
27,lost the toss,7,133,34,19.00,0,-,-,-,-,1,0,-
29,won toss & batted,4,102,67,25.50,0,-,-,-,-,2,0,-
30,won toss & fielded,2,44,30,22.00,0,-,-,-,-,0,0,-
31,lost toss & sent in,4,84,34,21.00,0,-,-,-,-,0,0,-
32,lost toss & fielded,3,49,25,16.33,0,-,-,-,-,1,0,-
34,matches batting first,8,186,67,23.25,0,-,-,-,-,2,0,-
35,matches fielding first,5,93,30,18.60,0,-,-,-,-,1,0,-
37,1st match innings,13,186,67,23.25,0,-,-,-,-,1,0,-
38,2nd match innings,12,93,30,18.60,0,-,-,-,-,2,0,-
40,day match,6,83,30,13.83,0,-,-,-,-,1,0,-
41,day/night match,7,196,67,28.00,0,-,-,-,-,2,0,-
43,won match,4,67,25,16.75,0,-,-,-,-,0,0,-
44,lost match,8,145,34,18.12,0,-,-,-,-,3,0,-
45,no result,1,67,67,67.00,0,-,-,-,-,-,-,-
47,won batting first,2,28,14,14.00,0,-,-,-,-,0,0,-
48,won fielding first,2,39,25,19.50,0,-,-,-,-,0,0,-
49,lost batting first,5,91,34,18.20,0,-,-,-,-,2,0,-
50,lost fielding first,3,54,30,18.00,0,-,-,-,-,1,0,-
51,no result batting first,1,67,67,67.00,0,-,-,-,-,-,-,-
53,2 team series,8,183,67,22.87,0,-,-,-,-,1,0,-
54,5+ team tournaments,5,96,34,19.20,0,-,-,-,-,2,0,-
56,1st match in series,3,53,25,17.66,0,-,-,-,-,0,0,-
57,2nd match in series,3,82,67,27.33,0,-,-,-,-,0,0,-
58,3rd match in series,1,34,34,34.00,0,-,-,-,-,1,0,-
59,4th match in series,1,14,14,14.00,0,-,-,-,-,0,0,-
61,World Cup,5,96,34,19.20,0,-,-,-,-,2,0,-
