,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,7,142,86,28.40,0,-,-,-,-,2,2,-
2,in India,2,6,5*,6.00,0,-,-,-,-,0,1,-
4,in Asia,2,6,5*,6.00,0,-,-,-,-,0,1,-
5,in Europe,7,142,86,28.40,0,-,-,-,-,2,2,-
7,away,1,3,3*,-,0,-,-,-,-,0,0,-
8,neutral,8,145,86,24.16,0,-,-,-,-,2,3,-
10,year 2019,9,148,86,24.66,0,-,-,-,-,2,3,-
12,season 2018/19,2,6,5*,6.00,0,-,-,-,-,0,1,-
13,season 2019,7,142,86,28.40,0,-,-,-,-,2,2,-
15,*Asghar Afghan,2,6,5*,6.00,0,-,-,-,-,0,1,-
16,*Gulbadin Naib,7,142,86,28.40,0,-,-,-,-,2,2,-
18,is not captain,9,148,86,24.66,0,-,-,-,-,2,3,-
20,is designated keeper,9,148,86,24.66,0,-,-,-,-,2,3,-
22,won the toss,3,40,24,20.00,0,-,-,-,-,0,1,-
23,lost the toss,6,108,86,27.00,0,-,-,-,-,2,2,-
25,won toss & batted,2,29,24,29.00,0,-,-,-,-,0,1,-
26,won toss & fielded,1,11,11,11.00,0,-,-,-,-,0,0,-
27,lost toss & sent in,3,12,9,4.00,0,-,-,-,-,0,1,-
28,lost toss & fielded,3,96,86,96.00,0,-,-,-,-,2,1,-
30,matches batting first,5,41,24,10.25,0,-,-,-,-,0,2,-
31,matches fielding first,4,107,86,53.50,0,-,-,-,-,2,1,-
33,1st match innings,9,41,24,10.25,0,-,-,-,-,2,1,-
34,2nd match innings,8,107,86,53.50,0,-,-,-,-,0,2,-
36,day match,5,131,86,43.66,0,-,-,-,-,2,2,-
37,day/night match,4,17,9,5.66,0,-,-,-,-,0,1,-
39,won match,1,1,1,1.00,0,-,-,-,-,0,1,-
40,lost match,7,142,86,28.40,0,-,-,-,-,2,2,-
41,no result,1,5,5*,-,0,-,-,-,-,-,-,-
43,won batting first,1,1,1,1.00,0,-,-,-,-,0,1,-
44,lost batting first,3,35,24,11.66,0,-,-,-,-,0,1,-
45,lost fielding first,4,107,86,53.50,0,-,-,-,-,2,1,-
46,no result batting first,1,5,5*,-,0,-,-,-,-,-,-,-
48,2 team series,2,6,5*,6.00,0,-,-,-,-,0,1,-
49,5+ team tournaments,7,142,86,28.40,0,-,-,-,-,2,2,-
51,2nd match in series,1,5,5*,-,0,-,-,-,-,-,-,-
52,4th match in series,1,1,1,1.00,0,-,-,-,-,0,1,-
54,World Cup,7,142,86,28.40,0,-,-,-,-,2,2,-
