,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,3,62,44,20.66,0,1,1/58,156.00,0,2,0,-135.33
2,in Bangladesh,2014-2016,7,147,49,21.00,0,10,3/44,24.00,0,2,0,-2.99
3,in Canada,2011-2011,2,105,58,52.50,0,5,4/31,9.40,0,1,0,43.10
4,in England,2019-2019,9,107,52,11.88,0,10,4/30,33.50,0,5,0,-21.61
5,in India,2017-2019,10,232,64,33.14,0,9,4/30,45.44,0,4,0,-12.30
6,in Ireland,2012-2019,9,163,50,20.37,0,12,3/45,24.75,0,3,0,-4.37
7,in Kenya,2010-2010,3,83,60,41.50,0,1,1/14,79.00,0,1,0,-37.49
8,in Malaysia,2014-2014,2,91,77,91.00,0,3,2/35,18.00,0,0,0,73.00
9,in Netherlands,2009-2010,8,111,47,27.75,0,4,2/31,72.25,0,7,0,-44.49
10,in New Zealand,2015-2015,3,28,21,9.33,0,2,1/38,52.50,0,1,0,-43.16
11,in Scotland,2010-2016,4,16,14*,16.00,0,3,3/26,16.33,0,0,0,-0.33
12,in South Africa,2009-2009,1,58,58,58.00,0,0,-,-,0,0,0,-
13,in U.A.E.,2010-2018,36,706,64,24.34,0,44,3/15,28.31,0,17,0,-3.97
14,in West Indies,2017-2017,3,40,27*,40.00,0,1,1/33,67.00,0,3,0,-26.99
15,in Zimbabwe,2014-2018,21,750,116,37.50,1,23,3/14,29.95,0,9,0,7.54
17,in Africa,2009-2018,25,891,116,38.73,1,24,3/14,33.70,0,10,0,5.03
18,in Americas,2011-2017,5,145,58,48.33,0,6,4/31,19.00,0,4,0,29.33
19,in Asia,2010-2019,55,1176,77,26.72,0,66,4/30,29.53,0,23,0,-2.80
20,in Europe,2009-2019,30,397,52,18.04,0,29,4/30,33.44,0,15,0,-15.40
21,in Oceania,2015-2015,6,90,44,15.00,0,3,1/38,87.00,0,3,0,-71.99
23,away,2009-2019,51,1171,116,28.56,1,54,4/31,29.77,0,23,0,-1.21
