,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2014-2016,7,106,35,15.14,0,-,-,-,-,3,1,-
2,in Canada,2011-2011,2,9,8,4.50,0,-,-,-,-,4,1,-
3,in England,2019-2019,2,7,7,3.50,0,-,-,-,-,2,0,-
4,in India,2017-2019,8,185,63,23.12,0,-,-,-,-,4,4,-
5,in Ireland,2012-2019,9,291,101,32.33,1,-,-,-,-,9,3,-
6,in Kenya,2010-2010,2,38,37,19.00,0,-,-,-,-,3,0,-
7,in Netherlands,2009-2010,8,376,110,47.00,1,-,-,-,-,7,3,-
8,in Scotland,2010-2019,5,276,100*,69.00,1,-,-,-,-,5,2,-
9,in U.A.E.,2010-2018,25,939,131*,40.82,3,-,-,-,-,14,5,-
10,in Zimbabwe,2015-2018,16,500,84,31.25,0,-,-,-,-,13,6,-
12,in Africa,2010-2018,18,538,84,29.88,0,-,-,-,-,16,6,-
13,in Americas,2011-2011,2,9,8,4.50,0,-,-,-,-,4,1,-
14,in Asia,2010-2019,40,1230,131*,32.36,3,-,-,-,-,21,10,-
15,in Europe,2009-2019,24,950,110,41.30,3,-,-,-,-,23,8,-
17,away,2009-2019,37,1266,110,35.16,3,-,-,-,-,33,13,-
18,neutral,2010-2019,47,1461,131*,32.46,3,-,-,-,-,31,12,-
20,year 2009,,2,126,110,63.00,1,-,-,-,-,1,1,-
21,year 2010,,12,517,118,47.00,2,-,-,-,-,14,3,-
22,year 2011,,2,9,8,4.50,0,-,-,-,-,4,1,-
23,year 2012,,5,91,37,18.20,0,-,-,-,-,3,1,-
24,year 2013,,4,101,48,25.25,0,-,-,-,-,5,1,-
25,year 2014,,4,40,22,10.00,0,-,-,-,-,1,0,-
26,year 2015,,7,312,131*,52.00,1,-,-,-,-,3,4,-
27,year 2016,,12,453,84,37.75,0,-,-,-,-,7,5,-
28,year 2017,,10,252,64,25.20,0,-,-,-,-,7,5,-
29,year 2018,,18,607,124,35.70,1,-,-,-,-,14,3,-
30,year 2019,,8,219,101,27.37,1,-,-,-,-,5,1,-
32,season 2009,,2,126,110,63.00,1,-,-,-,-,1,1,-
33,season 2009/10,,2,118,118,59.00,1,-,-,-,-,1,0,-
34,season 2010,,8,361,100*,51.57,1,-,-,-,-,10,3,-
35,season 2010/11,,2,38,37,19.00,0,-,-,-,-,3,0,-
36,season 2011,,2,9,8,4.50,0,-,-,-,-,4,1,-
37,season 2011/12,,3,69,37,23.00,0,-,-,-,-,0,0,-
38,season 2012,,2,22,11,11.00,0,-,-,-,-,3,1,-
39,season 2012/13,,2,67,48,33.50,0,-,-,-,-,3,0,-
40,season 2013/14,,6,74,33,12.33,0,-,-,-,-,3,1,-
41,season 2015/16,,10,413,131*,45.88,1,-,-,-,-,5,5,-
42,season 2016,,6,286,84,47.66,0,-,-,-,-,3,3,-
43,season 2016/17,,13,318,64,24.46,0,-,-,-,-,9,6,-
44,season 2017/18,,11,338,84,33.80,0,-,-,-,-,9,1,-
45,season 2018,,7,269,124,38.42,1,-,-,-,-,5,2,-
46,season 2018/19,,3,54,43,18.00,0,-,-,-,-,0,1,-
47,season 2019,,5,165,101,33.00,1,-,-,-,-,5,0,-
49,*Asghar Afghan,2015-2019,47,1616,131*,35.91,2,-,-,-,-,30,17,-
50,*Gulbadin Naib,2019-2019,5,165,101,33.00,1,-,-,-,-,5,0,-
51,*Karim Sadiq,2012-2012,1,11,11,11.00,0,-,-,-,-,2,0,-
52,*Mohammad Nabi,2013-2014,8,141,48,17.62,0,-,-,-,-,6,1,-
53,*Nawroz Mangal,2009-2012,20,732,118,38.52,3,-,-,-,-,20,6,-
54,*Rashid Khan,2018-2018,3,62,30,20.66,0,-,-,-,-,1,1,-
56,is not captain,2009-2019,84,2727,131*,33.66,6,-,-,-,-,64,25,-
58,is designated keeper,2009-2019,83,2670,131*,33.37,6,-,-,-,-,63,25,-
59,is not keeper,2010-2010,1,57,57,57.00,0,-,-,-,-,1,0,-
61,won the toss,2009-2019,41,1053,124,25.68,1,-,-,-,-,21,14,-
62,lost the toss,2009-2019,43,1674,131*,41.85,5,-,-,-,-,43,11,-
64,won toss & batted,2010-2019,29,824,124,28.41,1,-,-,-,-,11,12,-
65,won toss & fielded,2009-2019,12,229,55,19.08,0,-,-,-,-,10,2,-
66,lost toss & sent in,2010-2019,10,397,118,39.70,2,-,-,-,-,6,3,-
67,lost toss & fielded,2009-2019,33,1277,131*,42.56,3,-,-,-,-,37,8,-
69,matches batting first,2010-2019,39,1221,124,31.30,3,-,-,-,-,17,15,-
70,matches fielding first,2009-2019,45,1506,131*,35.85,3,-,-,-,-,47,10,-
72,1st match innings,2009-2019,84,1221,124,31.30,3,-,-,-,-,47,10,-
73,2nd match innings,2009-2019,83,1506,131*,35.85,3,-,-,-,-,17,15,-
75,day match,2009-2019,59,2046,124,35.27,4,-,-,-,-,55,20,-
76,day/night match,2010-2019,25,681,131*,29.60,2,-,-,-,-,9,5,-
78,won match,2009-2019,46,1970,131*,45.81,5,-,-,-,-,41,14,-
79,lost match,2009-2019,36,607,81,16.86,0,-,-,-,-,22,11,-
80,tied match,2018-2018,1,124,124,124.00,1,-,-,-,-,1,0,-
81,no result,2016-2016,1,26,26,26.00,0,-,-,-,-,-,-,-
83,won batting first,2010-2019,19,756,118,39.78,2,-,-,-,-,10,8,-
84,won fielding first,2009-2019,27,1214,131*,50.58,3,-,-,-,-,31,6,-
85,lost batting first,2010-2019,18,315,81,17.50,0,-,-,-,-,6,7,-
86,lost fielding first,2009-2019,18,292,53,16.22,0,-,-,-,-,16,4,-
87,tied batting first,2018-2018,1,124,124,124.00,1,-,-,-,-,1,0,-
88,no result batting first,2016-2016,1,26,26,26.00,0,-,-,-,-,-,-,-
90,2 team series,2009-2019,52,1789,131*,36.51,5,-,-,-,-,34,19,-
91,5+ team tournaments,2010-2019,32,938,124,29.31,1,-,-,-,-,30,6,-
93,only match in series,2012-2012,2,31,20,15.50,0,-,-,-,-,1,1,-
94,1st match in series,2009-2019,13,452,118,37.66,2,-,-,-,-,9,3,-
95,2nd match in series,2009-2019,15,789,131*,56.35,3,-,-,-,-,9,5,-
96,3rd match in series,2015-2019,9,186,81,20.66,0,-,-,-,-,8,3,-
97,4th match in series,2015-2018,6,232,80,46.40,0,-,-,-,-,3,4,-
98,5th match in series,2015-2019,7,99,26,14.14,0,-,-,-,-,4,3,-
100,World Cup,2019-2019,2,7,7,3.50,0,-,-,-,-,2,0,-
101,Asia Cup,2014-2018,9,308,124,34.22,1,-,-,-,-,4,1,-
102,WCL Championship,2011-2013,9,170,48,18.88,0,-,-,-,-,11,2,-
103,World Cup Qualifier,2018-2018,6,203,84,33.83,0,-,-,-,-,7,1,-
105,tournament finals,2018-2018,1,84,84,84.00,0,-,-,-,-,2,0,-
106,preliminary matches,2010-2019,31,854,124,27.54,1,-,-,-,-,28,6,-
