,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2019-2019,7,28,13,9.33,0,7,3/39,37.00,0,2,0,-27.66
2,in India,2019-2019,5,1,1*,-,0,7,3/14,17.14,0,1,0,-
3,in Ireland,2018-2019,5,16,12*,16.00,0,2,1/32,77.00,0,1,0,-60.99
4,in U.A.E.,2017-2018,13,20,15,6.66,0,26,5/50,18.92,1,1,0,-12.25
5,in Zimbabwe,2018-2018,7,4,3,1.33,0,16,4/43,15.93,0,1,0,-14.60
7,in Africa,2018-2018,7,4,3,1.33,0,16,4/43,15.93,0,1,0,-14.60
8,in Asia,2017-2019,18,21,15,7.00,0,33,5/50,18.54,1,2,0,-11.54
9,in Europe,2018-2019,12,44,13,11.00,0,9,3/39,45.88,0,3,0,-34.88
11,away,2018-2019,7,19,12*,9.50,0,5,3/49,49.40,0,2,0,-39.89
12,neutral,2017-2019,30,50,15,6.25,0,53,5/50,19.49,1,4,0,-13.24
14,year 2017,,3,4,4*,4.00,0,7,4/24,16.57,0,0,0,-12.57
15,year 2018,,20,36,15,7.20,0,37,5/50,19.54,1,2,0,-12.34
16,year 2019,,14,29,13,7.25,0,14,3/14,31.50,0,4,0,-24.24
18,season 2017/18,,15,24,15,4.80,0,35,5/50,16.62,1,2,0,-11.82
19,season 2018,,8,16,12*,16.00,0,9,2/22,28.55,0,0,0,-12.55
20,season 2018/19,,5,1,1*,-,0,7,3/14,17.14,0,1,0,-
21,season 2019,,9,28,13,7.00,0,7,3/39,45.85,0,3,0,-38.85
23,*Asghar Afghan,2017-2019,24,37,15,12.33,0,40,5/50,20.10,1,2,0,-7.76
24,*Gulbadin Naib,2019-2019,9,28,13,7.00,0,7,3/39,45.85,0,3,0,-38.85
25,*Rashid Khan,2018-2018,4,4,3,1.33,0,11,3/26,14.09,0,1,0,-12.75
27,is not captain,2017-2019,37,69,15,6.90,0,58,5/50,22.06,1,6,0,-15.16
29,is not keeper,2017-2019,37,69,15,6.90,0,58,5/50,22.06,1,6,0,-15.16
31,won the toss,2017-2019,16,39,13,7.80,0,21,3/26,25.47,0,2,0,-17.67
32,lost the toss,2017-2019,21,30,15,6.00,0,37,5/50,20.13,1,4,0,-14.13
34,won toss & batted,2017-2019,12,37,13,18.50,0,15,2/22,27.73,0,1,0,-9.23
35,won toss & fielded,2018-2019,4,2,1*,0.66,0,6,3/26,19.83,0,1,0,-19.16
36,lost toss & sent in,2017-2019,6,5,4*,5.00,0,10,4/24,18.10,0,1,0,-13.09
37,lost toss & fielded,2017-2019,15,25,15,6.25,0,27,5/50,20.88,1,3,0,-14.63
39,matches batting first,2017-2019,18,42,13,14.00,0,25,4/24,23.88,0,2,0,-9.87
40,matches fielding first,2017-2019,19,27,15,3.85,0,33,5/50,20.69,1,4,0,-16.83
42,1st match innings,2017-2019,37,42,13,14.00,0,33,5/50,20.69,1,4,0,-6.69
43,2nd match innings,2017-2019,36,27,15,3.85,0,25,4/24,23.88,0,2,0,-20.02
45,day match,2018-2019,23,35,12*,5.00,0,31,4/43,25.41,0,3,0,-20.41
46,day/night match,2017-2019,14,34,15,11.33,0,27,5/50,18.22,1,3,0,-6.88
48,won match,2017-2019,16,6,4*,6.00,0,33,5/50,14.90,1,3,0,-8.90
49,lost match,2017-2019,19,63,15,7.00,0,25,3/26,29.80,0,3,0,-22.79
50,tied match,2018-2018,1,-,-,-,-,0,-,-,0,0,0,-
51,no result,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
53,won batting first,2017-2019,8,6,4*,6.00,0,14,4/24,16.50,0,1,0,-10.49
54,won fielding first,2018-2019,8,-,-,-,-,19,5/50,13.73,1,2,0,-
55,lost batting first,2017-2019,8,36,13,18.00,0,11,2/33,29.36,0,1,0,-11.36
56,lost fielding first,2017-2019,11,27,15,3.85,0,14,3/26,30.14,0,2,0,-26.28
57,tied batting first,2018-2018,1,-,-,-,-,0,-,-,0,0,0,-
58,no result batting first,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
60,2 team series,2017-2019,18,37,15,12.33,0,28,5/50,21.46,1,3,0,-9.13
61,5+ team tournaments,2018-2019,19,32,13,4.57,0,30,4/43,22.63,0,3,0,-18.06
63,1st match in series,2017-2019,5,4,4*,4.00,0,10,4/24,14.60,0,1,0,-10.59
64,2nd match in series,2017-2019,5,27,15,13.50,0,4,2/50,41.25,0,0,0,-27.74
65,3rd match in series,2017-2019,4,4,4*,-,0,5,3/45,32.20,0,1,0,-
66,4th match in series,2018-2019,2,1,1*,-,0,7,5/50,10.71,1,1,0,-
67,5th match in series,2018-2019,2,1,1*,-,0,2,1/26,27.00,0,0,0,-
69,World Cup,2019-2019,7,28,13,9.33,0,7,3/39,37.00,0,2,0,-27.66
70,Asia Cup,2018-2018,5,0,0,0.00,0,7,2/22,23.57,0,0,0,-23.57
71,World Cup Qualifier,2018-2018,7,4,3,1.33,0,16,4/43,15.93,0,1,0,-14.60
73,tournament finals,2018-2018,1,-,-,-,-,4,4/43,10.75,0,0,0,-
74,preliminary matches,2018-2019,18,32,13,4.57,0,26,3/26,24.46,0,3,0,-19.89
