,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,3,53,24,26.50,0,-,-,-,-,2,0,-
2,in Bangladesh,2014-2016,7,93,26,13.28,0,0,-,-,0,2,0,-
3,in England,2019-2019,8,230,51,28.75,0,-,-,-,-,2,0,-
4,in India,2019-2019,4,133,104*,66.50,1,-,-,-,-,0,0,-
5,in Ireland,2012-2019,8,246,60*,41.00,0,-,-,-,-,7,0,-
6,in New Zealand,2015-2015,3,70,56,23.33,0,-,-,-,-,1,0,-
7,in Scotland,2016-2019,3,100,89*,100.00,0,-,-,-,-,3,0,-
8,in U.A.E.,2012-2018,14,283,83,28.30,0,-,-,-,-,5,0,-
9,in Zimbabwe,2015-2018,14,292,67,26.54,0,0,-,-,0,14,0,-
11,in Africa,2015-2018,14,292,67,26.54,0,0,-,-,0,14,0,-
12,in Asia,2012-2019,25,509,104*,26.78,1,0,-,-,0,7,0,-
13,in Europe,2012-2019,19,576,89*,38.40,0,-,-,-,-,12,0,-
14,in Oceania,2015-2015,6,123,56,24.60,0,-,-,-,-,3,0,-
16,away,2012-2019,26,611,89*,27.77,0,0,-,-,0,21,0,-
17,neutral,2012-2019,38,889,104*,31.75,1,0,-,-,0,15,0,-
19,year 2012,,2,23,23,11.50,0,-,-,-,-,1,0,-
20,year 2014,,4,38,21,9.50,0,0,-,-,0,0,0,-
21,year 2015,,15,308,83,23.69,0,0,-,-,0,8,0,-
22,year 2016,,9,276,89*,34.50,0,-,-,-,-,8,0,-
23,year 2017,,4,59,45,14.75,0,-,-,-,-,3,0,-
24,year 2018,,16,373,81*,41.44,0,-,-,-,-,11,0,-
25,year 2019,,14,423,104*,42.30,1,-,-,-,-,5,0,-
27,season 2012,,2,23,23,11.50,0,-,-,-,-,1,0,-
28,season 2013/14,,4,38,21,9.50,0,0,-,-,0,0,0,-
29,season 2014/15,,10,252,83,31.50,0,-,-,-,-,4,0,-
30,season 2015/16,,5,56,25,11.20,0,0,-,-,0,4,0,-
31,season 2016,,6,221,89*,44.20,0,-,-,-,-,6,0,-
32,season 2016/17,,7,114,45,16.28,0,-,-,-,-,5,0,-
33,season 2017/18,,11,294,81*,58.80,0,-,-,-,-,8,0,-
34,season 2018,,5,79,42,19.75,0,-,-,-,-,3,0,-
35,season 2018/19,,4,133,104*,66.50,1,-,-,-,-,0,0,-
36,season 2019,,10,290,60*,36.25,0,-,-,-,-,5,0,-
38,*Asghar Afghan,2015-2019,34,775,104*,32.29,1,0,-,-,0,20,0,-
39,*Gulbadin Naib,2019-2019,10,290,60*,36.25,0,-,-,-,-,5,0,-
40,*Karim Sadiq,2012-2012,1,23,23,23.00,0,-,-,-,-,0,0,-
41,*Mohammad Nabi,2014-2015,14,290,83,24.16,0,0,-,-,0,4,0,-
42,*Nawroz Mangal,2012-2012,1,0,0,0.00,0,-,-,-,-,1,0,-
43,*Rashid Khan,2018-2018,4,122,67,30.50,0,-,-,-,-,6,0,-
45,is not captain,2012-2019,64,1500,104*,30.00,1,0,-,-,0,36,0,-
47,is not keeper,2012-2019,64,1500,104*,30.00,1,0,-,-,0,36,0,-
49,won the toss,2012-2019,28,759,104*,30.36,1,-,-,-,-,20,0,-
50,lost the toss,2012-2019,36,741,89*,29.64,0,0,-,-,0,16,0,-
52,won toss & batted,2015-2019,18,533,104*,33.31,1,-,-,-,-,12,0,-
53,won toss & fielded,2012-2019,10,226,54,25.11,0,-,-,-,-,8,0,-
54,lost toss & sent in,2014-2019,14,477,89*,43.36,0,0,-,-,0,4,0,-
55,lost toss & fielded,2012-2019,22,264,63*,18.85,0,0,-,-,0,12,0,-
57,matches batting first,2014-2019,32,1010,104*,37.40,1,0,-,-,0,16,0,-
58,matches fielding first,2012-2019,32,490,63*,21.30,0,0,-,-,0,20,0,-
60,1st match innings,2012-2019,64,1010,104*,37.40,1,0,-,-,0,20,0,-
61,2nd match innings,2012-2019,63,490,63*,21.30,0,0,-,-,0,16,0,-
63,day match,2012-2019,39,1003,89*,32.35,0,0,-,-,0,28,0,-
64,day/night match,2012-2019,25,497,104*,26.15,1,0,-,-,0,8,0,-
66,won match,2014-2019,28,575,83,33.82,0,0,-,-,0,16,0,-
67,lost match,2012-2019,34,816,104*,25.50,1,0,-,-,0,18,0,-
68,tied match,2018-2018,1,20,20,20.00,0,-,-,-,-,2,0,-
69,no result,2016-2016,1,89,89*,-,0,-,-,-,-,-,-,-
71,won batting first,2014-2019,15,421,83,32.38,0,0,-,-,0,8,0,-
72,won fielding first,2015-2019,13,154,63*,38.50,0,-,-,-,-,8,0,-
73,lost batting first,2014-2019,15,480,104*,36.92,1,-,-,-,-,6,0,-
74,lost fielding first,2012-2019,19,336,54,17.68,0,0,-,-,0,12,0,-
75,tied batting first,2018-2018,1,20,20,20.00,0,-,-,-,-,2,0,-
76,no result batting first,2016-2016,1,89,89*,-,0,-,-,-,-,-,-,-
78,2 team series,2012-2019,31,718,104*,32.63,1,0,-,-,0,20,0,-
79,3-4 team tournaments,2015-2015,4,129,83,43.00,0,-,-,-,-,1,0,-
80,5+ team tournaments,2012-2019,29,653,67,26.12,0,0,-,-,0,15,0,-
82,only match in series,2012-2012,1,0,0,0.00,0,-,-,-,-,1,0,-
83,1st match in series,2015-2019,7,241,89*,60.25,0,-,-,-,-,2,0,-
84,2nd match in series,2015-2019,10,252,60*,31.50,0,-,-,-,-,7,0,-
85,3rd match in series,2016-2019,6,143,104*,47.66,1,-,-,-,-,4,0,-
86,4th match in series,2016-2019,3,13,10,6.50,0,-,-,-,-,2,0,-
87,5th match in series,2015-2019,4,69,54,17.25,0,0,-,-,0,4,0,-
89,World Cup,2015-2019,14,353,56,27.15,0,-,-,-,-,5,0,-
90,Asia Cup,2014-2018,7,75,21,10.71,0,0,-,-,0,2,0,-
91,WCL Championship,2012-2012,1,23,23,23.00,0,-,-,-,-,0,0,-
92,World Cup Qualifier,2018-2018,7,202,67,50.50,0,-,-,-,-,8,0,-
94,tournament finals,2018-2018,1,-,-,-,-,-,-,-,-,0,0,-
95,preliminary matches,2012-2019,32,782,83,27.92,0,0,-,-,0,16,0,-
