,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2014-2014,3,96,44,32.00,0,-,-,-,-,1,0,-
2,in Canada,2011-2011,1,1,1,1.00,0,-,-,-,-,0,0,-
3,in England,2019-2019,3,63,32,21.00,0,-,-,-,-,0,0,-
4,in India,2017-2019,4,86,51,21.50,0,-,-,-,-,0,0,-
5,in Ireland,2016-2019,2,15,10,7.50,0,-,-,-,-,0,0,-
6,in Kenya,2010-2010,2,46,41,46.00,0,-,-,-,-,0,0,-
7,in Malaysia,2014-2014,2,71,53,35.50,0,-,-,-,-,0,0,-
8,in Netherlands,2009-2010,7,150,50,21.42,0,-,-,-,-,3,0,-
9,in Scotland,2010-2016,3,13,6,4.33,0,-,-,-,-,1,0,-
10,in South Africa,2009-2009,1,45,45,45.00,0,-,-,-,-,2,0,-
11,in U.A.E.,2010-2017,8,260,114,32.50,1,-,-,-,-,4,0,-
12,in West Indies,2017-2017,3,13,8,6.50,0,-,-,-,-,0,0,-
13,in Zimbabwe,2014-2017,12,357,60,29.75,0,-,-,-,-,4,0,-
15,in Africa,2009-2017,15,448,60,32.00,0,-,-,-,-,6,0,-
16,in Americas,2011-2017,4,14,8,4.66,0,-,-,-,-,0,0,-
17,in Asia,2010-2019,17,513,114,30.17,1,-,-,-,-,5,0,-
18,in Europe,2009-2019,15,241,50,16.06,0,-,-,-,-,4,0,-
20,away,2009-2019,27,497,60,19.88,0,-,-,-,-,5,0,-
21,neutral,2009-2019,24,719,114,29.95,1,-,-,-,-,10,0,-
23,year 2009,,3,94,45,31.33,0,-,-,-,-,2,0,-
24,year 2010,,9,267,114,33.37,1,-,-,-,-,3,0,-
25,year 2011,,1,1,1,1.00,0,-,-,-,-,0,0,-
26,year 2012,,1,9,9,9.00,0,-,-,-,-,0,0,-
27,year 2014,,8,223,53,27.87,0,-,-,-,-,1,0,-
28,year 2015,,7,296,63,42.28,0,-,-,-,-,3,0,-
29,year 2016,,6,51,30,8.50,0,-,-,-,-,4,0,-
30,year 2017,,11,198,51,19.80,0,-,-,-,-,2,0,-
31,year 2019,,5,77,32,15.40,0,-,-,-,-,0,0,-
33,season 2009,,3,94,45,31.33,0,-,-,-,-,2,0,-
34,season 2009/10,,1,114,114,114.00,1,-,-,-,-,0,0,-
35,season 2010,,6,107,50,17.83,0,-,-,-,-,3,0,-
36,season 2010/11,,2,46,41,46.00,0,-,-,-,-,0,0,-
37,season 2011,,1,1,1,1.00,0,-,-,-,-,0,0,-
38,season 2011/12,,1,9,9,9.00,0,-,-,-,-,0,0,-
39,season 2013/14,,3,96,44,32.00,0,-,-,-,-,1,0,-
40,season 2014,,5,127,53,25.40,0,-,-,-,-,0,0,-
41,season 2015/16,,10,330,63,33.00,0,-,-,-,-,6,0,-
42,season 2016,,3,17,10,5.66,0,-,-,-,-,1,0,-
43,season 2016/17,,7,176,51,25.14,0,-,-,-,-,2,0,-
44,season 2017,,3,13,8,6.50,0,-,-,-,-,0,0,-
45,season 2017/18,,1,9,9,9.00,0,-,-,-,-,0,0,-
46,season 2018/19,,1,9,9,9.00,0,-,-,-,-,0,0,-
47,season 2019,,4,68,32,17.00,0,-,-,-,-,0,0,-
49,*Asghar Afghan,2015-2019,25,554,63,23.08,0,-,-,-,-,9,0,-
50,*Gulbadin Naib,2019-2019,4,68,32,17.00,0,-,-,-,-,0,0,-
51,*Mohammad Nabi,2014-2014,8,223,53,27.87,0,-,-,-,-,1,0,-
52,*Nawroz Mangal,2009-2012,14,371,114,28.53,1,-,-,-,-,5,0,-
54,is not captain,2009-2019,51,1216,114,24.81,1,-,-,-,-,15,0,-
56,is not keeper,2009-2019,51,1216,114,24.81,1,-,-,-,-,15,0,-
58,won the toss,2009-2017,25,571,63,23.79,0,-,-,-,-,9,0,-
59,lost the toss,2009-2019,26,645,114,25.80,1,-,-,-,-,6,0,-
61,won toss & batted,2009-2017,18,471,63,26.16,0,-,-,-,-,8,0,-
62,won toss & fielded,2009-2014,6,100,44,16.66,0,-,-,-,-,1,0,-
63,lost toss & sent in,2010-2019,11,386,114,35.09,1,-,-,-,-,0,0,-
64,lost toss & fielded,2009-2019,15,259,50,18.50,0,-,-,-,-,6,0,-
66,matches batting first,2009-2019,29,857,114,29.55,1,-,-,-,-,8,0,-
67,matches fielding first,2009-2019,21,359,50,17.95,0,-,-,-,-,7,0,-
