,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2014-2016,4,116,71,29.00,0,2,1/30,55.00,0,1,0,-25.99
2,in England,2019-2019,9,254,62,28.22,0,1,1/22,69.00,0,5,0,-40.77
3,in India,2017-2019,10,371,108*,41.22,1,0,-,-,0,0,0,-
4,in Ireland,2016-2019,9,268,62,29.77,0,3,2/30,28.00,0,2,0,1.77
5,in Malaysia,2014-2014,2,30,23,15.00,0,5,5/32,9.40,1,1,0,5.60
6,in Scotland,2016-2019,3,239,113,119.50,2,0,-,-,0,0,0,-
7,in U.A.E.,2013-2018,17,558,114,39.85,1,3,1/7,38.33,0,5,0,1.52
8,in West Indies,2017-2017,3,18,17,9.00,0,-,-,-,-,1,0,-
9,in Zimbabwe,2014-2018,13,401,69,30.84,0,0,-,-,0,4,0,-
11,in Africa,2014-2018,13,401,69,30.84,0,0,-,-,0,4,0,-
12,in Americas,2017-2017,3,18,17,9.00,0,-,-,-,-,1,0,-
13,in Asia,2013-2019,33,1075,114,37.06,2,10,5/32,29.20,1,7,0,7.86
14,in Europe,2016-2019,21,761,113,38.05,2,4,2/30,41.50,0,7,0,-3.44
16,away,2014-2019,26,914,113,38.08,2,5,2/30,46.60,0,7,0,-8.51
17,neutral,2013-2019,44,1341,114,33.52,2,9,5/32,30.11,1,12,0,3.41
19,year 2013,,4,38,35,19.00,0,1,1/7,53.00,0,1,0,-33.99
20,year 2014,,4,61,23,15.25,0,5,5/32,19.20,1,1,0,-3.94
21,year 2016,,9,341,100*,42.62,1,4,2/30,40.25,0,2,0,2.37
22,year 2017,,16,551,108*,39.35,1,0,-,-,0,3,0,-
23,year 2018,,20,722,114,38.00,1,2,1/7,40.00,0,6,0,-1.99
24,year 2019,,17,542,113,31.88,1,2,1/12,52.00,0,6,0,-20.11
26,season 2012/13,,2,38,35,19.00,0,0,-,-,0,0,0,-
27,season 2013/14,,3,9,9,9.00,0,1,1/7,42.00,0,1,0,-32.99
28,season 2014,,3,52,23,17.33,0,5,5/32,15.00,1,1,0,2.33
29,season 2016,,6,234,100*,46.80,1,2,2/30,36.00,0,1,0,10.80
30,season 2016/17,,13,514,108*,42.83,1,2,1/30,49.50,0,2,0,-6.66
31,season 2017,,3,18,17,9.00,0,-,-,-,-,1,0,-
32,season 2017/18,,15,632,114,45.14,1,1,1/11,63.00,0,6,0,-17.85
33,season 2018,,8,216,72,27.00,0,1,1/7,17.00,0,1,0,10.00
34,season 2018/19,,5,109,54,21.80,0,0,-,-,0,0,0,-
35,season 2019,,12,433,113,36.08,1,2,1/12,47.00,0,6,0,-10.91
37,*Asghar Afghan,2016-2019,46,1568,114,37.33,3,6,2/30,40.50,0,10,0,-3.16
