,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2016-2016,3,29,17,9.66,0,7,3/35,15.85,0,1,0,-6.19
2,in England,2019-2019,9,105,35,11.66,0,6,2/17,69.33,0,1,0,-57.66
3,in India,2017-2019,10,168,56,33.60,0,21,6/43,16.71,1,3,0,16.88
4,in Ireland,2016-2019,9,169,60*,24.14,0,17,4/21,19.35,0,5,0,4.78
5,in Scotland,2016-2016,2,-,-,-,-,2,2/19,9.50,0,3,0,-
6,in U.A.E.,2016-2018,16,290,57*,32.22,0,39,5/24,13.38,1,2,0,18.83
7,in West Indies,2017-2017,3,7,7,7.00,0,10,7/18,4.40,1,0,0,2.60
8,in Zimbabwe,2015-2018,16,135,32,13.50,0,29,5/41,18.65,1,6,0,-5.15
10,in Africa,2015-2018,16,135,32,13.50,0,29,5/41,18.65,1,6,0,-5.15
11,in Americas,2017-2017,3,7,7,7.00,0,10,7/18,4.40,1,0,0,2.60
12,in Asia,2016-2019,29,487,57*,28.64,0,67,6/43,14.68,2,6,0,13.96
13,in Europe,2016-2019,20,274,60*,17.12,0,25,4/21,30.56,0,9,0,-13.43
15,away,2015-2019,28,321,60*,16.05,0,54,7/18,16.53,1,13,0,-0.48
16,neutral,2016-2019,40,582,57*,24.25,0,77,6/43,18.70,3,8,0,5.54
18,year 2015,,4,36,15,18.00,0,5,2/24,27.20,0,1,0,-9.19
19,year 2016,,12,215,60*,23.88,0,22,4/21,19.50,0,6,0,4.38
20,year 2017,,16,243,56,22.09,0,43,7/18,10.44,2,5,0,11.64
21,year 2018,,20,182,57*,20.22,0,48,5/24,14.45,2,5,0,5.76
22,year 2019,,16,227,52,17.46,0,13,2/17,48.07,0,4,0,-30.61
24,season 2015/16,,7,80,31,16.00,0,11,3/43,24.90,0,1,0,-8.90
25,season 2016,,6,142,60*,47.33,0,9,4/21,20.00,0,5,0,27.33
26,season 2016/17,,13,157,56,14.27,0,33,6/43,13.06,1,6,0,1.21
27,season 2017,,3,7,7,7.00,0,10,7/18,4.40,1,0,0,2.60
28,season 2017/18,,15,192,48,27.42,0,37,5/24,13.81,2,2,0,13.61
29,season 2018,,8,98,57*,24.50,0,18,3/18,14.88,0,3,0,9.61
30,season 2018/19,,5,106,52,53.00,0,5,2/22,27.40,0,1,0,25.60
31,season 2019,,11,121,35,11.00,0,8,2/17,61.00,0,3,0,-49.99
33,*Asghar Afghan,2015-2019,53,749,60*,24.96,0,118,7/18,14.14,4,18,0,10.82
34,*Gulbadin Naib,2019-2019,11,121,35,11.00,0,8,2/17,61.00,0,3,0,-49.99
35,*Rashid Khan,2018-2018,4,33,14,11.00,0,5,3/38,35.20,0,0,0,-24.19
37,is captain,2018-2018,4,33,14,11.00,0,5,3/38,35.20,0,0,0,-24.19
38,is not captain,2015-2019,64,870,60*,21.21,0,126,7/18,17.11,4,21,0,4.10
40,is not keeper,2015-2019,68,903,60*,20.52,0,131,7/18,17.80,4,21,0,2.71
42,won the toss,2015-2019,34,552,60*,24.00,0,67,7/18,16.14,2,8,0,7.85
43,lost the toss,2015-2019,34,351,52,16.71,0,64,5/24,19.54,2,13,0,-2.83
45,won toss & batted,2015-2019,27,473,60*,27.82,0,60,7/18,13.83,2,8,0,13.99
46,won toss & fielded,2016-2019,6,79,40,13.16,0,7,3/35,36.00,0,0,0,-22.83
47,lost toss & sent in,2015-2019,11,193,52,21.44,0,14,3/28,23.42,0,6,0,-1.98
48,lost toss & fielded,2015-2019,23,158,31,13.16,0,50,5/24,18.46,2,7,0,-5.29
50,matches batting first,2015-2019,38,666,60*,25.61,0,74,7/18,15.64,2,14,0,9.96
51,matches fielding first,2015-2019,29,237,40,13.16,0,57,5/24,20.61,2,7,0,-7.44
53,1st match innings,2015-2019,67,666,60*,25.61,0,57,5/24,20.61,2,7,0,5.00
54,2nd match innings,2015-2019,65,237,40,13.16,0,74,7/18,15.64,2,14,0,-2.48
56,day match,2015-2019,43,496,60*,17.71,0,79,6/43,20.17,2,19,0,-2.46
57,day/night match,2016-2019,25,407,52,25.43,0,52,7/18,14.21,2,2,0,11.22
59,won match,2015-2019,31,421,60*,30.07,0,85,7/18,10.52,4,14,0,19.54
60,lost match,2015-2019,33,459,56,15.30,0,44,3/26,31.75,0,7,0,-16.44
61,tied match,2018-2018,1,12,12*,-,0,2,2/41,20.50,0,0,0,-
62,no result,2016-2019,3,11,11*,-,0,-,-,-,-,-,-,-
64,won batting first,2015-2019,19,363,60*,30.25,0,53,7/18,9.07,2,12,0,21.17
