,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,3,66,42,22,0,0,-,-,0,1,0,-
2,in Bangladesh,2014-2016,5,164,81,32.8,0,3,2/34,45.66,0,1,0,-12.86
3,in Canada,2011-2011,2,15,8,15,0,3,3/16,17.33,0,0,0,-2.33
4,in England,2019-2019,3,74,49*,74,0,0,-,-,0,0,0,-
5,in India,2017-2019,6,130,62*,26,0,2,1/39,69,0,2,0,-42.99
6,in Ireland,2012-2016,4,55,24,13.75,0,0,-,-,0,1,0,-
7,in Kenya,2010-2010,3,20,18,10,0,5,3/29,23.4,0,1,0,-13.39
8,in Malaysia,2014-2014,2,125,82*,125,0,0,-,-,0,1,0,-
9,in Netherlands,2009-2010,8,163,82,40.75,0,10,3/43,32,0,1,0,8.75
10,in New Zealand,2015-2015,3,188,96,62.66,0,0,-,-,0,1,0,-
11,in Scotland,2010-2010,2,46,46,46,0,3,2/29,23.33,0,0,0,22.66
12,in South Africa,2009-2009,1,52,52,52,0,0,-,-,0,0,0,-
13,in U.A.E.,2010-2018,23,331,55*,23.64,0,16,4/31,30.25,0,3,0,-6.6
14,in West Indies,2017-2017,2,24,22,12,0,0,-,-,0,1,0,-
15,in Zimbabwe,2014-2018,17,358,65,23.86,0,4,2/23,53.75,0,8,0,-29.88
17,in Africa,2009-2018,21,430,65,23.88,0,9,3/29,37.77,0,9,0,-13.88
18,in Americas,2011-2017,4,39,22,13,0,3,3/16,21,0,1,0,-7.99
19,in Asia,2010-2019,36,750,82*,30,0,21,4/31,37.09,0,7,0,-7.09
20,in Europe,2009-2019,17,338,82,33.8,0,13,3/43,34.23,0,2,0,-0.43
21,in Oceania,2015-2015,6,254,96,42.33,0,0,-,-,0,2,0,-
23,away,2009-2017,37,734,81,25.31,0,22,3/16,37.81,0,14,0,-12.5
24,neutral,2009-2019,47,1077,96,32.63,0,24,4/31,37.37,0,7,0,-4.73
26,year 2009,,3,118,52,59,0,2,2/56,47,0,1,0,12
27,year 2010,,13,167,82,23.85,0,20,4/31,24.4,0,1,0,-0.54
28,year 2011,,2,15,8,15,0,3,3/16,17.33,0,0,0,-2.33
29,year 2012,,5,76,32,19,0,3,1/22,44.66,0,1,0,-25.66
30,year 2013,,4,85,55*,-,0,5,3/42,18,0,0,0,-
31,year 2014,,14,497,82*,41.41,0,7,2/34,47.14,0,5,0,-5.72
32,year 2015,,16,383,96,27.35,0,4,2/23,69.5,0,6,0,-42.14
33,year 2016,,5,51,24,10.2,0,0,-,-,0,1,0,-
34,year 2017,,9,210,62*,26.25,0,1,1/39,89,0,4,0,-62.74
35,year 2018,,8,131,27,21.83,0,0,-,-,0,2,0,-
36,year 2019,,5,78,49*,26,0,1,1/60,92,0,0,0,-65.99
38,season 2009,,3,118,52,59,0,2,2/56,47,0,1,0,12
39,season 2009/10,,2,4,4,4,0,4,4/31,16.75,0,0,0,-12.74
40,season 2010,,8,143,82,35.75,0,11,3/43,27.63,0,0,0,8.11
41,season 2010/11,,3,20,18,10,0,5,3/29,23.4,0,1,0,-13.39
42,season 2011,,2,15,8,15,0,3,3/16,17.33,0,0,0,-2.33
43,season 2011/12,,3,43,32,21.5,0,2,1/22,43,0,1,0,-21.49
44,season 2012,,2,33,19,16.5,0,1,1/48,48,0,0,0,-31.49
45,season 2012/13,,2,85,55*,-,0,3,3/42,19.66,0,0,0,-
46,season 2013/14,,6,151,81,37.75,0,5,2/14,28,0,1,0,9.75
47,season 2014,,6,276,82*,55.2,0,2,1/37,72.5,0,2,0,-17.29
48,season 2014/15,,13,384,96,34.9,0,4,2/24,58.25,0,4,0,-23.34
49,season 2015/16,,8,71,20*,10.14,0,2,2/23,65.5,0,4,0,-55.35
50,season 2016,,3,36,24,12,0,0,-,-,0,1,0,-
51,season 2016/17,,8,199,62*,28.42,0,1,1/39,106,0,3,0,-77.57
52,season 2017,,2,24,22,12,0,0,-,-,0,1,0,-
53,season 2017/18,,6,90,27,18,0,-,-,-,-,2,0,-
54,season 2018,,2,41,23*,41,0,0,-,-,0,0,0,-
55,season 2018/19,,2,4,4,2,0,1,1/60,60,0,0,0,-57.99
56,season 2019,,3,74,49*,74,0,0,-,-,0,0,0,-
58,*Asghar Afghan,2015-2019,29,429,62*,17.16,0,4,2/23,88,0,10,0,-70.83
59,*Gulbadin Naib,2019-2019,3,74,49*,74,0,0,-,-,0,0,0,-
60,*Karim Sadiq,2012-2012,1,19,19,19,0,-,-,-,-,0,0,-
61,*Mohammad Nabi,2013-2015,27,896,96,44.8,0,14,3/42,41.21,0,7,0,3.58
62,*Nawroz Mangal,2009-2012,22,357,82,27.46,0,28,4/31,27.42,0,3,0,0.03
63,*Rashid Khan,2018-2018,2,36,27,18,0,-,-,-,-,1,0,-
65,is not captain,2009-2019,84,1811,96,29.2,0,46,4/31,37.58,0,21,0,-8.37
67,is not keeper,2009-2019,84,1811,96,29.2,0,46,4/31,37.58,0,21,0,-8.37
69,won the toss,2009-2019,43,850,96,25.75,0,21,3/16,42.47,0,11,0,-16.71
70,lost the toss,2009-2019,41,961,82*,33.13,0,25,4/31,33.48,0,10,0,-0.34
72,won toss & batted,2009-2019,26,478,54,20.78,0,9,3/16,53.33,0,7,0,-32.55
73,won toss & fielded,2009-2019,17,372,96,37.2,0,12,3/42,34.33,0,4,0,2.86
74,lost toss & sent in,2010-2019,15,472,82*,36.3,0,7,4/31,45.14,0,3,0,-8.83
75,lost toss & fielded,2009-2019,26,489,82,30.56,0,18,3/29,28.94,0,7,0,1.61
77,matches batting first,2009-2019,41,950,82*,26.38,0,16,4/31,49.75,0,10,0,-23.36
78,matches fielding first,2009-2019,43,861,96,33.11,0,30,3/29,31.1,0,11,0,2.01
80,1st match innings,2009-2019,84,950,82*,26.38,0,30,3/29,31.1,0,11,0,-4.71
81,2nd match innings,2009-2019,84,861,96,33.11,0,16,4/31,49.75,0,10,0,-16.63
83,day match,2009-2019,62,1454,96,34.61,0,34,3/16,37.17,0,17,0,-2.55
84,day/night match,2010-2019,22,357,81,17.85,0,12,4/31,38.75,0,4,0,-20.89
86,won match,2009-2018,43,1043,96,41.72,0,29,4/31,26.17,0,14,0,15.54
87,lost match,2009-2019,41,768,65,20.75,0,17,2/24,57.05,0,7,0,-36.3
89,won batting first,2009-2018,18,479,82*,31.93,0,10,4/31,21.2,0,6,0,10.73
90,won fielding first,2009-2018,25,564,96,56.4,0,19,3/29,28.78,0,8,0,27.61
91,lost batting first,2010-2019,23,471,65,22.42,0,6,1/22,97.33,0,4,0,-74.9
92,lost fielding first,2009-2019,18,297,49*,18.56,0,11,2/24,35.09,0,3,0,-16.52
94,2 team series,2009-2019,43,742,65,20.61,0,24,4/31,39.25,0,15,0,-18.63
