,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,1,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
2,in India,1,-,-,-,-,-,-,-,-,-,-,-
4,in Asia,1,-,-,-,-,-,-,-,-,-,-,-
5,in Europe,1,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
7,neutral,2,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
9,year 2019,2,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
11,season 2018/19,1,-,-,-,-,-,-,-,-,-,-,-
12,season 2019,1,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
14,*Asghar Afghan,1,-,-,-,-,-,-,-,-,-,-,-
15,*Gulbadin Naib,1,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
17,is not captain,2,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
19,is not keeper,2,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
21,won the toss,1,-,-,-,-,-,-,-,-,-,-,-
22,lost the toss,1,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
24,won toss & batted,1,-,-,-,-,-,-,-,-,-,-,-
25,lost toss & fielded,1,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
27,matches batting first,1,-,-,-,-,-,-,-,-,-,-,-
28,matches fielding first,1,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
30,1st match innings,2,-,-,-,-,1,1/56,56.00,0,0,0,-
31,2nd match innings,1,25,25,25.00,0,-,-,-,-,-,-,-
33,day match,1,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
34,day/night match,1,-,-,-,-,-,-,-,-,-,-,-
36,lost match,1,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
37,no result,1,-,-,-,-,-,-,-,-,-,-,-
39,lost fielding first,1,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
40,no result batting first,1,-,-,-,-,-,-,-,-,-,-,-
42,2 team series,1,-,-,-,-,-,-,-,-,-,-,-
43,5+ team tournaments,1,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
45,2nd match in series,1,-,-,-,-,-,-,-,-,-,-,-
47,World Cup,1,25,25,25.00,0,1,1/56,56.00,0,0,0,-30.99
