,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2013-2019,46,1615,135,35.88,7,0,-,-,0,28,0,-
2,in England,2013-2019,25,972,153,42.26,3,1,1/13,27.00,0,11,0,15.26
3,in India,2013-2019,14,597,124,42.64,1,2,1/2,32.00,0,9,0,10.64
4,in New Zealand,2015-2017,3,74,56,24.66,0,-,-,-,-,1,0,-
5,in Scotland,2013-2013,1,148,148,148.00,1,-,-,-,-,0,0,-
6,in South Africa,2016-2016,5,108,53,21.60,0,-,-,-,-,1,0,-
7,in Sri Lanka,2016-2016,5,145,56,36.25,0,0,-,-,0,3,0,-
8,in U.A.E.,2014-2019,8,483,153*,69.00,2,1,1/41,60.00,0,3,0,9.00
9,in West Indies,2016-2016,7,167,72,27.83,0,0,-,-,0,2,0,-
10,in Zimbabwe,2014-2014,5,250,102,50.00,1,0,-,-,0,1,0,-
12,in Africa,2014-2016,10,358,102,35.80,1,0,-,-,0,2,0,-
13,in Americas,2016-2016,7,167,72,27.83,0,0,-,-,0,2,0,-
14,in Asia,2013-2019,27,1225,153*,49.00,3,3,1/2,43.66,0,15,0,5.33
15,in Europe,2013-2019,26,1120,153,46.66,4,1,1/13,27.00,0,11,0,19.66
16,in Oceania,2013-2019,49,1689,135,35.18,7,0,-,-,0,29,0,-
18,home,2013-2019,46,1615,135,35.88,7,0,-,-,0,28,0,-
19,away,2013-2019,49,1770,148,38.47,4,2,1/2,56.50,0,23,0,-18.02
20,neutral,2014-2019,24,1174,153*,53.36,4,2,1/13,52.00,0,8,0,1.36
22,year 2013,,18,514,148,30.23,1,2,1/2,13.00,0,10,0,17.23
23,year 2014,,18,790,121,43.88,4,0,-,-,0,6,0,-
24,year 2015,,16,561,135,40.07,1,0,-,-,0,12,0,-
25,year 2016,,25,655,107,28.47,1,0,-,-,0,7,0,-
26,year 2017,,8,405,124,50.62,1,0,-,-,0,6,0,-
27,year 2018,,11,493,107,44.81,3,0,-,-,0,5,0,-
28,year 2019,,23,1141,153*,51.86,4,2,1/13,51.00,0,13,0,0.86
30,season 2012/13,,7,105,38,15.00,0,0,-,-,0,8,0,-
31,season 2013,,5,219,148,54.75,1,-,-,-,-,1,0,-
32,season 2013/14,,11,448,121,40.72,2,2,1/2,12.00,0,3,0,28.72
33,season 2014,,5,250,102,50.00,1,0,-,-,0,1,0,-
34,season 2014/15,,21,705,135,35.25,2,0,-,-,0,13,0,-
35,season 2015,,3,138,70*,69.00,0,-,-,-,-,2,0,-
36,season 2015/16,,5,213,107,42.60,1,-,-,-,-,1,0,-
37,season 2016,,12,312,72,31.20,0,0,-,-,0,5,0,-
38,season 2016/17,,10,190,56,19.00,0,-,-,-,-,2,0,-
39,season 2017,,3,95,68,31.66,0,-,-,-,-,2,0,-
40,season 2017/18,,6,525,124,87.50,3,0,-,-,0,5,0,-
41,season 2018,,5,161,100,32.20,1,0,-,-,0,1,0,-
42,season 2018/19,,16,691,153*,46.06,2,1,1/41,82.00,0,10,0,-35.93
43,season 2019,,10,507,153,50.70,2,1,1/13,20.00,0,5,0,30.70
45,*GJ Bailey,2013-2015,25,1050,135,43.75,4,2,1/2,13.50,0,9,0,30.25
46,*MJ Clarke,2013-2015,22,644,148,30.66,2,0,-,-,0,14,0,-
47,*AJ Finch,2017-2019,28,1258,153*,46.59,4,2,1/13,51.00,0,16,0,-4.40
48,*TD Paine,2018-2018,5,161,100,32.20,1,0,-,-,0,1,0,-
49,*SPD Smith,2015-2018,35,1360,124,41.21,4,0,-,-,0,15,0,-
50,*DA Warner,2016-2016,3,85,55,42.50,0,-,-,-,-,2,0,-
51,*SR Watson,2013-2013,1,1,1,1.00,0,0,-,-,0,2,0,-
53,is captain,2017-2019,28,1258,153*,46.59,4,2,1/13,51.00,0,16,0,-4.40
54,is not captain,2013-2018,91,3301,148,38.38,11,2,1/2,68.50,0,43,0,-30.11
56,is not keeper,2013-2019,119,4559,153*,40.34,15,4,1/2,59.75,0,59,0,-19.40
58,won the toss,2013-2019,56,1851,124,34.92,6,1,1/2,101.00,0,24,0,-66.07
59,lost the toss,2013-2019,63,2708,153*,45.13,9,3,1/13,46.00,0,35,0,-0.86
61,won toss & batted,2013-2019,37,1401,124,37.86,5,1,1/2,76.00,0,14,0,-38.13
62,won toss & fielded,2013-2019,19,450,108,28.12,1,0,-,-,0,10,0,-
63,lost toss & sent in,2013-2019,32,1466,153,45.81,6,2,1/13,28.50,0,18,0,17.31
64,lost toss & fielded,2013-2019,31,1242,153*,44.35,3,1,1/41,81.00,0,17,0,-36.64
66,matches batting first,2013-2019,69,2867,153,41.55,11,3,1/2,44.33,0,32,0,-2.78
67,matches fielding first,2013-2019,50,1692,153*,38.45,4,1,1/41,106.00,0,27,0,-67.54
69,1st match innings,2013-2019,119,2867,153,41.55,11,1,1/41,106.00,0,27,0,-64.44
70,2nd match innings,2013-2019,116,1692,153*,38.45,4,3,1/2,44.33,0,32,0,-5.87
72,day match,2013-2019,31,1283,153,42.76,5,1,1/13,35.00,0,14,0,7.76
73,day/night match,2013-2019,88,3276,153*,39.46,10,3,1/2,68.00,0,45,0,-28.53
75,won match,2013-2019,69,3061,153*,46.37,9,3,1/2,46.33,0,42,0,0.04
76,lost match,2013-2019,44,1466,124,33.31,6,1,1/20,100.00,0,15,0,-66.68
77,no result,2013-2017,6,32,19,10.66,0,-,-,-,-,2,0,-
79,won batting first,2013-2019,40,1887,153,47.17,6,2,1/2,30.00,0,24,0,17.17
80,won fielding first,2013-2019,29,1174,153*,45.15,3,1,1/41,79.00,0,18,0,-33.84
81,lost batting first,2013-2019,28,975,124,34.82,5,1,1/20,73.00,0,8,0,-38.17
82,lost fielding first,2013-2019,16,491,108,30.68,1,0,-,-,0,7,0,-
83,no result batting first,2013-2013,1,5,5,5.00,0,-,-,-,-,0,0,-
84,no result fielding first,2013-2017,5,27,19,13.50,0,-,-,-,-,2,0,-
86,2 team series,2013-2019,82,3131,153*,40.14,11,3,1/2,52.33,0,39,0,-12.19
87,3-4 team tournaments,2014-2016,17,560,102,37.33,1,0,-,-,0,7,0,-
88,5+ team tournaments,2015-2019,21,882,153,42.00,3,1,1/13,20.00,0,13,0,22.00
90,only match in series,2013-2015,2,162,148,81.00,1,-,-,-,-,0,0,-
91,1st match in series,2013-2019,17,608,121,35.76,3,1,1/2,2.00,0,9,0,33.76
92,2nd match in series,2013-2019,17,570,153*,35.62,2,1,1/41,65.00,0,3,0,-29.37
93,3rd match in series,2013-2019,19,855,124,47.50,2,0,-,-,0,11,0,-
94,4th match in series,2013-2019,13,572,108,44.00,3,0,-,-,0,11,0,-
95,5th match in series,2013-2019,12,339,76,33.90,0,0,-,-,0,5,0,-
96,6th match in series,2013-2013,1,20,20,20.00,0,1,1/20,20.00,0,0,0,0.00
97,7th match in series,2013-2013,1,5,5,5.00,0,0,-,-,0,0,0,-
99,World Cup,2015-2019,18,787,153,43.72,3,1,1/13,20.00,0,11,0,23.72
100,Chappell-Hadlee,2015-2017,6,96,56,16.00,0,-,-,-,-,1,0,-
101,ICC Champions Trophy,2017-2017,3,95,68,31.66,0,-,-,-,-,2,0,-
103,tournament finals,2014-2016,4,101,54,25.25,0,0,-,-,0,2,0,-
104,tournament semi-finals,2015-2019,2,81,81,40.50,0,-,-,-,-,0,0,-
105,tournament quarter-finals,2015-2015,1,2,2,2.00,0,-,-,-,-,3,0,-
106,preliminary matches,2014-2019,31,1258,153,43.37,4,1,1/13,79.00,0,15,0,-35.62
