,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2016-2019,10,43,22,10.75,0,8,3/55,65.00,0,2,0,-54.24
2,in England,2017-2019,6,1,1,0.50,0,7,3/60,43.00,0,1,0,-42.49
3,in India,2017-2019,8,7,5*,7.00,0,15,3/46,31.46,0,1,0,-24.46
4,in New Zealand,2016-2017,3,3,2,1.50,0,3,2/57,47.66,0,0,0,-46.16
5,in South Africa,2016-2016,6,31,12,10.33,0,6,3/37,42.50,0,3,0,-32.16
6,in Sri Lanka,2016-2016,5,10,5*,10.00,0,9,3/38,20.77,0,2,0,-10.77
7,in U.A.E.,2019-2019,5,-,-,-,-,7,4/43,37.28,0,0,0,-
8,in West Indies,2016-2016,5,5,5,2.50,0,10,3/16,22.40,0,1,0,-19.89
10,in Africa,2016-2016,6,31,12,10.33,0,6,3/37,42.50,0,3,0,-32.16
11,in Americas,2016-2016,5,5,5,2.50,0,10,3/16,22.40,0,1,0,-19.89
12,in Asia,2016-2019,18,17,5*,8.50,0,31,4/43,29.67,0,3,0,-21.17
13,in Europe,2017-2019,6,1,1,0.50,0,7,3/60,43.00,0,1,0,-42.49
14,in Oceania,2016-2019,13,46,22,7.66,0,11,3/55,60.27,0,2,0,-52.60
16,home,2016-2019,10,43,22,10.75,0,8,3/55,65.00,0,2,0,-54.24
17,away,2016-2019,25,56,12,6.22,0,36,3/16,33.27,0,6,0,-27.05
18,neutral,2016-2019,13,1,1,0.50,0,21,4/43,30.71,0,2,0,-30.21
20,year 2016,,19,50,12,7.14,0,30,3/16,27.80,0,6,0,-20.65
21,year 2017,,8,6,5*,3.00,0,10,3/55,41.00,0,0,0,-37.99
22,year 2018,,6,33,22,11.00,0,2,1/46,152.00,0,2,0,-140.99
23,year 2019,,15,11,8,3.66,0,23,4/43,35.43,0,2,0,-31.76
25,season 2015/16,,2,2,2,2.00,0,3,2/57,34.00,0,0,0,-31.99
26,season 2016,,10,15,5*,5.00,0,19,3/16,21.63,0,3,0,-16.63
27,season 2016/17,,10,34,12,8.50,0,12,3/37,39.83,0,3,0,-31.33
28,season 2017,,2,0,0,0.00,0,2,2/13,32.50,0,0,0,-32.49
29,season 2017/18,,7,16,11,16.00,0,6,2/59,67.16,0,1,0,-51.16
30,season 2018/19,,13,32,22,8.00,0,18,4/43,37.11,0,2,0,-29.11
31,season 2019,,4,1,1,1.00,0,5,3/60,47.20,0,1,0,-46.19
33,*AJ Finch,2017-2019,18,34,22,5.66,0,23,4/43,41.08,0,3,0,-35.42
34,*SPD Smith,2016-2018,27,61,12,6.77,0,36,3/16,36.30,0,5,0,-29.52
35,*DA Warner,2016-2016,3,5,5*,-,0,6,3/38,18.50,0,2,0,-
37,is not captain,2016-2019,48,100,22,6.66,0,65,4/43,36.35,0,10,0,-29.68
39,is not keeper,2016-2019,48,100,22,6.66,0,65,4/43,36.35,0,10,0,-29.68
41,won the toss,2016-2019,22,35,11,5.00,0,33,4/43,32.87,0,5,0,-27.87
42,lost the toss,2016-2019,26,65,22,8.12,0,32,3/37,39.93,0,5,0,-31.81
44,won toss & batted,2016-2019,13,12,5,6.00,0,25,4/43,27.96,0,1,0,-21.95
45,won toss & fielded,2016-2019,9,23,11,4.60,0,8,3/16,48.25,0,4,0,-43.64
46,lost toss & sent in,2016-2019,10,42,22,10.50,0,9,3/70,62.66,0,2,0,-52.16
47,lost toss & fielded,2016-2019,16,23,6*,5.75,0,23,3/37,31.04,0,3,0,-25.29
49,matches batting first,2016-2019,23,54,22,9.00,0,34,4/43,37.14,0,3,0,-28.14
50,matches fielding first,2016-2019,25,46,11,5.11,0,31,3/16,35.48,0,7,0,-30.37
52,1st match innings,2016-2019,48,54,22,9.00,0,31,3/16,35.48,0,7,0,-26.48
53,2nd match innings,2016-2019,48,46,11,5.11,0,34,4/43,37.14,0,3,0,-32.03
55,day match,2016-2019,9,26,11,4.33,0,7,3/37,62.57,0,4,0,-58.23
56,day/night match,2016-2019,39,74,22,8.22,0,58,4/43,33.18,0,6,0,-24.96
58,won match,2016-2019,26,34,22,17.00,0,44,4/43,30.02,0,6,0,-13.02
