,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2018-2019,7,196,47,28.00,0,-,-,-,-,6,0,-
2,in England,2018-2019,12,425,85,53.12,0,-,-,-,-,18,2,-
3,in India,2019-2019,5,103,36*,34.33,0,-,-,-,-,6,2,-
4,in U.A.E.,2019-2019,5,80,55,40.00,0,-,-,-,-,4,1,-
6,in Asia,2019-2019,10,183,55,36.60,0,-,-,-,-,10,3,-
7,in Europe,2018-2019,12,425,85,53.12,0,-,-,-,-,18,2,-
8,in Oceania,2018-2019,7,196,47,28.00,0,-,-,-,-,6,0,-
10,home,2018-2019,7,196,47,28.00,0,-,-,-,-,6,0,-
11,away,2018-2019,9,237,46,39.50,0,-,-,-,-,8,2,-
12,neutral,2019-2019,13,371,85,53.00,0,-,-,-,-,20,3,-
14,year 2018,,6,199,47,33.16,0,-,-,-,-,5,0,-
15,year 2019,,23,605,85,43.21,0,-,-,-,-,29,5,-
17,season 2017/18,,1,27,27,27.00,0,-,-,-,-,1,0,-
18,season 2018,,2,50,44,25.00,0,-,-,-,-,0,0,-
19,season 2018/19,,16,352,55,32.00,0,-,-,-,-,15,3,-
20,season 2019,,10,375,85,62.50,0,-,-,-,-,18,2,-
22,*AJ Finch,2018-2019,26,727,85,42.76,0,-,-,-,-,33,5,-
23,*TD Paine,2018-2018,2,50,44,25.00,0,-,-,-,-,0,0,-
24,*SPD Smith,2018-2018,1,27,27,27.00,0,-,-,-,-,1,0,-
26,is not captain,2018-2019,29,804,85,40.20,0,-,-,-,-,34,5,-
28,is designated keeper,2018-2019,27,754,85,41.88,0,-,-,-,-,34,5,-
29,is not keeper,2018-2018,2,50,44,25.00,0,-,-,-,-,0,0,-
31,won the toss,2018-2019,13,375,71,37.50,0,-,-,-,-,13,3,-
32,lost the toss,2018-2019,16,429,85,42.90,0,-,-,-,-,21,2,-
34,won toss & batted,2018-2019,11,311,71,38.87,0,-,-,-,-,10,3,-
35,won toss & fielded,2018-2019,2,64,42,32.00,0,-,-,-,-,3,0,-
36,lost toss & sent in,2018-2019,10,268,55,33.50,0,-,-,-,-,12,0,-
37,lost toss & fielded,2019-2019,6,161,85,80.50,0,-,-,-,-,9,2,-
39,matches batting first,2018-2019,21,579,71,36.18,0,-,-,-,-,22,3,-
40,matches fielding first,2018-2019,8,225,85,56.25,0,-,-,-,-,12,2,-
42,1st match innings,2018-2019,29,579,71,36.18,0,-,-,-,-,12,2,-
43,2nd match innings,2018-2019,29,225,85,56.25,0,-,-,-,-,22,3,-
45,day match,2018-2019,9,296,55*,49.33,0,-,-,-,-,11,0,-
46,day/night match,2018-2019,20,508,85,36.28,0,-,-,-,-,23,5,-
48,won match,2018-2019,17,385,71,38.50,0,-,-,-,-,26,4,-
49,lost match,2018-2019,12,419,85,41.90,0,-,-,-,-,8,1,-
51,won batting first,2018-2019,13,364,71,40.44,0,-,-,-,-,18,3,-
52,won fielding first,2019-2019,4,21,21,21.00,0,-,-,-,-,8,1,-
53,lost batting first,2018-2019,8,215,46,30.71,0,-,-,-,-,4,0,-
54,lost fielding first,2018-2019,4,204,85,68.00,0,-,-,-,-,4,1,-
56,2 team series,2018-2019,19,429,55,30.64,0,-,-,-,-,16,3,-
57,5+ team tournaments,2019-2019,10,375,85,62.50,0,-,-,-,-,18,2,-
59,1st match in series,2018-2019,4,93,36*,46.50,0,-,-,-,-,1,0,-
60,2nd match in series,2018-2019,5,114,47,28.50,0,-,-,-,-,3,0,-
61,3rd match in series,2018-2019,4,93,42,46.50,0,-,-,-,-,6,1,-
62,4th match in series,2018-2019,3,82,55,27.33,0,-,-,-,-,3,0,-
63,5th match in series,2018-2019,3,47,44,15.66,0,-,-,-,-,3,2,-
65,World Cup,2019-2019,10,375,85,62.50,0,-,-,-,-,18,2,-
67,tournament semi-finals,2019-2019,1,46,46,46.00,0,-,-,-,-,1,0,-
68,preliminary matches,2019-2019,9,329,85,65.80,0,-,-,-,-,17,2,-
