,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2009-2018,55,2397,179,45.22,9,-,-,-,-,30,0,-
2,in England,2012-2019,20,895,166,52.64,3,0,-,-,0,7,0,-
3,in India,2017-2017,5,245,124,49,1,-,-,-,-,3,0,-
4,in Ireland,2012-2015,2,84,84,84,0,-,-,-,-,0,0,-
5,in New Zealand,2015-2016,4,160,98,40,0,-,-,-,-,1,0,-
6,in Scotland,2009-2009,1,0,0,0,0,-,-,-,-,0,0,-
7,in South Africa,2011-2016,9,538,173,59.77,2,-,-,-,-,4,0,-
8,in Sri Lanka,2016-2016,5,144,106,28.8,1,-,-,-,-,3,0,-
9,in U.A.E.,2012-2014,7,202,56,28.85,0,-,-,-,-,4,0,-
10,in West Indies,2012-2016,8,325,109,46.42,1,-,-,-,-,1,0,-
12,in Africa,2011-2016,9,538,173,59.77,2,-,-,-,-,4,0,-
13,in Americas,2012-2016,8,325,109,46.42,1,-,-,-,-,1,0,-
14,in Asia,2012-2017,17,591,124,34.76,2,-,-,-,-,10,0,-
15,in Europe,2009-2019,23,979,166,51.52,3,0,-,-,0,7,0,-
16,in Oceania,2009-2018,59,2557,179,44.85,9,-,-,-,-,31,0,-
18,home,2009-2018,55,2397,179,45.22,9,-,-,-,-,30,0,-
19,away,2009-2019,41,1590,173,41.84,4,0,-,-,0,15,0,-
20,neutral,2012-2019,20,1003,166,55.72,4,-,-,-,-,8,0,-
22,year 2009,,7,106,69,15.14,0,-,-,-,-,1,0,-
23,year 2011,,3,104,74,34.66,0,-,-,-,-,1,0,-
24,year 2012,,25,840,163,35,2,0,-,-,0,6,0,-
25,year 2013,,4,83,60,20.75,0,-,-,-,-,3,0,-
26,year 2014,,11,406,71,36.9,0,-,-,-,-,6,0,-
27,year 2015,,15,652,178,54.33,2,-,-,-,-,8,0,-
28,year 2016,,23,1388,173,63.09,7,-,-,-,-,13,0,-
29,year 2017,,13,691,179,57.58,3,-,-,-,-,8,0,-
30,year 2018,,5,73,35,14.6,0,-,-,-,-,3,0,-
31,year 2019,,10,647,166,71.88,3,-,-,-,-,4,0,-
33,season 2008/09,,6,106,69,17.66,0,-,-,-,-,1,0,-
34,season 2009,,1,0,0,0,0,-,-,-,-,0,0,-
35,season 2011/12,,19,770,163,40.52,2,-,-,-,-,5,0,-
36,season 2012,,9,174,56,21.75,0,0,-,-,0,2,0,-
37,season 2012/13,,3,74,60,24.66,0,-,-,-,-,3,0,-
38,season 2013,,1,9,9,9,0,-,-,-,-,0,0,-
39,season 2013/14,,3,154,71,51.33,0,-,-,-,-,0,0,-
40,season 2014/15,,20,760,178,42.22,2,-,-,-,-,13,0,-
41,season 2015,,3,144,84,72,0,-,-,-,-,1,0,-
42,season 2015/16,,6,346,122,57.66,1,-,-,-,-,2,0,-
43,season 2016,,8,309,109,44.14,2,-,-,-,-,4,0,-
44,season 2016/17,,14,1100,179,78.57,6,-,-,-,-,11,0,-
45,season 2017,,3,79,40*,39.5,0,-,-,-,-,1,0,-
46,season 2017/18,,10,318,124,31.8,1,-,-,-,-,6,0,-
47,season 2019,,10,647,166,71.88,3,-,-,-,-,4,0,-
49,*GJ Bailey,2013-2015,14,410,127,31.53,1,-,-,-,-,8,0,-
50,*MJ Clarke,2009-2015,33,1195,178,38.54,3,0,-,-,0,14,0,-
51,*AJ Finch,2019-2019,10,647,166,71.88,3,-,-,-,-,4,0,-
52,*RT Ponting,2009-2012,7,160,69,22.85,0,-,-,-,-,1,0,-
53,*SPD Smith,2015-2018,41,2161,179,56.86,9,-,-,-,-,22,0,-
54,*DA Warner,2016-2016,3,135,106,45,1,-,-,-,-,3,0,-
55,*SR Watson,2012-2012,8,282,69,35.25,0,-,-,-,-,1,0,-
57,is captain,2016-2016,3,135,106,45,1,-,-,-,-,3,0,-
58,is not captain,2009-2019,113,4855,179,45.8,16,0,-,-,0,50,0,-
60,is not keeper,2009-2019,116,4990,179,45.77,17,0,-,-,0,53,0,-
62,won the toss,2009-2019,58,2631,179,48.72,9,-,-,-,-,34,0,-
63,lost the toss,2009-2019,58,2359,178,42.89,8,0,-,-,0,19,0,-
65,won toss & batted,2009-2019,43,2320,179,53.95,9,-,-,-,-,25,0,-
66,won toss & fielded,2012-2018,15,311,56,28.27,0,-,-,-,-,9,0,-
67,lost toss & sent in,2009-2019,26,993,178,39.72,4,0,-,-,0,10,0,-
68,lost toss & fielded,2009-2019,32,1366,173,45.53,4,-,-,-,-,9,0,-
70,matches batting first,2009-2019,69,3313,179,48.72,13,0,-,-,0,35,0,-
71,matches fielding first,2009-2019,47,1677,173,40.9,4,-,-,-,-,18,0,-
73,1st match innings,2009-2019,116,3313,179,48.72,13,-,-,-,-,18,0,-
74,2nd match innings,2009-2019,114,1677,173,40.9,4,0,-,-,0,35,0,-
76,day match,2009-2019,31,968,166,33.37,2,0,-,-,0,11,0,-
77,day/night match,2009-2019,85,4022,179,50.27,15,-,-,-,-,42,0,-
79,won match,2009-2019,65,3388,179,55.54,12,-,-,-,-,34,0,-
80,lost match,2009-2019,45,1447,173,32.15,5,0,-,-,0,17,0,-
81,tied match,2012-2012,1,37,37,37,0,-,-,-,-,0,0,-
82,no result,2012-2017,5,118,60,59,0,-,-,-,-,2,0,-
84,won batting first,2009-2019,40,2417,179,61.97,10,-,-,-,-,25,0,-
85,won fielding first,2011-2019,25,971,127,44.13,2,-,-,-,-,9,0,-
86,lost batting first,2009-2019,27,799,122,29.59,3,0,-,-,0,10,0,-
87,lost fielding first,2009-2019,18,648,173,36,2,-,-,-,-,7,0,-
88,tied batting first,2012-2012,1,37,37,37,0,-,-,-,-,0,0,-
89,no result batting first,2013-2013,1,60,60,60,0,-,-,-,-,0,0,-
90,no result fielding first,2012-2017,4,58,40*,58,0,-,-,-,-,2,0,-
92,2 team series,2009-2018,77,3110,179,41.46,9,0,-,-,0,37,0,-
93,3-4 team tournaments,2012-2016,18,834,163,52.12,4,-,-,-,-,7,0,-
94,5+ team tournaments,2013-2019,22,1080,178,56.84,4,-,-,-,-,10,0,-
96,only match in series,2009-2016,6,190,84,38,0,-,-,-,-,1,0,-
97,1st match in series,2009-2018,17,464,65,27.29,0,-,-,-,-,9,0,-
98,2nd match in series,2009-2018,17,496,119,31,1,-,-,-,-,6,0,-
99,3rd match in series,2009-2018,15,705,156,47,2,-,-,-,-,11,0,-
100,4th match in series,2009-2018,11,453,130,41.18,2,0,-,-,0,5,0,-
101,5th match in series,2009-2018,11,802,179,72.9,4,-,-,-,-,5,0,-
103,World Cup,2015-2019,18,992,178,62,4,-,-,-,-,9,0,-
104,Chappell-Hadlee,2009-2016,9,468,156,52,2,-,-,-,-,5,0,-
105,ICC Champions Trophy,2013-2017,4,88,40*,29.33,0,-,-,-,-,1,0,-
107,tournament finals,2012-2015,5,368,163,73.6,2,-,-,-,-,1,0,-
108,tournament semi-finals,2015-2019,2,21,12,10.5,0,-,-,-,-,0,0,-
109,tournament quarter-finals,2015-2015,1,24,24,24,0,-,-,-,-,0,0,-
110,preliminary matches,2012-2019,32,1501,178,55.59,6,-,-,-,-,16,0,-
