,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2013-2019,44,1224,102,37.09,1,25,4/46,41.76,0,26,0,-4.66
2,in England,2013-2019,23,536,85,31.52,0,6,2/44,92.83,0,15,0,-61.30
3,in India,2013-2019,14,421,92,30.07,0,2,1/8,150.00,0,8,0,-119.92
4,in Ireland,2015-2015,1,2,2,2.00,0,2,2/41,20.50,0,0,0,-18.49
5,in New Zealand,2015-2017,6,27,20,4.50,0,1,1/7,78.00,0,4,0,-73.49
6,in U.A.E.,2012-2019,12,499,98,49.90,0,7,2/29,54.57,0,8,0,-4.67
7,in West Indies,2016-2016,5,53,46*,17.66,0,3,2/15,9.33,0,2,0,8.33
8,in Zimbabwe,2014-2014,5,115,93,23.00,0,4,2/22,23.75,0,2,0,-0.74
10,in Africa,2014-2014,5,115,93,23.00,0,4,2/22,23.75,0,2,0,-0.74
11,in Americas,2016-2016,5,53,46*,17.66,0,3,2/15,9.33,0,2,0,8.33
12,in Asia,2012-2019,26,920,98,38.33,0,9,2/29,75.77,0,16,0,-37.44
13,in Europe,2013-2019,24,538,85,29.88,0,8,2/41,74.75,0,15,0,-44.86
14,in Oceania,2013-2019,50,1251,102,32.07,1,26,4/46,43.15,0,30,0,-11.07
16,home,2013-2019,44,1224,102,37.09,1,25,4/46,41.76,0,26,0,-4.66
17,away,2013-2019,37,938,93,26.80,0,13,2/41,55.00,0,21,0,-28.19
18,neutral,2012-2019,29,715,98,34.04,0,12,2/15,63.83,0,18,0,-29.78
20,year 2012,,4,124,56*,41.33,0,0,-,-,0,1,0,-
21,year 2013,,15,387,92,32.25,0,7,4/63,49.71,0,5,0,-17.46
22,year 2014,,17,380,93,25.33,0,16,2/22,30.00,0,10,0,-4.66
23,year 2015,,19,644,102,46.00,1,19,4/46,29.52,0,14,0,16.47
24,year 2016,,12,228,96,25.33,0,3,2/15,70.00,0,7,0,-44.66
25,year 2017,,13,272,78,27.20,0,0,-,-,0,12,0,-
26,year 2018,,7,207,62,29.57,0,0,-,-,0,1,0,-
27,year 2019,,23,635,98,33.42,0,5,1/16,136.20,0,15,0,-102.77
29,season 2012,,4,124,56*,41.33,0,0,-,-,0,1,0,-
30,season 2012/13,,7,78,51*,15.60,0,6,4/63,32.33,0,3,0,-16.73
31,season 2013,,2,61,32,61.00,0,0,-,-,0,2,0,-
32,season 2013/14,,11,358,92,39.77,0,5,2/31,59.80,0,3,0,-20.02
33,season 2014,,5,115,93,23.00,0,4,2/22,23.75,0,2,0,-0.74
34,season 2014/15,,20,631,102,39.43,1,19,4/46,29.00,0,14,0,10.43
35,season 2015,,6,168,85,33.60,0,8,2/41,28.00,0,5,0,5.60
36,season 2015/16,,7,175,96,29.16,0,0,-,-,0,5,0,-
37,season 2016,,5,53,46*,17.66,0,3,2/15,9.33,0,2,0,8.33
38,season 2016/17,,7,194,78,32.33,0,-,-,-,-,5,0,-
39,season 2017,,3,20,20,20.00,0,0,-,-,0,4,0,-
40,season 2017/18,,4,92,39,23.00,0,0,-,-,0,4,0,-
41,season 2018,,3,112,62,37.33,0,0,-,-,0,0,0,-
42,season 2018/19,,16,519,98,37.07,0,5,1/16,87.00,0,11,0,-49.92
43,season 2019,,10,177,46*,22.12,0,0,-,-,0,4,0,-
45,*GJ Bailey,2013-2015,27,766,95,30.64,0,17,4/46,35.88,0,17,0,-5.24
46,*MJ Clarke,2012-2015,21,564,102,43.38,1,17,4/63,38.29,0,8,0,5.09
47,*AJ Finch,2017-2019,28,716,98,29.83,0,5,1/16,146.00,0,17,0,-116.16
48,*TD Paine,2018-2018,3,112,62,37.33,0,0,-,-,0,0,0,-
49,*SPD Smith,2015-2018,31,719,96,29.95,0,11,2/15,45.81,0,23,0,-15.85
51,is not captain,2012-2019,110,2877,102,32.32,1,50,4/46,50.50,0,65,0,-18.17
53,is not keeper,2012-2019,110,2877,102,32.32,1,50,4/46,50.50,0,65,0,-18.17
55,won the toss,2012-2019,55,1467,102,31.21,1,19,2/29,57.05,0,26,0,-25.83
56,lost the toss,2012-2019,55,1410,98,33.57,0,31,4/46,46.48,0,39,0,-12.91
58,won toss & batted,2012-2019,34,968,102,30.25,1,14,2/29,47.92,0,17,0,-17.67
59,won toss & fielded,2012-2019,21,499,96,33.26,0,5,1/3,82.60,0,9,0,-49.33
60,lost toss & sent in,2013-2019,25,912,98,38.00,0,16,4/46,41.00,0,10,0,-2.99
