,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2,1,1*,-,0,3,2/39,30.33,0,0,0,-
2,in England,5,12,11*,6.00,0,9,5/44,25.22,1,1,0,-19.22
3,in India,2,-,-,-,-,0,-,-,0,0,0,-
4,in U.A.E.,2,6,6*,-,0,4,3/63,23.00,0,2,0,-
6,in Asia,4,6,6*,-,0,4,3/63,49.75,0,2,0,-
7,in Europe,5,12,11*,6.00,0,9,5/44,25.22,1,1,0,-19.22
8,in Oceania,2,1,1*,-,0,3,2/39,30.33,0,0,0,-
10,home,2,1,1*,-,0,3,2/39,30.33,0,0,0,-
11,away,4,1,1,1.00,0,5,5/44,37.80,1,0,0,-36.79
12,neutral,5,17,11*,17.00,0,8,3/63,29.62,0,3,0,-12.62
14,year 2019,11,19,11*,9.50,0,16,5/44,32.31,1,3,0,-22.81
16,season 2018/19,6,7,6*,-,0,7,3/63,41.42,0,2,0,-
17,season 2019,5,12,11*,6.00,0,9,5/44,25.22,1,1,0,-19.22
19,*AJ Finch,11,19,11*,9.50,0,16,5/44,32.31,1,3,0,-22.81
21,is not captain,11,19,11*,9.50,0,16,5/44,32.31,1,3,0,-22.81
23,is not keeper,11,19,11*,9.50,0,16,5/44,32.31,1,3,0,-22.81
25,won the toss,6,2,1*,1.00,0,6,2/31,39.16,0,2,0,-38.16
26,lost the toss,5,17,11*,-,0,10,5/44,28.20,1,1,0,-
28,won toss & batted,6,2,1*,1.00,0,6,2/31,39.16,0,2,0,-38.16
29,lost toss & sent in,3,6,6*,-,0,9,5/44,18.44,1,1,0,-
30,lost toss & fielded,2,11,11*,-,0,1,1/55,116.00,0,0,0,-
32,matches batting first,9,8,6*,4.00,0,15,5/44,26.73,1,3,0,-22.73
33,matches fielding first,2,11,11*,-,0,1,1/55,116.00,0,0,0,-
35,1st match innings,11,8,6*,4.00,0,1,1/55,116.00,0,0,0,-111.99
36,2nd match innings,11,11,11*,-,0,15,5/44,26.73,1,3,0,-
38,day match,3,1,1,1.00,0,6,5/44,23.50,1,0,0,-22.49
39,day/night match,8,18,11*,18.00,0,10,3/63,37.60,0,3,0,-19.59
41,won match,7,6,6*,6.00,0,14,5/44,23.28,1,3,0,-17.28
42,lost match,4,13,11*,13.00,0,2,1/52,95.50,0,0,0,-82.49
44,won batting first,6,6,6*,6.00,0,14,5/44,18.92,1,3,0,-12.92
45,won fielding first,1,-,-,-,-,0,-,-,0,0,0,-
46,lost batting first,3,2,1*,2.00,0,1,1/52,136.00,0,0,0,-133.99
47,lost fielding first,1,11,11*,-,0,1,1/55,55.00,0,0,0,-
49,2 team series,6,7,6*,-,0,7,3/63,41.42,0,2,0,-
50,5+ team tournaments,5,12,11*,6.00,0,9,5/44,25.22,1,1,0,-19.22
52,1st match in series,2,-,-,-,-,2,2/39,42.50,0,0,0,-
53,2nd match in series,1,1,1*,-,0,1,1/52,52.00,0,0,0,-
54,3rd match in series,1,-,-,-,-,1,1/29,29.00,0,1,0,-
55,4th match in series,1,-,-,-,-,0,-,-,0,0,0,-
56,5th match in series,1,6,6*,-,0,3,3/63,21.00,0,1,0,-
58,World Cup,5,12,11*,6.00,0,9,5/44,25.22,1,1,0,-19.22
60,tournament semi-finals,1,1,1,1.00,0,0,-,-,0,0,0,-
61,preliminary matches,4,11,11*,11.00,0,9,5/44,21.00,1,1,0,-9.99
