,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2013-2016,5,0,0,0.00,0,7,5/68,34.42,1,0,0,-34.42
2,in England,2018-2019,5,16,14,8.00,0,11,3/47,24.09,0,4,0,-16.09
3,in India,2017-2017,3,0,0,0.00,0,7,3/55,22.57,0,1,0,-22.57
4,in New Zealand,2016-2016,1,19,19,19.00,0,0,-,-,0,1,0,-
5,in U.A.E.,2014-2019,5,16,9*,-,0,6,2/36,33.16,0,1,0,-
6,in Zimbabwe,2014-2014,3,-,-,-,-,3,2/38,44.66,0,0,0,-
8,in Africa,2014-2014,3,-,-,-,-,3,2/38,44.66,0,0,0,-
9,in Asia,2014-2019,8,16,9*,16.00,0,13,3/55,27.46,0,2,0,-11.46
10,in Europe,2018-2019,5,16,14,8.00,0,11,3/47,24.09,0,4,0,-16.09
11,in Oceania,2013-2016,6,19,19,9.50,0,7,5/68,43.57,1,1,0,-34.07
13,home,2013-2016,5,0,0,0.00,0,7,5/68,34.42,1,0,0,-34.42
14,away,2014-2018,8,34,19,8.50,0,13,3/51,31.23,0,4,0,-22.73
15,neutral,2014-2019,9,17,9*,-,0,14,3/47,29.57,0,3,0,-
17,year 2013,,1,0,0,0.00,0,0,-,-,0,0,0,-
18,year 2014,,7,11,9*,-,0,8,2/36,35.50,0,0,0,-
19,year 2016,,4,19,19,19.00,0,6,5/68,40.16,1,1,0,-21.16
20,year 2017,,3,0,0,0.00,0,7,3/55,22.57,0,1,0,-22.57
21,year 2018,,3,15,14,7.50,0,6,3/51,26.00,0,2,0,-18.49
22,year 2019,,4,6,5*,-,0,7,3/47,29.57,0,3,0,-
24,season 2012/13,,1,0,0,0.00,0,0,-,-,0,0,0,-
25,season 2014,,3,-,-,-,-,3,2/38,44.66,0,0,0,-
26,season 2014/15,,4,11,9*,-,0,5,2/36,30.00,0,0,0,-
27,season 2015/16,,4,19,19,19.00,0,6,5/68,40.16,1,1,0,-21.16
28,season 2017/18,,3,0,0,0.00,0,7,3/55,22.57,0,1,0,-22.57
29,season 2018,,3,15,14,7.50,0,6,3/51,26.00,0,2,0,-18.49
30,season 2018/19,,2,5,5*,-,0,2,1/37,49.00,0,1,0,-
31,season 2019,,2,1,1*,-,0,5,3/47,21.80,0,2,0,-
33,*GJ Bailey,2013-2014,8,11,9*,11.00,0,8,2/36,37.37,0,0,0,-26.37
34,*AJ Finch,2019-2019,4,6,5*,-,0,7,3/47,29.57,0,3,0,-
35,*TD Paine,2018-2018,3,15,14,7.50,0,6,3/51,26.00,0,2,0,-18.49
36,*SPD Smith,2016-2017,7,19,19,9.50,0,13,5/68,30.69,1,2,0,-21.19
38,is not captain,2013-2019,22,51,19,10.20,0,34,5/68,31.20,1,7,0,-21.00
40,is not keeper,2013-2019,22,51,19,10.20,0,34,5/68,31.20,1,7,0,-21.00
42,won the toss,2014-2018,11,45,19,15.00,0,20,5/68,27.30,1,4,0,-12.29
43,lost the toss,2013-2019,11,6,5*,3.00,0,14,3/47,36.78,0,3,0,-33.78
45,won toss & batted,2014-2018,8,26,14,13.00,0,17,5/68,22.23,1,2,0,-9.23
46,won toss & fielded,2016-2018,3,19,19,19.00,0,3,2/56,56.00,0,2,0,-36.99
47,lost toss & sent in,2013-2019,8,6,5*,6.00,0,10,3/47,35.60,0,3,0,-29.59
48,lost toss & fielded,2014-2017,3,0,0,0.00,0,4,3/55,39.75,0,0,0,-39.74
50,matches batting first,2013-2019,16,32,14,10.66,0,27,5/68,27.18,1,5,0,-16.51
51,matches fielding first,2014-2018,6,19,19,9.50,0,7,3/55,46.71,0,2,0,-37.21
53,1st match innings,2013-2019,22,32,14,10.66,0,7,3/55,46.71,0,2,0,-36.04
54,2nd match innings,2013-2019,22,19,19,9.50,0,27,5/68,27.18,1,5,0,-17.68
56,day match,2014-2019,7,15,14,15.00,0,13,3/47,26.92,0,3,0,-11.92
57,day/night match,2013-2019,15,36,19,9.00,0,21,5/68,33.85,1,4,0,-24.85
59,won match,2014-2019,14,17,9*,-,0,23,5/68,28.60,1,3,0,-
60,lost match,2013-2018,8,34,19,6.80,0,11,3/51,36.63,0,4,0,-29.83
62,won batting first,2014-2019,11,17,9*,-,0,21,5/68,24.09,1,3,0,-
63,won fielding first,2014-2016,3,-,-,-,-,2,1/43,76.00,0,0,0,-
64,lost batting first,2013-2018,5,15,14,5.00,0,6,3/51,38.00,0,2,0,-32.99
65,lost fielding first,2016-2018,3,19,19,9.50,0,5,3/55,35.00,0,2,0,-25.49
67,2 team series,2013-2019,17,50,19,10.00,0,26,5/68,31.46,1,5,0,-21.46
68,3-4 team tournaments,2014-2014,3,-,-,-,-,3,2/38,44.66,0,0,0,-
69,5+ team tournaments,2019-2019,2,1,1*,-,0,5,3/47,21.80,0,2,0,-
71,1st match in series,2014-2018,3,22,19,11.00,0,2,1/22,67.50,0,2,0,-56.49
72,2nd match in series,2013-2018,5,0,0*,0.00,0,6,3/55,38.33,0,1,0,-38.33
73,3rd match in series,2014-2017,4,9,9*,-,0,5,2/36,35.60,0,1,0,-
74,4th match in series,2016-2019,3,-,-,-,-,9,5/68,18.11,1,1,0,-
75,5th match in series,2018-2019,2,19,14,19.00,0,4,3/51,28.00,0,0,0,-8.99
77,World Cup,2019-2019,2,1,1*,-,0,5,3/47,21.80,0,2,0,-
78,Chappell-Hadlee,2016-2016,1,19,19,19.00,0,0,-,-,0,1,0,-
