,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2018-2019,11,386,87,38.60,0,14,3/16,30.50,0,5,0,8.10
2,in England,2015-2019,14,167,44,13.91,0,10,2/37,48.40,0,3,0,-34.48
3,in India,2017-2019,9,293,62*,58.60,0,4,2/31,87.25,0,2,0,-28.64
4,in New Zealand,2017-2017,2,188,146*,188.00,1,3,3/49,23.66,0,1,0,164.33
5,in U.A.E.,2019-2019,5,16,10,5.33,0,2,2/20,57.50,0,1,0,-52.16
7,in Asia,2017-2019,14,309,62*,38.62,0,6,2/20,77.33,0,3,0,-38.70
8,in Europe,2015-2019,14,167,44,13.91,0,10,2/37,48.40,0,3,0,-34.48
9,in Oceania,2017-2019,13,574,146*,52.18,1,17,3/16,29.29,0,6,0,22.88
11,home,2018-2019,11,386,87,38.60,0,14,3/16,30.50,0,5,0,8.10
12,away,2015-2019,19,569,146*,40.64,1,11,3/49,63.81,0,4,0,-23.17
13,neutral,2019-2019,11,95,22,13.57,0,8,2/20,39.62,0,3,0,-26.05
15,year 2015,,1,4,4,4.00,0,0,-,-,0,0,0,-
16,year 2017,,7,341,146*,113.66,1,5,3/49,57.20,0,2,0,56.46
17,year 2018,,13,376,87,28.92,0,13,3/16,36.76,0,2,0,-7.84
18,year 2019,,20,329,52,23.50,0,15,2/20,44.33,0,8,0,-20.83
20,season 2015,,1,4,4,4.00,0,0,-,-,0,0,0,-
21,season 2016/17,,2,188,146*,188.00,1,3,3/49,23.66,0,1,0,164.33
22,season 2017/18,,10,374,87,53.42,0,4,2/54,87.25,0,3,0,-33.82
23,season 2018,,5,76,44,15.20,0,3,2/37,74.33,0,0,0,-59.13
24,season 2018/19,,15,321,63,29.18,0,16,3/16,33.87,0,5,0,-4.69
25,season 2019,,8,87,22,14.50,0,7,2/37,34.85,0,3,0,-20.35
27,*AJ Finch,2017-2019,25,596,146*,33.11,1,26,3/16,32.96,0,9,0,0.14
28,*TD Paine,2018-2018,5,76,44,15.20,0,3,2/37,74.33,0,0,0,-59.13
29,*SPD Smith,2015-2018,11,378,87,47.25,0,4,2/54,91.50,0,3,0,-44.24
31,is not captain,2015-2019,41,1050,146*,33.87,1,33,3/16,43.81,0,12,0,-9.94
33,is not keeper,2015-2019,41,1050,146*,33.87,1,33,3/16,43.81,0,12,0,-9.94
35,won the toss,2015-2019,24,771,146*,40.57,1,16,3/49,55.12,0,5,0,-14.54
36,lost the toss,2017-2019,17,279,62*,23.25,0,17,3/16,33.17,0,7,0,-9.92
38,won toss & batted,2015-2019,16,300,47*,25.00,0,9,2/31,59.88,0,3,0,-34.88
39,won toss & fielded,2017-2019,8,471,146*,67.28,1,7,3/49,49.00,0,2,0,18.28
40,lost toss & sent in,2018-2019,9,150,60,18.75,0,11,3/16,24.54,0,3,0,-5.79
41,lost toss & fielded,2017-2019,8,129,62*,32.25,0,6,2/37,49.00,0,4,0,-16.74
43,matches batting first,2015-2019,25,450,60,22.50,0,20,3/16,40.45,0,6,0,-17.94
44,matches fielding first,2017-2019,16,600,146*,54.54,1,13,3/49,49.00,0,6,0,5.54
46,1st match innings,2015-2019,41,450,60,22.50,0,13,3/49,49.00,0,6,0,-26.49
47,2nd match innings,2015-2019,41,600,146*,54.54,1,20,3/16,40.45,0,6,0,14.09
49,day match,2015-2019,12,346,146*,34.60,1,14,3/16,26.92,0,4,0,7.67
50,day/night match,2017-2019,29,704,63,33.52,0,19,3/35,56.26,0,8,0,-22.73
52,won match,2017-2019,16,210,47*,23.33,0,14,3/35,35.28,0,3,0,-11.95
53,lost match,2015-2019,25,840,146*,38.18,1,19,3/16,50.10,0,9,0,-11.92
55,won batting first,2017-2019,12,196,47*,24.50,0,12,3/35,31.58,0,2,0,-7.08
56,won fielding first,2018-2019,4,14,14,14.00,0,2,2/37,57.50,0,1,0,-43.49
57,lost batting first,2015-2019,13,254,60,21.16,0,8,3/16,53.75,0,4,0,-32.58
58,lost fielding first,2017-2019,12,586,146*,58.60,1,11,3/49,47.45,0,5,0,11.14
60,2 team series,2015-2019,33,963,146*,38.52,1,26,3/16,46.23,0,9,0,-7.71
61,5+ team tournaments,2019-2019,8,87,22,14.50,0,7,2/37,34.85,0,3,0,-20.35
63,1st match in series,2017-2019,8,329,146*,65.80,1,11,3/16,25.81,0,3,0,39.98
64,2nd match in series,2017-2019,7,158,62*,31.60,0,5,3/35,54.60,0,2,0,-22.99
65,3rd match in series,2017-2019,8,283,63,47.16,0,4,2/70,100.25,0,2,0,-53.08
66,4th match in series,2015-2019,5,36,15*,9.00,0,2,2/20,68.00,0,0,0,-58.99
67,5th match in series,2017-2019,5,157,87,31.40,0,4,2/31,27.00,0,2,0,4.40
69,World Cup,2019-2019,8,87,22,14.50,0,7,2/37,34.85,0,3,0,-20.35
70,Chappell-Hadlee,2017-2017,2,188,146*,188.00,1,3,3/49,23.66,0,1,0,164.33
72,tournament semi-finals,2019-2019,1,0,0,0.00,0,0,-,-,0,0,0,-
73,preliminary matches,2019-2019,7,87,22,17.40,0,7,2/37,33.00,0,3,0,-15.59
